,Fórmula o principio Activo,Descripción Medicamento,Laboratorio,Precio referencial sin convenio mayo 2022,Descuento,Precio referencial con convenio mayo 2022
55,ALPRAZOLAM,ALPRAZOLAM (B) 0.50mg X30COM.,LABORATORIO CHILE,$ 1.399,46%,$ 755
56,ALUMINIO HIDROXIDO,HIDROXIDO ALUMINIO 6% SOL.X180ml,LABORATORIO CHILE,$ 3.799,28%,$ 2.735
57,AMANTADINA,PRAYANOL100mg X30CAP.,SANITAS S.A.,$ 15.099,22%,$ 11.777
58,AMBROXOL,PAZBRONC AD.30mg/5ml JBE.X100ml,MEDIPHARM,$ 3.999,56%,$ 1.760
59,AMBROXOL,AMBROXOL 15mg/5ml JBE.X100ml,ANDROMACO FARMA,$ 1.599,60%,$ 640
60,AMBROXOL,AMBROXOL 30mg/5ml JBE.X100ml,ANDROMACO FARMA,$ 1.899,67%,$ 627
61,AMIODARONA,AMIODARONA 200mg X20COM.,HOSPIFARMA,$ 3.899,30%,$ 2.729
62,AMISULPRIDA,SOCIAN 50mg COMP.X20,SANOFI,$ 25.399,15%,$ 21.589
63,AMITRIPTILINA,AMITRIPTILINA (B) 25mg X100COM.,LABORATORIO CHILE,$ 2.899,30%,$ 2.029
64,AMITRIPTILINA,AMITRIPTILINA (B) 25mg X24COM.,LABORATORIO CHILE,$ 1.599,34%,$ 1.055
65,AMITRIPTILINA + CLORDIAZEPOXIDO,MORELIN X30COM.,LABORATORIO CHILE,$ 19.999,35%,$ 12.999
66,AMITRIPTILINA + CLORDIAZEPOXIDO,ANTALIN X30COM.,SAVAL S.A.,$ 22.299,35%,$ 14.494
67,AMLODIPINO,AMLODIPINO (B) 5mg X30COM.,ASCEND LABORATORIES SPA,$ 2.199,67%,$ 726
68,AMLODIPINO,AMLODIPINO 10mg X30COM.,OPKO,$ 2.499,70%,$ 750
69,AMLODIPINO,AMLODIPINO 5mg X30COM.,OPKO,$ 2.799,70%,$ 840
70,AMLODIPINO + BISOPROLOL,CONCOR AM 5/5mg X30COM.,MERCK SA CHILE,$ 36.099,18%,$ 29.601
71,AMLODIPINO + BISOPROLOL,EUROCOR AM 5/5 X35COM.REC.,SAVAL S.A.,$ 18.099,30%,$ 12.669
72,AMLODIPINO + VALSARTAN,EXFORGE 10/320 X28COM.REC.,AXON PHARMA,$ 44.899,11%,$ 39.960
73,AMLODIPINO + VALSARTAN,EXFORGE 10/160 X28COM.REC.,AXON PHARMA,$ 46.599,14%,$ 40.075
74,AMLODIPINO + VALSARTAN,EXFORGE 10/160 X56COM.REC.,AXON PHARMA,$ 72.399,14%,$ 62.263
75,AMLODIPINO + VALSARTAN,EXFORGE 5/320 X28COM.REC.,AXON PHARMA,$ 44.899,14%,$ 38.613
76,AMLODIPINO + VALSARTAN,EXFORGE 5/80 X56COM.REC.,AXON PHARMA,$ 70.899,14%,$ 60.973
77,AMLODIPINO + VALSARTAN,EXFORGE 5/320 X56COM.REC.,AXON PHARMA,$ 66.899,15%,$ 56.864
78,AMLODIPINO + VALSARTAN,VALAXAM 320/5 X30COM.REC,SAVAL S.A.,$ 27.399,20%,$ 21.919
79,AMLODIPINO + VALSARTAN,EXFORGE 5/160 X28COM.REC.,AXON PHARMA,$ 50.399,20%,$ 40.319
80,AMLODIPINO + VALSARTAN,EXFORGE 5/160 X56COM.REC.,AXON PHARMA,$ 89.599,20%,$ 71.679
81,AMLODIPINO + VALSARTAN,VALAXAM 320/10 X30COM.REC,SAVAL S.A.,$ 29.599,20%,$ 23.679
82,AMLODIPINO + VALSARTAN,VALAXAM 160/10 X30COM.REC.,SAVAL S.A.,$ 30.699,29%,$ 21.796
83,AMLODIPINO + VALSARTAN,VALAXAM 80/5 X30COM.REC.,SAVAL S.A.,$ 30.699,29%,$ 21.796
84,AMLODIPINO + VALSARTAN,AMPLEX 10/160 X30COM.REC.,LABORATORIO CHILE,$ 26.799,31%,$ 18.491
85,AMLODIPINO + VALSARTAN,AMPLEX 5/160 X30COM.REC.,LABORATORIO CHILE,$ 27.999,34%,$ 18.479
86,AMLODIPINO + VALSARTAN,VALAXAM 160/5 X30COM.REC.,SAVAL S.A.,$ 28.999,35%,$ 18.849
87,AMLODIPINO + VALSARTAN + HIDROCLOROTIAZI,EXFORGE D 10/320/25 X28COM.REC.,AXON PHARMA,$ 50.799,14%,$ 43.687
88,AMLODIPINO + VALSARTAN + HIDROCLOROTIAZI,EXFORGE D 10/160/12.5 X28COM.REC.,AXON PHARMA,$ 50.399,18%,$ 41.327
89,AMLODIPINO + VALSARTAN + HIDROCLOROTIAZI,EXFORGE D 5/160/12.5 X28COM.REC.,AXON PHARMA,$ 65.299,20%,$ 52.239
90,AMLODIPINO + VALSARTAN + HIDROCLOROTIAZI,AMPLEX D 160/10/12.5 X30COM.REC.,LABORATORIO CHILE,$ 22.499,20%,$ 17.999
91,AMOXICILINA,AMOVAL (B) 750mg X21COM.,SAVAL S.A.,$ 25.499,43%,$ 14.534
92,AMOXICILINA,AMOBIOTIC 500mg/5ml S.O.X120ml,LABORATORIO CHILE,$ 17.599,46%,$ 9.503
93,AMOXICILINA,AMOXICILINA 500mg/5ml JBE.X60ml,OPKO,$ 1.799,49%,$ 917
94,AMOXICILINA,AMOXICILINA 750mg X10COM.,HOSPIFARMA,$ 2.199,55%,$ 990
95,AMOXICILINA,AMOXICILINA 250mg/5ml S.O.X60ml,OPKO,$ 1.899,56%,$ 836
96,AMOXICILINA,AMOXICILINA (B) 500mg X21CAP.,OPKO,$ 5.199,73%,$ 1.404
97,AMOXICILINA + ACIDO CLAVULANICO,MAXIMOX (B) 875/125 X14COM.REC.,PASTEUR,$ 17.199,16%,$ 14.447
98,AMOXICILINA + ACIDO CLAVULANICO,CLAVAM DUO (B) 875/125 X14COM.,EUROFARMA CHILE S.A.,$ 18.799,25%,$ 14.099
99,AMOXICILINA + ACIDO CLAVULANICO,CLAVAM DUO (B) 875/125 X20COM.,EUROFARMA CHILE S.A.,$ 23.799,29%,$ 16.897
100,AMOXICILINA + ACIDO CLAVULANICO,AMOXICILINA/CLAVUL (B) 500/125 X20COM.,OPKO,$ 6.599,32%,$ 4.487
101,AMOXICILINA + ACIDO CLAVULANICO,AMOX/AC.CLAVULANICO (B) 875/125 X20COM.,OPKO,$ 12.699,60%,$ 5.080
102,AMOXICILINA + ACIDO CLAVULANICO,AMOXICILINA/CLAVUL (B) 875/125 X14COM.,OPKO,$ 10.899,62%,$ 4.142
103,AMOXICILINA + ESOMEPRAZOL + CLARITROMICI,ZOMEL HP X28DOSIS,SAVAL S.A.,$ 47.399,31%,$ 32.705
104,ANTAZOLINA + NAFAZOLINA,OFTALIRIO SOF.X10ml,SAVAL S.A.,$ 12.199,31%,$ 8.417
105,APIXABAN,ELIQUIS 2.5mg X60COM.,PFIZER,$ 80.899,16%,$ 67.955
106,APIXABAN,ELIQUIS 5mg X60COM.,PFIZER,$ 79.899,19%,$ 64.718
107,ARIPIPRAZOL,AZYMOL (B) 10mg X30COM.,RECALCINE,$ 48.499,15%,$ 41.224
108,ARIPIPRAZOL,AZYMOL (B) 5mg X30COM.,RECALCINE,$ 36.499,18%,$ 29.929
109,ARIPIPRAZOL,IRAZEM (B) 10mg X30COM.,DEUTSCHE PHARMA S.A.,$ 42.499,20%,$ 33.999
110,ARIPIPRAZOL,ARIZOL (B) 5mg X28COM.,EXELTIS CHILE,$ 29.099,25%,$ 21.824
111,ARIPIPRAZOL,ARIZOL (B) 15mg X28COM.,EXELTIS CHILE,$ 56.599,30%,$ 39.619
112,ARIPIPRAZOL,IRAZEM (B) 15mg X30COM.,DEUTSCHE PHARMA S.A.,$ 50.199,40%,$ 30.119
113,ARIPIPRAZOL,AZYMOL (B) 15mg X30COM.,RECALCINE,$ 72.499,40%,$ 43.499
114,ARIPIPRAZOL,ARIVITAE (B) 10mg X28COM.,GALENICUM HEALTH CHILE SPA,$ 29.499,52%,$ 14.160
115,ARMODAFINILO,ARVIGIL FT 200mg X30COM.,ANDROMACO FARMA,$ 36.399,30%,$ 25.479
116,ARMODAFINILO,NUVIGIL 150mg X30COM.,LABORATORIO CHILE,$ 33.099,40%,$ 19.859
117,ATAPULGITA + NIFUROXAZIDA,DIAREN X20COM.,SAVAL S.A.,$ 9.999,25%,$ 7.499
118,ATENOLOL,ATENOLOL (B) 50mg X20COM.,LABORATORIO CHILE,$ 999,61%,$ 390
119,ATOMOXETINA,STRATTERA (R) 40mg X14CAP.,TECNOFARMA LTDA.,$ 54.799,15%,$ 46.579
120,ATOMOXETINA,DEATEN (B) 80mg X15COM.,ANDROMACO FARMA,$ 54.599,19%,$ 44.225
121,ATOMOXETINA,DEATEN (B) 40mg X30CAP.,ANDROMACO FARMA,$ 62.099,30%,$ 43.469
122,ATORVASTATINA,LIPITOR (R) 10mg X30COM.REC.,PFIZER,$ 49.599,14%,$ 42.655
123,ATORVASTATINA,LIPOX (B) 40mg X30COM.REC.,LABORATORIO CHILE,$ 17.499,22%,$ 13.649
124,ATORVASTATINA,LOWDEN (B) 20mg X30COM.,SAVAL S.A.,$ 30.499,23%,$ 23.484
125,ATORVASTATINA,LIPOX (B) 80mg X30COM.REC.,LABORATORIO CHILE,$ 19.999,25%,$ 14.999
126,ATORVASTATINA,LOWDEN (B) 10mg X60COM.,SAVAL S.A.,$ 34.599,30%,$ 24.219
127,ATORVASTATINA,LIPOTEN (B) 80mg X28COM.,EXELTIS CHILE,$ 30.399,31%,$ 20.975
128,ATORVASTATINA,LIPOTEN (B) 40mg X28COM.,EXELTIS CHILE,$ 28.599,34%,$ 18.875
129,ATORVASTATINA,ATORVASTATINA (B) 20mg X30COM.,LABORATORIO CHILE,$ 3.299,75%,$ 825
130,ATORVASTATINA,ATORVASTATINA (B) 10mg X30COM.,LABORATORIO CHILE,$ 2.999,77%,$ 690
131,ATROPINA,ATROPINA 1% SOF.X5ml,BPH S.A,$ 19.299,54%,$ 8.878
132,AZATIOPRINA,IMURAN 50mg COMP.X100,ASPEN CHILE,$ 81.199,15%,$ 69.019
133,AZITROMICINA,AZITROM FTE.400mg/5ml S.O.X20ml,LABORATORIO CHILE,$ 17.299,4%,$ 16.607
134,AZITROMICINA,AZITROMICINA (B) 500mg X6COM.,LABORATORIO CHILE,$ 3.099,48%,$ 1.611
135,AZITROMICINA,AZITROMICINA (B) 500mg X3COM.,LABORATORIO CHILE,$ 1.899,49%,$ 968
136,AZITROMICINA,AZITROMICINA 200mg/5ml S.O.X15ml,LABORATORIO CHILE,$ 6.699,65%,$ 2.345
137,AZITROMICINA,AZITROMICINA 200mg/5ml S.O X30ml,HOSPIFARMA,$ 7.999,73%,$ 2.160
138,BACITRACINA + NEOMICINA + ANTAZOLINA + XILOMETAZOLINA,RINOBANEDIF UNGTO.10g,BAGO,$ 12.999,35%,$ 8.449
139,BACLOFENO,LIORESYL 10mg X60COM.,NOVARTIS CHILE S.A.,$ 65.999,15%,$ 56.099
140,BACLOFENO,CETRIL 10mg X50COM.,PHARMA INVESTI,$ 30.499,35%,$ 19.824
141,BENZOCAINA + CETILPIRIDINIO CLORURO + DEXPANTENOL,KALMAFTA GEL.X20ml,ANDROMACO FARMA,$ 6.099,20%,$ 4.879
142,BETAHISTINA,BETASERC (R) 24mg X30COM.,ABBOTT FARMA,$ 37.099,20%,$ 29.679
143,BETAHISTINA,MICROSER (B) 24mg X30COM.,GRUNENTHAL,$ 42.999,27%,$ 31.389
144,BETAHISTINA,MICROSER (B) 16mg X30COM.,GRUNENTHAL,$ 40.999,29%,$ 29.109
145,BETAHISTINA,MICROSER 8mg X60COM.,GRUNENTHAL,$ 46.399,30%,$ 32.479
146,BETAHISTINA,BETINA (B) 16mg X30COM.,EUROFARMA CHILE S.A.,$ 27.699,35%,$ 18.004
147,BETAHISTINA,MICROSER (B) 8mg X30COM.,GRUNENTHAL,$ 32.499,36%,$ 20.799
148,BETAHISTINA,BETASERC (R) 16mg X30COM.,ABBOTT FARMA,$ 31.499,37%,$ 19.844
149,BETAHISTINA,BETINA (B) 24mg X30COM.,EUROFARMA CHILE S.A.,$ 35.299,42%,$ 20.473
150,BETAMETASONA (ACETATO Y FOSFATO SODICO),DACAM RL 3mg/ml AMP.+JERINGA,LABORATORIO CHILE,$ 25.299,28%,$ 18.215
151,BETAMETASONA (FOSFATO DISODICO Y DIPROPIONATO),BETAVOL 5+2mg/ml X1 AMP.,EUROFARMA CHILE S.A.,$ 13.699,17%,$ 11.370
152,BETAMETASONA (FOSFATO DISODICO Y DIPROPIONATO),CIDOTEN 4mg/ml AMP.X1,MSD-ORGANON,$ 12.399,30%,$ 8.679
153,BETAMETASONA + CALCIPOTRIOL,DAIVOBET GEL 30g,DEUTSCHE PHARMA S.A.,$ 57.799,18%,$ 47.395
154,BETAMETASONA + LIDOCAINA + OXIDO DE ZINC,CONTRALMOR X6SUP.,LABORATORIO CHILE,$ 15.199,41%,$ 8.967
155,BETAMETASONA DERMICA,BETAMETASONA 0.05% CR.X15g,LABORATORIO CHILE,$ 1.399,45%,$ 769
156,BETAMETASONA DERMICA,"BETAMETASONA 0,05% UNG.X15g",LABORATORIO CHILE,$ 2.899,49%,$ 1.478
157,BETAMETASONA OFTALMICA,OFTASONA P SOF.X10ml,SAVAL S.A.,$ 14.399,17%,$ 11.951
158,BIFIDOBACTERIUM LONGUM,ALFLOREX X30CAP.,AXON PHARMA,$ 27.699,30%,$ 19.389
159,BIFIDOBACTERIUM LONGUM + LACTOBACILLUS A,MULTIFLORA PLUS X30CAP.,PHARMA INVESTI,$ 19.199,33%,$ 12.863
160,BIMATOPROST,LUMIGAN (B) 0.03% SOL.OFT.3ml,ALLERGAN LTDA.,$ 52.099,24%,$ 39.595
161,BISOPROLOL,CONCOR 5mg X28COM.REC.,MERCK SA CHILE,$ 32.799,20%,$ 26.239
162,BISOPROLOL,CONCOR 10mg X28COM.REC.,MERCK SA CHILE,$ 38.099,26%,$ 28.193
163,BISOPROLOL,BISOPRIL 1.25mg X30COM.REC.,EUROFARMA CHILE S.A.,$ 7.399,30%,$ 5.179
164,BISOPROLOL,BISOPRIL 5mg X30COM.REC.,EUROFARMA CHILE S.A.,$ 17.199,30%,$ 12.039
165,BISOPROLOL,"CONCOR 2,5mg X28COM.REC.",MERCK SA CHILE,$ 28.399,30%,$ 19.879
166,BISOPROLOL,CORENTEL 10 10mg X30COM.REC.,PHARMA INVESTI,$ 28.199,36%,$ 18.047
167,BISOPROLOL,BISOPRIL 2.5mg X30COM.REC.,EUROFARMA CHILE S.A.,$ 14.199,47%,$ 7.525
168,BISOPROLOL,BISOPROLOL (B) 5mg X30COM.REC,ASCEND LABORATORIES SPA,$ 13.999,55%,$ 6.300
169,BISOPROLOL,BISOPROLOL FUMARATO (B) 2.5mg X30COM.,LABORATORIO CHILE,$ 11.499,66%,$ 3.910
170,BRIMONIDINA TARTRATO,AGGLAD (B) OFTENO 5ml,SOPHIA,$ 26.699,30%,$ 18.689
171,BRIMONIDINA TARTRATO+BRINZOLAMIDA,SIMBRINZA SOF.5ml,PASTEUR OPHTHA,$ 35.299,38%,$ 21.885
172,BRINZOLAMIDA + TIMOLOL,AZARGA SOL.OFT.5ml,PASTEUR OPHTHA,$ 39.899,38%,$ 24.737
173,BROMHEXINA,BROMHEXINA PED.(B) 4mg/5ml JBE.X100ml,OPKO,$ 1.899,59%,$ 779
174,BROMURO DE UMECLIDINO+VILANTEROL,ANORO 55/22mcg INH.X30DS.,GLAXO,$ 67.499,18%,$ 55.349
175,BUDESONIDA,BUDESYNT HFA LA 200mcg INH.200DS,FAES FARMA CHILE,$ 12.099,48%,$ 6.291
176,BUDESONIDA + FORMOTEROL,VANNAIR 160/4.5 X120DS.,ASTRA ZENECA DE CHILE LTDA.,$ 64.999,30%,$ 45.499
177,BUDESONIDA + FORMOTEROL,FORBUDEN 160/4.5 X60CAP.,ITF (EX LABOMED),$ 32.899,45%,$ 18.094
178,BUDESONIDA SISTEMICA,BUDENOFALK 3mg CAPS.X100,BIOTOSCANA,$ 145.999,15%,$ 124.099
179,BUPRENORFINA,NORSPAN 10mcg/hora PCHE.X2,GRUNENTHAL,$ 36.099,15%,$ 30.684
180,BUPRENORFINA,NORSPAN 5mcg/hora PCHE.X2,GRUNENTHAL,$ 22.499,16%,$ 18.899
181,BUPROPION,ELONTRIL XL 150mg X30COM.PROL.,ETEX FARMACEUTICA LTDA.,$ 38.999,38%,$ 24.179
182,BUPROPION,WELLBUTRIN XL 300mg COMP.X30,GLAXO,$ 57.099,25%,$ 42.824
183,BUPROPION,WELLBUTRIN XL 150mg COMP.X30,GLAXO,$ 57.299,27%,$ 41.828
184,BUPROPION,MONDRIAN 150mg X30COM.REC.,ANDROMACO FARMA,$ 22.699,28%,$ 16.343
185,BUPROPION,BUTRINO (B) 150mg X30COM.,EUROFARMA CHILE S.A.,$ 20.499,30%,$ 14.349
186,BUPROPION,BUPREDOL 150mg X60COM.REC.,SANITAS S.A.,$ 31.099,32%,$ 21.147
187,BUPROPION,BUTRINO 150mg X60COM.PROL,EUROFARMA CHILE S.A.,$ 29.199,35%,$ 18.979
188,BUPROPION,BUXON 150mg X30COM.REC.,SAVAL S.A.,$ 35.999,37%,$ 22.679
189,BUPROPION,ELONTRIL XL 300mg X30COM.PROL.,ETEX FARMACEUTICA LTDA.,$ 38.199,40%,$ 22.919
190,CALCIO + MAGNESIO + VITAMINA C,MAGNATIL CALC.COMP.X30,TECNOFARMA LTDA.,$ 30.299,35%,$ 19.694
191,CALCIO + VIT D,PLUSCAL X30COM.,PASTEUR,$ 19.299,25%,$ 14.474
192,CALCIO ACETATO,"PHOSLO 0,667mg X60COM.",PASTEUR,$ 10.199,16%,$ 8.567
193,CALCIO CARBONATO,ELCAL FORTE X30CAP.,ANDROMACO FARMA,$ 8.299,15%,$ 7.054
194,CALCIO CARBONATO,ELCAL 320mg X30CAP.,ANDROMACO FARMA,$ 11.699,30%,$ 8.189
195,CALCIO CARBONATO,CALCEFOR 500mg COMP.X30,LABORATORIO CHILE,$ 10.699,52%,$ 5.136
196,CALCIO CARBONATO + SODIO ALGINATO + SODIO BICARBONATO,GAVISCON DOBLE ACCION S.O.SACHET X1,RECKITT BENCKISER FARMA,$ 1.099,15%,$ 934
197,CALCIO CARBONATO + VITAMINA D3,ELCAL CI X60COM.,ANDROMACO FARMA,$ 17.999,15%,$ 15.299
198,CALCIO CARBONATO + VITAMINA D3,ELCAL D X30CAP.,ANDROMACO FARMA,$ 8.999,15%,$ 7.649
199,CALCIO CARBONATO + VITAMINA D3,ELCAL D FORTE X30CAP.,ANDROMACO FARMA,$ 10.099,18%,$ 8.281
200,CALCIO CARBONATO + VITAMINA D3,CALDEVAL X30COM.MASTICABLES,SAVAL S.A.,$ 8.099,22%,$ 6.317
201,CALCIO CARBONATO + VITAMINA D3,CAPRIMIDA D FTE.X30CAP.,RECALCINE,$ 11.999,25%,$ 8.999
202,CALCIO CARBONATO + VITAMINA D3,ELCAL D 500/800 X60CAP.,ANDROMACO FARMA,$ 16.099,30%,$ 11.269
203,CALCIO CARBONATO + VITAMINA D3,ELCAL D PLUS X30CAP.,ANDROMACO FARMA,$ 13.799,30%,$ 9.659
204,CALCIO CARBONATO + VITAMINA D3,ELCAL D PLUS X60CAP.,ANDROMACO FARMA,$ 15.799,30%,$ 11.059
205,CALCIO CARBONATO + VITAMINA D3,CALCEFOR D X60CAP.,LABORATORIO CHILE,$ 11.599,53%,$ 5.452
206,CALCIO CARBONATO + VITAMINA D3,CALDAR-D FTE.X30CAP.,MEDIPHARM,$ 7.199,56%,$ 3.168
207,CALCIO CARBONATO + VITAMINA D3,CALCEFOR D X30CAP.,LABORATORIO CHILE,$ 10.099,58%,$ 4.242
208,CALCIO CITRATO + VITAMINA D3,CALCIMAX D3 400 COMP.X60,GADORPHARMA SPA,$ 13.999,28%,$ 10.079
209,CALCIO FOSFATO + VITAMINA D3,ELCAL D SUPRA PVO.X30SOB.,ANDROMACO FARMA,$ 22.099,30%,$ 15.469
210,CALCIO GLUCONATO + CALCIO LACTOBIONATO,ELCAL KID JBE.X180ml,ANDROMACO FARMA,$ 13.999,19%,$ 11.339
211,CALCITRIOL,"ROCALTROL 0,25mcg X30CAP.",ROCHE,$ 44.599,35%,$ 28.989
212,CANAGLIFLOXINA,INVOKANA 100mg X30COM.,JANSSEN,$ 34.399,15%,$ 29.239
213,CANAGLIFLOXINA,INVOKANA 300mg X30COM.,JANSSEN,$ 40.999,15%,$ 34.849
214,CANDESARTAN,ATACAND (R) 8mg X30COM.,ASTRA ZENECA DE CHILE LTDA.,$ 33.999,30%,$ 23.799
