,Fórmula o principio Activo,Descripción Medicamento,Laboratorio,Precio referencial sin convenio abril 2022,Descuento,Precio referencial con convenio abril 2022
16,ACIDO FOLICO,FOLISANIN 1mg X30COM.,SANITAS S.A.,$4.999,50%,$2.500
17,ACIDO FOLICO,FOLACID 5mg X30COM.,ITF (EX LABOMED),$5.099,50%,$2.550
18,ACIDO FOLICO,ACIDO FOLICO 5mg X30COM.,BYB FARMACEUTICA,$3.399,59%,$1.394
19,ACIDO FOLICO,ACIDO FOLICO 1mg X30COM.,BYB FARMACEUTICA,$2.999,64%,$1.080
20,ACIDO FUSIDICO + HIDROCORTISONA ACETATO,FUCIDIN H CR 15g,DEUTSCHE PHARMA S.A.,$26.299,24%,$19.987
21,"ACIDO GLUTAMICO, COMPLEJO B",VITABRAL X30CAP.BLANDAS,MEDIPHARM,$10.699,25%,$8.024
22,"ACIDO GLUTAMICO, COMPLEJO B",VITABRAL X60CAP.BLANDAS,MEDIPHARM,$20.999,25%,$15.749
23,ACIDO MEFENAMICO,SICADOL FTE.(B) 500mg X20COM.,SYNTHON,$3.299,39%,$2.012
24,ACIDO MEFENAMICO,AC.MEFENAMICO 500mg X10COM.,LABORATORIO CHILE,$1.499,62%,$570
25,ACIDO MEFENAMICO,AC.MEFENAMICO 500mg X10COM.,HOSPIFARMA,$1.599,67%,$528
26,ACIDO SALICILICO + ACIDO LACTICO + COLODION,VERRUFILM SOL.X14ml,D&M PHARMA S.A.,$24.699,36%,$15.807
27,ACIDO URSODESOXICOLICO,URSOFALK 250mg/5ml S.O.X250ml,BIOTOSCANA,$65.499,15%,$55.674
28,ACIDO URSODESOXICOLICO,URSOFALK 500mg X50COM.REC,BIOTOSCANA,$120.499,21%,$95.194
29,ACIDO URSODESOXICOLICO,FUROKAL 250mg X100CAP.,ABBOTT ETICO,$70.999,32%,$48.279
30,ACIDO URSODESOXICOLICO,SOLVOBIL 250mg X100COM.,SILESIA,$91.399,40%,$54.839
31,ACIDO VALPROICO,VALCOTE 125mg COMP.X20,RECALCINE,$9.999,15%,$8.499
32,ACIDO VALPROICO,DEPAKENE 250mg/5ml JBE.120ml,RECALCINE,$18.999,22%,$14.819
33,ACIDO VALPROICO,ATEMPERATOR 250mg X50COM.REC.,FERRER,$28.899,30%,$20.229
34,ACIDO VALPROICO,VALCOTE ER 250mg X50COM.REC.,ABBOTT FARMA,$45.999,31%,$31.739
35,ACIDO VALPROICO,DIVALPREX (B) 500mg X50COM.REC.,GADORPHARMA SPA,$21.399,38%,$13.267
36,ACIDO VALPROICO,ACIDO VALPROICO 500mg X30COM.,ANDROMACO FARMA,$8.199,40%,$4.919
37,ACIDO VALPROICO,ATEMPERATOR 10mg/ml GTAS.X25ml,FERRER,$22.899,43%,$13.052
38,ACIDO VALPROICO,DIVALPREX (B) 250mg X50COM.REC.,GADORPHARMA SPA,$20.899,52%,$10.032
39,ADIFENINA + PROPIFENAZONA,SAE PED.X6SUP.,PASTEUR,$8.799,46%,$4.751
40,ADIFENINA + PROPIFENAZONA,SAE AD.X6SUP.,PASTEUR,$13.199,58%,$5.544
41,AEROCAMARA,AEROFACIDOSE AEROCAMARA LACTANTE,LABORATORIO CHILE,$9.299,15%,$7.904
42,AEROCAMARA,AEROFACIDOSE AEROCAMARA AD/ESCOLAR,LABORATORIO CHILE,$9.299,15%,$7.904
43,AEROCAMARA,MED CELL AEROCAMARA UNIVERSAL,MEDCELL ACCESORIOS,$5.499,20%,$4.399
44,AEROCAMARA,ALLBRIEFS AEROCAMARA BIVALVULADA PED.,MED CELL IMPORTACIONES,$9.999,37%,$6.299
45,AEROCAMARA,AEROCAMARA UNIVERSAL,MED CELL IMPORTACIONES,$6.499,67%,$2.145
46,ALBENDAZOL,VERMOIL 200mg X2COM.,FARMOQUIMICA DEL PACIFICO,$4.899,16%,$4.115
47,ALBENDAZOL,ZENTEL 400mg X3COM.,GLAXO,$28.199,27%,$20.585
48,ALBENDAZOL,VERMOIL 40mg/ml S.O.X10ml,FARMOQUIMICA DEL PACIFICO,$7.499,36%,$4.799
49,ALCOHOL DESNATURALIZADO,ALCOGEL 70 JB.LIQ.X340ml,DIFEM PHARMA S.A.,$2.299,14%,$1.977
50,ALCOHOL POLIVINILICO + CLOROBUTANOL,LAGRIMAS ARTIFICIALES SOF.X15ml,HOSPIFARMA,$2.799,60%,$1.120
51,ALENDRONATO,ALDROX (B) 70mg X10COM.REC.,PASTEUR,$13.999,20%,$11.199
52,ALENDRONATO,FOSVAL (B) 70mg X12COM.,SAVAL S.A.,$23.299,43%,$13.280
53,ALOPURINOL,ALOPURINOL (B) 300mg X20COM.,HOSPIFARMA,$2.499,53%,$1.175
54,ALOPURINOL,ALOPURINOL (B) 100mg X20COM.,HOSPIFARMA,$1.799,58%,$756
55,ALPRAZOLAM,ALPRAZOLAM (B) 0.50mg X30COM.,LABORATORIO CHILE,$1.399,46%,$755
56,ALUMINIO HIDROXIDO,HIDROXIDO ALUMINIO 6% SOL.X180ml,LABORATORIO CHILE,$3.799,28%,$2.735
57,AMANTADINA,PRAYANOL100mg X30CAP.,SANITAS S.A.,$14.799,22%,$11.543
58,AMBROXOL,PAZBRONC AD.30mg/5ml JBE.X100ml,MEDIPHARM,$3.999,56%,$1.760
59,AMBROXOL,AMBROXOL 15mg/5ml JBE.X100ml,ANDROMACO FARMA,$1.599,60%,$640
60,AMBROXOL,AMBROXOL 30mg/5ml JBE.X100ml,ANDROMACO FARMA,$1.899,67%,$627
61,AMIODARONA,AMIODARONA 200mg X20COM.,HOSPIFARMA,$3.899,30%,$2.729
62,AMISULPRIDA,SOCIAN 50mg COMP.X20,SANOFI,$25.299,15%,$21.504
63,AMITRIPTILINA,AMITRIPTILINA (B) 25mg X100COM.,LABORATORIO CHILE,$2.899,30%,$2.029
64,AMITRIPTILINA,AMITRIPTILINA (B) 25mg X24COM.,LABORATORIO CHILE,$1.599,34%,$1.055
65,AMITRIPTILINA + CLORDIAZEPOXIDO,MORELIN X30COM.,LABORATORIO CHILE,$19.999,35%,$12.999
66,AMITRIPTILINA + CLORDIAZEPOXIDO,ANTALIN X30COM.,SAVAL S.A.,$21.199,35%,$13.779
67,AMLODIPINO,AMLODIPINO (B) 5mg X30COM.,ASCEND LABORATORIES SPA,$2.199,67%,$726
68,AMLODIPINO,AMLODIPINO 10mg X30COM.,OPKO,$2.299,70%,$690
69,AMLODIPINO,AMLODIPINO 5mg X30COM.,OPKO,$2.799,70%,$840
70,AMLODIPINO + BISOPROLOL,CONCOR AM 5/5mg X30COM.,MERCK SA CHILE,$36.099,18%,$29.601
71,AMLODIPINO + BISOPROLOL,EUROCOR AM 5/5 X35COM.REC.,SAVAL S.A.,$17.399,30%,$12.179
72,AMLODIPINO + VALSARTAN,EXFORGE 10/320 X28COM.REC.,AXON PHARMA,$41.899,11%,$37.290
73,AMLODIPINO + VALSARTAN,EXFORGE 10/160 X28COM.REC.,AXON PHARMA,$43.499,14%,$37.409
74,AMLODIPINO + VALSARTAN,EXFORGE 10/160 X56COM.REC.,AXON PHARMA,$67.599,14%,$58.135
75,AMLODIPINO + VALSARTAN,EXFORGE 5/320 X28COM.REC.,AXON PHARMA,$41.899,14%,$36.033
76,AMLODIPINO + VALSARTAN,EXFORGE 5/80 X56COM.REC.,AXON PHARMA,$66.199,14%,$56.931
77,AMLODIPINO + VALSARTAN,EXFORGE 5/320 X56COM.REC.,AXON PHARMA,$62.499,15%,$53.124
78,AMLODIPINO + VALSARTAN,VALAXAM 320/5 X30COM.REC,SAVAL S.A.,$26.299,20%,$21.039
79,AMLODIPINO + VALSARTAN,EXFORGE 5/160 X28COM.REC.,AXON PHARMA,$47.099,20%,$37.679
80,AMLODIPINO + VALSARTAN,EXFORGE 5/160 X56COM.REC.,AXON PHARMA,$83.699,20%,$66.959
81,AMLODIPINO + VALSARTAN,VALAXAM 320/10 X30COM.REC,SAVAL S.A.,$28.399,20%,$22.719
82,AMLODIPINO + VALSARTAN,VALAXAM 160/10 X30COM.REC.,SAVAL S.A.,$29.499,29%,$20.944
83,AMLODIPINO + VALSARTAN,VALAXAM 80/5 X30COM.REC.,SAVAL S.A.,$29.499,29%,$20.944
84,AMLODIPINO + VALSARTAN,AMPLEX 10/160 X30COM.REC.,LABORATORIO CHILE,$26.799,31%,$18.491
85,AMLODIPINO + VALSARTAN,AMPLEX 5/160 X30COM.REC.,LABORATORIO CHILE,$27.999,34%,$18.479
86,AMLODIPINO + VALSARTAN,VALAXAM 160/5 X30COM.REC.,SAVAL S.A.,$27.799,35%,$18.069
87,AMLODIPINO + VALSARTAN + HIDROCLOROTIAZI,EXFORGE D 10/320/25 X28COM.REC.,AXON PHARMA,$47.399,14%,$40.763
88,AMLODIPINO + VALSARTAN + HIDROCLOROTIAZI,EXFORGE D 10/160/12.5 X28COM.REC.,AXON PHARMA,$47.099,18%,$38.621
89,AMLODIPINO + VALSARTAN + HIDROCLOROTIAZI,EXFORGE D 5/160/12.5 X28COM.REC.,AXON PHARMA,$60.999,20%,$48.799
90,AMLODIPINO + VALSARTAN + HIDROCLOROTIAZI,AMPLEX D 160/10/12.5 X30COM.REC.,LABORATORIO CHILE,$22.499,20%,$17.999
91,AMOXICILINA,AMOVAL (B) 750mg X21COM.,SAVAL S.A.,$24.299,43%,$13.850
92,AMOXICILINA,AMOBIOTIC 500mg/5ml S.O.X120ml,LABORATORIO CHILE,$17.599,46%,$9.503
93,AMOXICILINA,AMOXICILINA 500mg/5ml JBE.X60ml,OPKO,$1.699,49%,$866
94,AMOXICILINA,AMOXICILINA 750mg X10COM.,HOSPIFARMA,$2.199,55%,$990
95,AMOXICILINA,AMOXICILINA 250mg/5ml S.O.X60ml,OPKO,$1.799,56%,$792
96,AMOXICILINA,AMOXICILINA (B) 500mg X21CAP.,OPKO,$4.899,73%,$1.323
97,AMOXICILINA + ACIDO CLAVULANICO,MAXIMOX (B) 875/125 X14COM.REC.,PASTEUR,$17.199,16%,$14.447
98,AMOXICILINA + ACIDO CLAVULANICO,CLAVAM DUO (B) 875/125 X14COM.,EUROFARMA CHILE S.A.,$18.799,25%,$14.099
99,AMOXICILINA + ACIDO CLAVULANICO,CLAVAM DUO (B) 875/125 X20COM.,EUROFARMA CHILE S.A.,$23.799,29%,$16.897
100,AMOXICILINA + ACIDO CLAVULANICO,AMOXICILINA/CLAVUL (B) 500/125 X20COM.,OPKO,$6.199,32%,$4.215
101,AMOXICILINA + ACIDO CLAVULANICO,AMOX/AC.CLAVULANICO (B) 875/125 X20COM.,OPKO,$12.099,60%,$4.840
102,AMOXICILINA + ACIDO CLAVULANICO,AMOXICILINA/CLAVUL (B) 875/125 X14COM.,OPKO,$10.299,62%,$3.914
103,AMOXICILINA + ESOMEPRAZOL + CLARITROMICI,ZOMEL HP X28DOSIS,SAVAL S.A.,$44.899,31%,$30.980
104,ANTAZOLINA + NAFAZOLINA,OFTALIRIO SOF.X10ml,SAVAL S.A.,$11.499,31%,$7.934
105,APIXABAN,ELIQUIS 2.5mg X60COM.,PFIZER,$80.899,16%,$67.955
106,APIXABAN,ELIQUIS 5mg X60COM.,PFIZER,$79.899,19%,$64.718
107,ARIPIPRAZOL,AZYMOL (B) 10mg X30COM.,RECALCINE,$48.499,15%,$41.224
108,ARIPIPRAZOL,AZYMOL (B) 5mg X30COM.,RECALCINE,$36.499,18%,$29.929
109,ARIPIPRAZOL,IRAZEM (B) 10mg X30COM.,DEUTSCHE PHARMA S.A.,$39.699,20%,$31.759
110,ARIPIPRAZOL,ARIZOL (B) 5mg X28COM.,EXELTIS CHILE,$29.099,25%,$21.824
111,ARIPIPRAZOL,ARIZOL (B) 15mg X28COM.,EXELTIS CHILE,$56.599,30%,$39.619
112,ARIPIPRAZOL,IRAZEM (B) 15mg X30COM.,DEUTSCHE PHARMA S.A.,$46.899,40%,$28.139
113,ARIPIPRAZOL,AZYMOL (B) 15mg X30COM.,RECALCINE,$72.499,40%,$43.499
114,ARIPIPRAZOL,ARIVITAE (B) 10mg X28COM.,GALENICUM HEALTH CHILE SPA,$29.499,52%,$14.160
115,ARMODAFINILO,ARVIGIL FT 200mg X30COM.,ANDROMACO FARMA,$35.499,30%,$24.849
116,ARMODAFINILO,NUVIGIL 150mg X30COM.,LABORATORIO CHILE,$33.099,40%,$19.859
117,ATAPULGITA + NIFUROXAZIDA,DIAREN X20COM.,SAVAL S.A.,$9.599,25%,$7.199
118,ATENOLOL,ATENOLOL (B) 50mg X20COM.,LABORATORIO CHILE,$999,61%,$390
119,ATOMOXETINA,STRATTERA (R) 40mg X14CAP.,TECNOFARMA LTDA.,$51.999,15%,$44.199
120,ATOMOXETINA,DEATEN (B) 80mg X15COM.,ANDROMACO FARMA,$52.499,19%,$42.524
121,ATOMOXETINA,DEATEN (B) 40mg X30CAP.,ANDROMACO FARMA,$59.699,30%,$41.789
122,ATORVASTATINA,LIPITOR (R) 10mg X30COM.REC.,PFIZER,$49.599,14%,$42.655
123,ATORVASTATINA,LIPOX (B) 40mg X30COM.REC.,LABORATORIO CHILE,$17.499,22%,$13.649
124,ATORVASTATINA,LOWDEN (B) 20mg X30COM.,SAVAL S.A.,$29.799,23%,$22.945
125,ATORVASTATINA,LIPOX (B) 80mg X30COM.REC.,LABORATORIO CHILE,$19.999,25%,$14.999
126,ATORVASTATINA,LOWDEN (B) 10mg X60COM.,SAVAL S.A.,$33.499,30%,$23.449
127,ATORVASTATINA,LIPOTEN (B) 80mg X28COM.,EXELTIS CHILE,$30.399,31%,$20.975
128,ATORVASTATINA,LIPOTEN (B) 40mg X28COM.,EXELTIS CHILE,$28.599,34%,$18.875
129,ATORVASTATINA,ATORVASTATINA (B) 20mg X30COM.,LABORATORIO CHILE,$3.299,75%,$825
130,ATORVASTATINA,ATORVASTATINA (B) 10mg X30COM.,LABORATORIO CHILE,$2.999,77%,$690
131,ATROPINA,ATROPINA 1% SOF.X5ml,BPH S.A,$19.299,54%,$8.878
132,AZATIOPRINA,IMURAN 50mg COMP.X100,ASPEN CHILE,$81.199,15%,$69.019
133,AZITROMICINA,AZITROM FTE.400mg/5ml S.O.X20ml,LABORATORIO CHILE,$17.299,4%,$16.607
134,AZITROMICINA,AZITROMICINA (B) 500mg X6COM.,LABORATORIO CHILE,$3.099,48%,$1.611
135,AZITROMICINA,AZITROMICINA (B) 500mg X3COM.,LABORATORIO CHILE,$1.899,49%,$968
136,AZITROMICINA,AZITROMICINA 200mg/5ml S.O.X15ml,LABORATORIO CHILE,$6.699,65%,$2.345
137,AZITROMICINA,AZITROMICINA 200mg/5ml S.O X30ml,HOSPIFARMA,$7.999,73%,$2.160
138,BACITRACINA + NEOMICINA + ANTAZOLINA + XILOMETAZOLINA,RINOBANEDIF UNGTO.10g,BAGO,$12.999,35%,$8.449
139,BACLOFENO,LIORESYL 10mg X60COM.,NOVARTIS CHILE S.A.,$65.999,15%,$56.099
140,BACLOFENO,CETRIL 10mg X50COM.,PHARMA INVESTI,$30.499,35%,$19.824
141,BENZOCAINA + CETILPIRIDINIO CLORURO + DEXPANTENOL,KALMAFTA GEL.X20ml,ANDROMACO FARMA,$5.799,20%,$4.639
142,BETAHISTINA,BETASERC (R) 24mg X30COM.,ABBOTT FARMA,$37.099,20%,$29.679
143,BETAHISTINA,MICROSER (B) 24mg X30COM.,GRUNENTHAL,$42.999,27%,$31.389
144,BETAHISTINA,MICROSER (B) 16mg X30COM.,GRUNENTHAL,$40.999,29%,$29.109
145,BETAHISTINA,MICROSER 8mg X60COM.,GRUNENTHAL,$46.399,30%,$32.479
146,BETAHISTINA,BETINA (B) 16mg X30COM.,EUROFARMA CHILE S.A.,$27.699,35%,$18.004
147,BETAHISTINA,MICROSER (B) 8mg X30COM.,GRUNENTHAL,$32.499,36%,$20.799
148,BETAHISTINA,BETASERC (R) 16mg X30COM.,ABBOTT FARMA,$31.499,37%,$19.844
149,BETAHISTINA,BETINA (B) 24mg X30COM.,EUROFARMA CHILE S.A.,$35.299,42%,$20.473
150,BETAMETASONA (ACETATO Y FOSFATO SODICO),DACAM RL 3mg/ml AMP.+JERINGA,LABORATORIO CHILE,$25.299,28%,$18.215
151,BETAMETASONA (FOSFATO DISODICO Y DIPROPIONATO),BETAVOL 5+2mg/ml X1 AMP.,EUROFARMA CHILE S.A.,$13.699,17%,$11.370
152,BETAMETASONA (FOSFATO DISODICO Y DIPROPIONATO),CIDOTEN 4mg/ml AMP.X1,MSD- ORGANON,$12.399,30%,$8.679
153,BETAMETASONA + CALCIPOTRIOL,DAIVOBET GEL 30g,DEUTSCHE PHARMA S.A.,$53.999,18%,$44.279
154,BETAMETASONA + LIDOCAINA + OXIDO DE ZINC,CONTRALMOR X6SUP.,LABORATORIO CHILE,$15.199,41%,$8.967
155,BETAMETASONA DERMICA,BETAMETASONA 0.05% CR.X15g,LABORATORIO CHILE,$1.399,45%,$769
156,BETAMETASONA DERMICA,"BETAMETASONA 0,05% UNG.X15g",LABORATORIO CHILE,$2.899,49%,$1.478
157,BETAMETASONA OFTALMICA,OFTASONA P SOF.X10ml,SAVAL S.A.,$13.799,17%,$11.453
158,BIFIDOBACTERIUM LONGUM,ALFLOREX X30CAP.,AXON PHARMA,$25.799,30%,$18.059
159,BIFIDOBACTERIUM LONGUM + LACTOBACILLUS A,MULTIFLORA PLUS X30CAP.,PHARMA INVESTI,$19.199,33%,$12.863
160,BIMATOPROST,LUMIGAN (B) 0.03% SOL.OFT.3ml,ALLERGAN LTDA.,$52.099,24%,$39.595
161,BISOPROLOL,CONCOR 5mg X28COM.REC.,MERCK SA CHILE,$32.799,20%,$26.239
162,BISOPROLOL,CONCOR 10mg X28COM.REC.,MERCK SA CHILE,$38.099,26%,$28.193
163,BISOPROLOL,BISOPRIL 1.25mg X30COM.REC.,EUROFARMA CHILE S.A.,$7.399,30%,$5.179
164,BISOPROLOL,BISOPRIL 5mg X30COM.REC.,EUROFARMA CHILE S.A.,$17.199,30%,$12.039
165,BISOPROLOL,"CONCOR 2,5mg X28COM.REC.",MERCK SA CHILE,$28.399,30%,$19.879
166,BISOPROLOL,CORENTEL 10 10mg X30COM.REC.,PHARMA INVESTI,$28.199,36%,$18.047
167,BISOPROLOL,BISOPRIL 2.5mg X30COM.REC.,EUROFARMA CHILE S.A.,$14.199,47%,$7.525
168,BISOPROLOL,BISOPROLOL (B) 5mg X30COM.REC,ASCEND LABORATORIES SPA,$13.999,55%,$6.300
169,BISOPROLOL,BISOPROLOL FUMARATO (B) 2.5mg X30COM.,LABORATORIO CHILE,$11.499,66%,$3.910
170,BRIMONIDINA TARTRATO,AGGLAD (B) OFTENO 5ml,SOPHIA,$26.699,30%,$18.689
171,BRIMONIDINA TARTRATO+BRINZOLAMIDA,SIMBRINZA SOF.5ml,PASTEUR OPHTHA,$35.299,38%,$21.885
172,BRINZOLAMIDA + TIMOLOL,AZARGA SOL.OFT.5ml,PASTEUR OPHTHA,$39.899,38%,$24.737
173,BROMHEXINA,BROMHEXINA PED.(B) 4mg/5ml JBE.X100ml,OPKO,$1.799,59%,$738
174,BROMURO DE UMECLIDINO+VILANTEROL,ANORO 55/22mcg INH.X30DS.,GLAXO,$67.299,18%,$55.185
175,BUDESONIDA,BUDESYNT HFA LA 200mcg INH.200DS,FAES FARMA CHILE,$11.499,48%,$5.979
176,BUDESONIDA + FORMOTEROL,VANNAIR 160/4.5 X120DS.,ASTRA ZENECA DE CHILE LTDA.,$61.699,30%,$43.189
177,BUDESONIDA + FORMOTEROL,FORBUDEN 160/4.5 X60CAP.,ITF (EX LABOMED),$32.899,45%,$18.094
178,BUDESONIDA SISTEMICA,BUDENOFALK 3mg CAPS.X100,BIOTOSCANA,$138.599,15%,$117.809
179,BUPRENORFINA,NORSPAN 10mcg/hora PCHE.X2,GRUNENTHAL,$36.099,15%,$30.684
180,BUPRENORFINA,NORSPAN 5mcg/hora PCHE.X2,GRUNENTHAL,$22.499,16%,$18.899
181,BUPROPION,ELONTRIL XL 150mg X30COM.PROL.,ETEX FARMACEUTICA LTDA.,$38.999,18%,$31.979
182,BUPROPION,WELLBUTRIN XL 300mg COMP.X30,GLAXO,$56.999,25%,$42.749
183,BUPROPION,WELLBUTRIN XL 150mg COMP.X30,GLAXO,$57.199,27%,$41.755
184,BUPROPION,MONDRIAN 150mg X30COM.REC.,ANDROMACO FARMA,$21.999,28%,$15.839
185,BUPROPION,BUTRINO (B) 150mg X30COM.,EUROFARMA CHILE S.A.,$20.499,30%,$14.349
186,BUPROPION,BUPREDOL 150mg X60COM.REC.,SANITAS S.A.,$31.099,32%,$21.147
187,BUPROPION,BUTRINO 150mg X60COM.PROL,EUROFARMA CHILE S.A.,$29.199,35%,$18.979
188,BUPROPION,BUXON 150mg X30COM.REC.,SAVAL S.A.,$34.299,37%,$21.608
189,CALCIO + MAGNESIO + VITAMINA C,MAGNATIL CALC.COMP.X30,TECNOFARMA LTDA.,$28.799,35%,$18.719
190,CALCIO + VIT D,PLUSCAL X30COM.,PASTEUR,$19.299,25%,$14.474
191,CALCIO ACETATO,"PHOSLO 0,667mg X60COM.",PASTEUR,$10.199,16%,$8.567
192,CALCIO CARBONATO,ELCAL FORTE X30CAP.,ANDROMACO FARMA,$7.999,15%,$6.799
193,CALCIO CARBONATO,ELCAL 320mg X30CAP.,ANDROMACO FARMA,$11.299,30%,$7.909
194,CALCIO CARBONATO,CALCEFOR 500mg COMP.X30,LABORATORIO CHILE,$10.699,52%,$5.136
195,CALCIO CARBONATO + SODIO ALGINATO + SODIO BICARBONATO,GAVISCON DOBLE ACCION S.O.SACHET X1,RECKITT BENCKISER FARMA,$1.099,15%,$934
196,CALCIO CARBONATO + VITAMINA D3,ELCAL CI X60COM.,ANDROMACO FARMA,$17.299,15%,$14.704
197,CALCIO CARBONATO + VITAMINA D3,ELCAL D X30CAP.,ANDROMACO FARMA,$8.599,15%,$7.309
198,CALCIO CARBONATO + VITAMINA D3,ELCAL D FORTE X30CAP.,ANDROMACO FARMA,$9.699,18%,$7.953
199,CALCIO CARBONATO + VITAMINA D3,CALDEVAL X30COM.MASTICABLES,SAVAL S.A.,$7.699,22%,$6.005
200,CALCIO CARBONATO + VITAMINA D3,CAPRIMIDA D FTE.X30CAP.,RECALCINE,$11.999,25%,$8.999
201,CALCIO CARBONATO + VITAMINA D3,ELCAL D 500/800 X60CAP.,ANDROMACO FARMA,$15.499,30%,$10.849
202,CALCIO CARBONATO + VITAMINA D3,ELCAL D PLUS X30CAP.,ANDROMACO FARMA,$13.299,30%,$9.309
203,CALCIO CARBONATO + VITAMINA D3,ELCAL D PLUS X60CAP.,ANDROMACO FARMA,$15.199,30%,$10.639
204,CALCIO CARBONATO + VITAMINA D3,CALCEFOR D X60CAP.,LABORATORIO CHILE,$11.599,53%,$5.452
205,CALCIO CARBONATO + VITAMINA D3,CALDAR-D FTE.X30CAP.,MEDIPHARM,$7.199,56%,$3.168
206,CALCIO CARBONATO + VITAMINA D3,CALCEFOR D X30CAP.,LABORATORIO CHILE,$10.099,58%,$4.242
207,CALCIO CITRATO + VITAMINA D3,CALCIMAX D3 400 COMP.X60,GADORPHARMA SPA,$13.999,28%,$10.079
208,CALCIO FOSFATO + VITAMINA D3,ELCAL D SUPRA PVO.X30SOB.,ANDROMACO FARMA,$21.299,30%,$14.909
209,CALCIO GLUCONATO + CALCIO LACTOBIONATO,ELCAL KID JBE.X180ml,ANDROMACO FARMA,$13.499,19%,$10.934
210,CALCITRIOL,"ROCALTROL 0,25mcg X30CAP.",ROCHE,$44.599,35%,$28.989
211,CANAGLIFLOXINA,INVOKANA 100mg X30COM.,JANSSEN,$34.399,15%,$29.239
212,CANAGLIFLOXINA,INVOKANA 300mg X30COM.,JANSSEN,$40.999,15%,$34.849
213,CANDESARTAN,ATACAND (R) 8mg X30COM.,ASTRA ZENECA DE CHILE LTDA.,$32.199,30%,$22.539
214,CANDESARTAN,BLOX (B) 16mg COMP.X30,SAVAL S.A.,$35.699,30%,$24.989
215,CANDESARTAN,BLOX 8mg X30COM.,SAVAL S.A.,$33.199,38%,$20.583
216,CANDESARTAN + HIDROCLOROTIAZIDA,"BLOX-D 8/12,5 COMP.X30",SAVAL S.A.,$24.899,17%,$20.666
217,CANDESARTAN + HIDROCLOROTIAZIDA,BILATEN-D 16/12.5 X30COM.,MEDIPHARM,$19.999,27%,$14.599
218,CANDESARTAN + HIDROCLOROTIAZIDA,"BLOX-D 32/12,5 COMP.X30",SAVAL S.A.,$41.799,28%,$30.095
219,CAPTOPRIL,CAPTOPRIL (B) 25mg X30COM.,HOSPIFARMA,$4.599,77%,$1.058
220,CARBAMAZEPINA,(R) TEGRETAL 400mg COMP.X20,AXON PHARMA,$34.299,17%,$28.468
221,CARBAMAZEPINA,TEGRETAL (R) 200mg X20COM.,AXON PHARMA,$30.399,44%,$17.023
222,CARBAMAZEPINA,CARBAMAZEPINA (B) 200mg X20COM.,LABORATORIO CHILE,$2.699,60%,$1.080
223,CARBOMER 974,SICCAFLUID GEL OF.X10g,THEA PHARMA SPA,$20.799,28%,$14.975
224,CARBOMER 974,"ACRYLARM 0,2% GEL OF. 10g",PHARMA INVESTI,$13.999,34%,$9.239
225,CARBOXIMETILCELULOSA,OPTIVE OFT.15ml,ALLERGAN LTDA.,$27.699,28%,$19.943
226,CARBOXIMETILCELULOSA,REFRESH TEARS SOL.OFT.10ml,ALLERGAN LTDA.,$20.199,34%,$13.331
227,CARBOXIMETILCELULOSA+GLICEROL+POLISORBAT,OPTIVE ADVANCED EM.10ml,ALLERGAN LTDA.,$26.099,19%,$21.140
228,CARMELOSA SODICA,CARMELOSA 0.5% SOF.X15ml,HOSPIFARMA,$3.499,52%,$1.680
