,Fórmula o principio Activo,Descripción Medicamento,Laboratorio,Precio referencial sin convenio julio 2020,Descuento,Precio referencial con Descuento julio 2020
22,ACIDO URSODESOXICOLICO,SOLVOBIL 250mg COMP.X100,SILESIA,$86.099,75%,$21.525
23,ACIDO URSODESOXICOLICO,URSOFALK 250mg/5ml S.O.X250ml,BIOTOSCANA,$65.499,13%,$56.984
24,ACIDO VALPROICO,AC.VALPROICO 375mg/ml GTAS.ORAL.X25ml,ANDROMACO FARMA,$11.499,77%,$2.645
25,ACIDO VALPROICO,ACIDO VALPROICO 500mg X30COM.,ANDROMACO FARMA,$7.799,62%,$2.964
26,ACIDO VALPROICO,ATEMPERATOR 250mg X50COM.REC.,FERRER,$26.499,45%,$14.574
27,ACIDO VALPROICO,VALCOTE ER 250mg X50COM.REC.,ABBOTT FARMA,$45.999,52%,$22.080
28,ACIDO ZOLEDRONICO,ACLASTA 5mg/100ml X1VIAL,NOVARTIS CHILE S.A.,$394.499,28%,$284.039
29,ADIFENINA + PROPIFENAZONA,SAE AD.X6SUP.,PASTEUR,$11.999,58%,$5.040
30,ADIFENINA + PROPIFENAZONA,SAE PED.X6SUP.,PASTEUR,$7.999,63%,$2.960
31,AEROCAMARA,AEROFACIDOSE AEROCAMARA AD/ESCOLAR,LABORATORIO CHILE,$8.299,20%,$6.639
32,AEROCAMARA,AEROFACIDOSE AEROCAMARA LACTANTE,LABORATORIO CHILE,$8.299,81%,$1.577
33,AGUA BIDESTILADA,AGUA BIDESTILADA 10ml X5AMP.,SANDERSON S.A.,$1.799,88%,$216
34,AGUA BIDESTILADA,AGUA BIDESTILADA 5ml X5AMP.,SANDERSON S.A.,$1.899,98%,$38
35,ALBENDAZOL,VERMOIL 200mg X2COM.,FARMOQUIMICA DEL PACIFICO,$4.599,16%,$3.863
36,ALBENDAZOL,ZENTEL 400mg X1COM.,GLAXO,$15.999,82%,$2.880
37,ALBENDAZOL,ZENTEL 400mg X3COM.,GLAXO,$25.999,69%,$8.060
38,ALCOHOL DESNATURALIZADO,ALCOGEL 70 JB.LIQ.X340ml,DIFEM PHARMA S.A.,$2.299,14%,$1.977
39,ALCOHOL POLIVINILICO + CLOROBUTANOL,LAGRIMAS ARTIFICIALES SOF.X15ml,HOSPIFARMA,$2.799,62%,$1.064
40,ALENDRONATO,ALDROX 70mg X10COM.REC.,PASTEUR,$12.999,20%,$10.399
41,ALENDRONATO + CALCIO + VIT D,LEODRIN 70 DUO X4/56COM.REC.,RECALCINE,$22.499,25%,$16.874
42,ALENDRONATO + COLECALCIFEROL,LEODRIN PLUS 5600 X5COM.,RECALCINE,$29.499,25%,$22.124
43,ALOPURINOL,ALOPURINOL 300mg X20COM.,HOSPIFARMA,$2.499,53%,$1.175
44,ALPRAZOLAM,ALPRAZOLAM (B) 0.50mg X30COM.,LABORATORIO CHILE,$1.399,46%,$755
45,ALUMINIO HIDROXIDO,HIDROXIDO ALUMINIO 6% SOL.X180ml,LABORATORIO CHILE,$2.399,38%,$1.487
46,AMANTADINA,PRAYANOL100mg X30CAP.,SANITAS S.A.,$12.699,22%,$9.905
47,AMBROXOL,AMBROXOL 15mg/5ml JBE.X100ml,ANDROMACO FARMA,$1.499,69%,$465
48,AMBROXOL,AMBROXOL 30mg/5ml JBE.X100ml,ANDROMACO FARMA,$1.799,72%,$504
49,AMBROXOL,PAZBRONQ ADULTO JARABE X 100 ML.,MEDIPHARM,$3.999,42%,$2.319
50,AMIODARONA,AMIODARONA 200mg COMP.X20,HOSPIFARMA,$2.999,30%,$2.099
51,AMITRIPTILINA,AMITRIPTILINA 25mg X100COM.,LABORATORIO CHILE,$2.599,47%,$1.377
52,AMITRIPTILINA + CLORDIAZEPOXIDO,MORELIN 30CR,LABORATORIO CHILE,$18.999,35%,$12.349
53,AMLODIPINO,AMLODIPINO (B) 10mg X30COM.,OPKO,$2.099,72%,$588
54,AMLODIPINO,AMLODIPINO 5mg X30COM.,OPKO,$2.799,73%,$756
55,AMLODIPINO + BISOPROLOL,CONCOR AM 5 5mg COMP.X30,MERCK SA CHILE,$31.599,36%,$20.223
56,AMLODIPINO + VALSARTAN,AMPLEX 10 MG/ 160 MG 30 CR,LABORATORIO CHILE,$26.799,35%,$17.419
57,AMLODIPINO + VALSARTAN,AMPLEX 5 MG/ 160 MG 30 CR,LABORATORIO CHILE,$27.999,35%,$18.199
58,AMLODIPINO + VALSARTAN,AMPLEX 5 MG/ 80 MG 30 CR,LABORATORIO CHILE,$22.999,35%,$14.949
59,AMLODIPINO + VALSARTAN,EXFORGE 10/160 X28COM.REC.,AXON PHARMA,$38.899,20%,$31.119
60,AMLODIPINO + VALSARTAN,EXFORGE 10/160 X56COM.REC.,AXON PHARMA,$60.499,20%,$48.399
61,AMLODIPINO + VALSARTAN,EXFORGE 10/320 X28COM.REC.,AXON PHARMA,$37.499,20%,$29.999
62,AMLODIPINO + VALSARTAN,EXFORGE 5/160 X28COM.REC.,AXON PHARMA,$42.099,20%,$33.679
63,AMLODIPINO + VALSARTAN,EXFORGE 5/160 X56COM.REC.,AXON PHARMA,$74.999,20%,$59.999
64,AMLODIPINO + VALSARTAN,EXFORGE 5/320 X28COM.REC.,AXON PHARMA,$37.499,20%,$29.999
65,AMLODIPINO + VALSARTAN,EXFORGE 5/320 X56COM.REC.,AXON PHARMA,$55.999,20%,$44.799
66,AMLODIPINO + VALSARTAN,EXFORGE 5/80 X56COM.REC.,AXON PHARMA,$59.299,20%,$47.439
67,AMLODIPINO + VALSARTAN + HIDROCLOROTIAZI,EXFORGE D 10/160/12.5 X28COM.REC.,AXON PHARMA,$40.199,20%,$32.159
68,AMLODIPINO + VALSARTAN + HIDROCLOROTIAZI,EXFORGE D 10/320/25 X28COM.REC.,AXON PHARMA,$39.199,20%,$31.359
69,AMLODIPINO + VALSARTAN + HIDROCLOROTIAZI,EXFORGE D 5/160/12.5 X28COM.REC.,AXON PHARMA,$53.599,20%,$42.879
70,AMOXICILINA,AMOXICILINA 250mg/5ml S.O.X60ml,OPKO,$1.599,56%,$704
71,AMOXICILINA,AMOXICILINA 500mg X21CAP.,OPKO,$3.999,73%,$1.080
72,AMOXICILINA,AMOXICILINA 500mg/5ml JBE.X60ml,OPKO,$1.799,70%,$540
73,AMOXICILINA,AMOXICILINA 750mg X10COM.,HOSPIFARMA,$2.099,66%,$714
74,AMOXICILINA + ACIDO CLAVULANICO,CLAVAM DUO (BE) 875/125 COMP.X14,EUROFARMA CHILE S.A.,$17.899,40%,$10.739
75,AMOXICILINA + ACIDO CLAVULANICO,CLAVAM DUO(BE) 875/125 COMP.X20,EUROFARMA CHILE S.A.,$22.599,43%,$12.881
76,AMOXICILINA + ACIDO CLAVULANICO,(B) AMOLEX DUO 875/125 COMP.X14,ANDROMACO FARMA,$25.299,30%,$17.709
77,AMOXICILINA + ACIDO CLAVULANICO,(B) AMOLEX DUO 875/125 COMP.X20,ANDROMACO FARMA,$25.999,30%,$18.199
78,AMOXICILINA + ACIDO CLAVULANICO,AMOX/AC.CLAVULANICO (B) 875/125 X20COM.,OPKO,$11.399,62%,$4.332
79,AMOXICILINA + ACIDO CLAVULANICO,AMOXICILINA/CLAVUL (B) 500/125 X20COM.,OPKO,$6.099,53%,$2.867
80,AMOXICILINA + LANSOPRAZOL + CLARITROMICI,LANZOPRAL HELIPACK X14DS.,PHARMA INVESTI,$37.899,42%,$21.981
81,ANTAZOLINA + NAFAZOLINA,OFTALIRIO SOF.X10ml,SAVAL S.A.,$11.499,31%,$7.934
82,APIXABAN,ELIQUIS 5mg X60COM.,PFIZER,$81.399,30%,$56.979
83,ARIPIPRAZOL,AZYMOL 10mg X30COM.,RECALCINE,$48.499,25%,$36.374
84,ARIPIPRAZOL,AZYMOL 15mg X30COM.,RECALCINE,$72.499,68%,$23.200
85,ARIPIPRAZOL,AZYMOL 5mg X30COM.,RECALCINE,$36.499,25%,$27.374
86,ARIPIPRAZOL,IRAZEM (B) 15mg X30COM.,DEUTSCHE PHARMA S.A.,$45.699,78%,$10.054
87,ARIPIPRAZOL,IRAZEM 10mg X30COM.,DEUTSCHE PHARMA S.A.,$38.899,23%,$29.952
88,ARMODAFINILO,ARVIGIL 200 MG X 30 COM,ANDROMACO FARMA,$33.999,40%,$20.399
89,ATAPULGITA + NIFUROXAZIDA,DIAREN X20COM.,SAVAL S.A.,$9.399,25%,$7.049
90,ATENOLOL,ATENOLOL (B) 50mg X20COM.,LABORATORIO CHILE,$999,66%,$340
91,ATOMOXETINA,DEATEN 40MG. FCO. 30 COMP.,ANDROMACO FARMA,$56.199,40%,$33.719
92,ATOMOXETINA,DEATEN 80MG. CAJA 15 COMP.,ANDROMACO FARMA,$49.399,40%,$29.639
93,ATORVASTATINA,(R) LIPITOR 10mg COMP.X30,PFIZER,$48.599,20%,$38.879
94,ATORVASTATINA,ATENFAR BE 20MG X 30 COMPR. REC.,MEDIPHARM,$7.999,53%,$3.760
95,ATORVASTATINA,ATORVASTATINA (B) 10mg X30COM.,LABORATORIO CHILE,$2.799,81%,$532
96,ATORVASTATINA,ATORVASTATINA (B) 20mg X30COM.,LABORATORIO CHILE,$2.999,80%,$600
97,ATORVASTATINA,LIPOX 10 MG 30 CR Z BE,LABORATORIO CHILE,$11.499,35%,$7.474
98,ATORVASTATINA,LIPOX 20 MG 30 CR Z BE,LABORATORIO CHILE,$21.999,35%,$14.299
99,ATORVASTATINA,LIPOX 40 MG 30 CR Z BE,LABORATORIO CHILE,$17.099,35%,$11.114
100,ATORVASTATINA,LIPOX 80 MG 30 CR Z BE,LABORATORIO CHILE,$18.799,39%,$11.467
101,ATROPINA,ATROPINA 1% SOF.X5ml,BPH S.A,$14.399,54%,$6.624
102,AZATIOPRINA,AZATIOPRINA (B) 50mg 100COM.,ASCEND LABORATORIES SPA,$37.199,25%,$27.899
103,AZITROMICINA,ABACTEN 200mg SOE 30ml,ANDROMACO FARMA,$15.499,30%,$10.849
104,AZITROMICINA,ABACTEN 400mg SOE 20ml,ANDROMACO FARMA,$17.999,77%,$4.140
105,AZITROMICINA,AZITROMICINA (B) 500mg X6COM.,LABORATORIO CHILE,$2.899,61%,$1.131
106,AZITROMICINA,AZITROMICINA 200mg/5ml S.O.X15ml,LABORATORIO CHILE,$6.699,69%,$2.077
107,AZITROMICINA,RICILINA 200mg/5ml S.O.SACHET X15ml,RECALCINE,$6.999,33%,$4.689
108,BACLOFENO,LIORESYL 10mg X60COM.,NOVARTIS CHILE S.A.,$65.999,20%,$52.799
109,BENZOCAINA + CETILPIRIDINIO CLORURO + DEXPANTENOL,KALMAFTA GEL 20ml,ANDROMACO FARMA,$5.399,20%,$4.319
110,BETAHISTINA,BETASERC (R) 16mg X30COM.,ABBOTT FARMA,$31.499,53%,$14.805
111,BETAHISTINA,BETASERC (R) 24mg X30COM.,ABBOTT FARMA,$37.099,39%,$22.630
112,BETAHISTINA,BETINA (B) 16mg X30COM.,EUROFARMA CHILE S.A.,$26.799,30%,$18.759
113,BETAHISTINA,BETINA (B) 24mg X30COM.,EUROFARMA CHILE S.A.,$33.599,30%,$23.519
114,BETAHISTINA,MICROSER COMP.16MG.X30 VTA,GRUNENTHAL,$40.999,40%,$24.599
115,BETAHISTINA,MICROSER COMP.24MG.X30 VTA (BE),GRUNENTHAL,$42.999,40%,$25.799
116,BETAHISTINA,MICROSER COMP.8MG.X30 VTA,GRUNENTHAL,$32.499,40%,$19.499
117,BETAHISTINA,MICROSER COMP.8MG.X60 VTA,GRUNENTHAL,$46.399,40%,$27.839
118,BETAMETASONA (FOSFATO DISODICO Y DIPROPIONATO),BETAVOL 5+2mg/ml AMP.X1,EUROFARMA CHILE S.A.,$12.999,30%,$9.099
119,BETAMETASONA + LIDOCAINA + OXIDO DE ZINC,CONTRALMOR X6SUP.,LABORATORIO CHILE,$12.999,53%,$6.110
120,BETAMETASONA DERMICA,BETAMETASONA 0.05% CR.X15g,LABORATORIO CHILE,$1.299,76%,$312
121,BETAMETASONA OFTALMICA,OFTASONA P SOF.X10ml,SAVAL S.A.,$13.499,25%,$10.124
122,BISOPROLOL,BISOPRIL 1.25 COMP.X30,EUROFARMA CHILE S.A.,$6.999,30%,$4.899
123,BISOPROLOL,BISOPRIL 2.5 COMP.X30,EUROFARMA CHILE S.A.,$13.899,60%,$5.560
124,BISOPROLOL,BISOPRIL 5mg COMP.X30,EUROFARMA CHILE S.A.,$16.799,30%,$11.759
125,BISOPROLOL,CONCOR 10mg X28COM.REC.,MERCK SA CHILE,$33.299,39%,$20.312
126,BISOPROLOL,"CONCOR 2,5mg COMP.X28",MERCK SA CHILE,$26.999,30%,$18.899
127,BISOPROLOL,CONCOR 5mg COMP.X28,MERCK SA CHILE,$33.199,20%,$26.559
128,BROMHEXINA,BROMHEXINA PED.4mg/5ml JBE.X100ml,OPKO,$1.499,59%,$615
129,BUDESONIDA + FORMOTEROL,VANNAIR 160/4.5 X120DS.,ASTRA ZENECA DE CHILE LTDA.,$57.599,52%,$27.648
130,BUPROPION,BUTRINO 150mg COM.X30,EUROFARMA CHILE S.A.,$19.499,30%,$13.649
131,BUPROPION,BUTRINO 150mg COM.X60,EUROFARMA CHILE S.A.,$27.799,35%,$18.069
132,BUPROPION,ELONTRIL XL 150mg X30COM.PROL.,ETEX FARMACEUTICA LTDA.,$38.999,18%,$31.979
133,BUPROPION,MONDRIAN 150MG X 30,ANDROMACO FARMA,$21.999,40%,$13.199
134,CALCIO + VIT D,PLUSCAL COMP.X30,PASTEUR,$18.099,25%,$13.574
135,CALCIO ACETATO,"PHOSLO 0,667mg X60COM.",PASTEUR,$9.499,16%,$7.979
136,CALCIO CARBONATO,ELCAL 320mg CAPS.X30,ANDROMACO FARMA,$10.899,30%,$7.629
137,CALCIO CARBONATO,ELCAL FTE 450mg CAPS.X30,ANDROMACO FARMA,$7.699,30%,$5.389
138,CALCIO CARBONATO + VITAMINA D3,CALCEFOR D X30CAP.,LABORATORIO CHILE,$9.499,63%,$3.515
139,CALCIO CARBONATO + VITAMINA D3,CALCEFOR D X60CAP.,LABORATORIO CHILE,$10.999,93%,$770
140,CALCIO CARBONATO + VITAMINA D3,CALCIO 320MG + VIT. D3 125 UI x 60 compr.,MEDIPHARM,$7.999,32%,$5.439
141,CALCIO CARBONATO + VITAMINA D3,CALDAR-D FORTE x 30 cápsulas,MEDIPHARM,$7.199,32%,$4.895
142,CALCIO CARBONATO + VITAMINA D3,CAPRIMIDA D FTE.X30CAP.,RECALCINE,$11.999,25%,$8.999
143,CALCIO CARBONATO + VITAMINA D3,ELCAL CI COMP.X60,ANDROMACO FARMA,$16.199,30%,$11.339
144,CALCIO CARBONATO + VITAMINA D3,ELCAL D 500/800 CAPS.X60,ANDROMACO FARMA,$14.499,30%,$10.149
145,CALCIO CARBONATO + VITAMINA D3,ELCAL D CAPS.X30,ANDROMACO FARMA,$8.299,30%,$5.809
146,CALCIO CARBONATO + VITAMINA D3,ELCAL D CAPS.X60,ANDROMACO FARMA,$11.099,30%,$7.769
147,CALCIO CARBONATO + VITAMINA D3,ELCAL D FTE.CAPS.X30,ANDROMACO FARMA,$9.399,30%,$6.579
148,CALCIO CARBONATO + VITAMINA D3,ELCAL D FTE.CAPS.X60,ANDROMACO FARMA,$12.499,30%,$8.749
149,CALCIO CARBONATO + VITAMINA D3,ELCAL D PLUS CAPS.X30,ANDROMACO FARMA,$12.899,30%,$9.029
150,CALCIO CARBONATO + VITAMINA D3,ELCAL D PLUS CAPS.X60,ANDROMACO FARMA,$14.199,30%,$9.939
151,CALCIO FOSFATO + VITAMINA D3,ELCAL D SUPRA SOB.X30,ANDROMACO FARMA,$20.599,30%,$14.419
152,CALCIO GLUCONATO + CALCIO LACTOBIONATO,ELCAL KID JBE.180ml,ANDROMACO FARMA,$12.699,30%,$8.889
153,CALCITRIOL,ROCALTROL 0.25mcg CAPS.X30,ROCHE,$44.599,35%,$28.989
154,CANAGLIFLOXINA,INVOKANA 100mg X30COM.,JANSSEN,$34.499,25%,$25.874
155,CANAGLIFLOXINA,INVOKANA 300mg X30COM.,JANSSEN,$41.199,25%,$30.899
156,CANDESARTAN,ATACAND (R) 8mg X30COM.,ASTRA ZENECA DE CHILE LTDA.,$32.199,52%,$15.456
157,CANDESARTAN + HIDROCLOROTIAZIDA,BILATEN-D 16/12.5 mg. x 30 comprimidos,MEDIPHARM,$18.999,27%,$13.869
158,CAPTOPRIL,CAPTOPRIL 25mg X30COM.,HOSPIFARMA,$4.499,85%,$675
159,CARBAMAZEPINA,CARBAMAZEPINA (B) 200mg X20COM.,LABORATORIO CHILE,$2.399,80%,$480
160,CARBOMER 974,SICCAFLUID GEL 10g,THEA PHARMA SPA,$19.899,34%,$13.133
161,CARBOMER 974,SICCAFLUID UNIDOSIS X30,THEA PHARMA SPA,$20.299,30%,$14.209
162,CARMELOSA SODICA,CARMELOSA 0.5% SOF.X15ml,HOSPIFARMA,$3.499,73%,$945
163,CARVEDILOL,(R) DILATREND 12.5mg COMP.X28,ROCHE,$20.499,15%,$17.424
164,CARVEDILOL,BETAPLEX (B) 12.5mg X30COM.,RECALCINE,$16.999,25%,$12.749
165,CARVEDILOL,BETAPLEX (B) 25mg X30COM.,RECALCINE,$22.999,25%,$17.249
166,CARVEDILOL,"BETAPLEX (B) 6,25mg X30COM.",RECALCINE,$9.499,67%,$3.135
167,CARVEDILOL,CARVEDILOL (B) 12.5mg X30COM.,LABORATORIO CHILE,$5.099,83%,$867
168,CARVEDILOL,CARVEDILOL (B) 25mg X30COM.,LABORATORIO CHILE,$4.999,78%,$1.100
169,CARVEDILOL,LODIPRES 12.5MG 30C,LABORATORIO CHILE,$18.499,35%,$12.024
170,CARVEDILOL,LODIPRES 25MG 30C,LABORATORIO CHILE,$17.999,35%,$11.699
171,CARVEDILOL,LODIPRES 6.25 MG 30 C,LABORATORIO CHILE,$10.999,35%,$7.149
172,CEFADROXILO,CEFADROXILO (B) 500mg X8CAP.,ANDROMACO FARMA,$1.999,36%,$1.279
173,CEFADROXILO,CEFADROXILO 250mg/5ml JBE.X60ml,ANDROMACO FARMA,$3.099,58%,$1.302
174,CEFUROXIMA AXETIL,CEREVAX (B) 500mg X14COM.REC.,RECALCINE,$38.499,68%,$12.320
175,CEFUROXIMA AXETIL,CUROCEF (R) 500mg X14COM.REC.,GLAXO,$55.499,37%,$34.964
176,CEFUROXIMA AXETIL,CUROCEF 250mg/5ml S.O.X100ml,GLAXO,$36.499,57%,$15.695
177,CELECCOXIB,(B) COXDOS 200mg CAP.X30,ANDROMACO FARMA,$32.499,30%,$22.749
178,CELECCOXIB,(R) CELEBRA 200mg COMP.X30,PFIZER,$48.499,20%,$38.799
179,CELECCOXIB,ARGIUM 200 MG X 10 CAPSULAS,LABORATORIO CHILE,$10.499,35%,$6.824
180,CELECCOXIB,ARGIUM 200 MG X 30 CAPSULAS,LABORATORIO CHILE,$24.499,35%,$15.924
181,CELECCOXIB,CAPSURE (B) 200mg X10CAP.,PFIZER,$13.299,85%,$1.995
182,CELECCOXIB,CAPSURE (B) 200mg X30CAP.,PFIZER,$28.299,88%,$3.396
183,CELECCOXIB,COXDOS (B) 200mg X10CAP.,ANDROMACO FARMA,$13.499,20%,$10.799
184,CETIRIZINA,(B) FINDALER COMP.X30,MEDIPHARM,$6.499,62%,$2.470
185,CETIRIZINA,FINDALER JARABE X 100 ML,MEDIPHARM,$9.499,54%,$4.370
186,CETIRIZINA,ZYRTEC 1mg/ml S.O.X60ml,GLAXO,$21.999,70%,$6.600
187,CICLOBENZAPRINA,CICLOBENZAPRINA (B) 10mg X20COM.,LABORATORIO CHILE,$2.199,83%,$374
188,CICLOBENZAPRINA,TENSODOX (B) 10mg X10COM.REC.,RECALCINE,$13.999,25%,$10.499
189,CICLOBENZAPRINA,TENSODOX (B) 10mg X20COM.REC.,RECALCINE,$14.999,25%,$11.249
190,CICLOBENZAPRINA,TENSODOX (B) 5mg X20COM.REC.,RECALCINE,$10.499,25%,$7.874
191,CICLOBENZAPRINA,TENSODOX XR 10mg X20COM.PROL.,RECALCINE,$7.999,25%,$5.999
192,CICLOSPORINA,SIGMASPORIN MICRORAL (B) 100mg X50CAP.,LIBRA,$135.499,35%,$88.074
193,CILOSTAZOL,ARTESOL 100mg X30COM.,RECALCINE,$32.999,35%,$21.449
194,CILOSTAZOL,ARTESOL 50mg X30COM.,RECALCINE,$19.499,65%,$6.825
195,CINACALCET,GESER 30mg X30COM.REC.,RECALCINE,$78.499,77%,$18.055
196,CINACALCET,GESER 60mg X30COM.REC.,RECALCINE,$152.099,25%,$114.074
197,CIPROFIBRATO,GIABRI 100mg X30COM.,MERCK SA CHILE,$26.099,49%,$13.310
198,CIPROFLOXACINO,CIPROFLOXACINO (B) 500mg X6COM.,LABORATORIO CHILE,$1.199,60%,$480
199,CIPROFLOXACINO OFTALMICO COLIRIO,CIPROVAL 0.3% SOF.X5ml,SAVAL S.A.,$22.899,41%,$13.510
200,CIPROHEPTADINA + VIT.B1-B2-B6 + VIT.C +,APETROL JARABE x 120 ml,MEDIPHARM,$10.999,32%,$7.479
201,CIPROTERONA + ETINILESTRADIOL,DIXI 35 X21GRA.,RECALCINE,$22.499,50%,$11.250
202,CIPROTERONA + ETINILESTRADIOL,"SOP 2,0/0,035 X21COM.REC.",EUROFARMA CHILE S.A.,$11.599,30%,$8.119
203,CITALOPRAM,CITALOPRAM (B) 20mg X30COM.REC.,LABORATORIO CHILE,$4.399,43%,$2.507
204,CLARITROMICINA,(B) CLARIMAX 500mg COMP.X14,ANDROMACO FARMA,$25.999,30%,$18.199
205,CLARITROMICINA,(B) CLARIMAX 500mg COMP.X20,ANDROMACO FARMA,$26.499,30%,$18.549
206,CLARITROMICINA,CLARIMAX 125mg 80ml,ANDROMACO FARMA,$11.999,30%,$8.399
207,CLARITROMICINA,CLARIMAX 250mg SOE 80ml,ANDROMACO FARMA,$22.499,82%,$4.050
208,CLARITROMICINA,CLARITROMICINA (B) 500mg X14COM.,ANDROMACO FARMA,$5.399,66%,$1.836
209,CLARITROMICINA,PRECLAR 250mg/5ml S.O.X80ml,LABORATORIO CHILE,$17.699,81%,$3.363
210,CLIDINIO BROMURO + CLORDIAZEPOXIDO,LEROGIN X30GRA.,RECALCINE,$22.599,50%,$11.300
211,CLIDINIO BROMURO + CLORDIAZEPOXIDO,LIBRAXIN X30COM.,DEUTSCHE PHARMA S.A.,$17.199,78%,$3.784
212,CLIDINIO BROMURO + CLORDIAZEPOXIDO,TENSOLIV COMP.X30,LABORATORIO CHILE,$12.199,30%,$8.539
213,CLINDAMICINA,DALACIN C 300mg X16CAP.,PFIZER,$43.299,34%,$28.577
214,CLINDAMICINA USO LOCAL,CLUVAX 100mg X3CAP.VAG.,RECALCINE,$13.999,50%,$7.000
215,CLINDAMICINA USO LOCAL,CLUVAX 100mg X7CAP.VAG.,RECALCINE,$23.499,50%,$11.750
216,CLINDAMICINA USO LOCAL,DIVANON 100mg X7OV.,TECNOFARMA LTDA.,$21.699,25%,$16.274
217,CLOBAZAM,GRIFOCLOBAM 10MG 20C,LABORATORIO CHILE,$22.599,35%,$14.689
218,CLOBETASOL,CLODAVAN CREMA x 30 grs.,MEDIPHARM,$7.999,43%,$4.559
219,CLOBETASOL,CLODAVAN LOCION CAPILAR 30 ml.,MEDIPHARM,$8.999,25%,$6.749
220,CLOBUTINOL,CLOVAL 40mg X20COM.,SAVAL S.A.,$12.999,21%,$10.269
221,CLOFEDIANOL + BROMHEXINA,PLU-TOS JARABE 100 ML,MEDIPHARM,$4.599,32%,$3.127
222,CLOMIPRAMINA,ANAFRANIL (R) 25mg X20GRA.,NOVARTIS CHILE S.A.,$26.499,73%,$7.155
223,CLOMIPRAMINA,ANAFRANIL 75mg X20GRA.,NOVARTIS CHILE S.A.,$57.499,81%,$10.925
224,CLONAZEPAM,(R) RAVOTRIL 2mg COMP.X30,ROCHE,$14.999,15%,$12.749
225,CLONAZEPAM,ACEPRAN 2.5mg GTAS.10ml,ANDROMACO FARMA,$13.399,30%,$9.379
226,CLONAZEPAM,CLONAZEPAM (B) 0.5mg X30COM.,LABORATORIO CHILE,$3.599,85%,$540
227,CLONAZEPAM,CLONAZEPAM (B) 2mg X30COM.,LABORATORIO CHILE,$5.599,85%,$840
228,CLONAZEPAM,ROPSIL 0.5 MG X 30 COMPRIMIDOS,MEDIPHARM,$3.199,45%,$1.759
229,CLONAZEPAM,ROPSIL 2 MG X 30 COMPRIMIDOS,MEDIPHARM,$5.999,61%,$2.340
230,CLONAZEPAM,VALPAX (B) 2mg X30COM.,RECALCINE,$16.499,94%,$990
231,CLONIXINATO DE LISINA,CLONIXINATO LISINA 125mg X10COM.,ByB FARMACEUTICA,$2.499,67%,$825
232,CLONIXINATO DE LISINA,COLMAX 125mg COMP.X10,ANDROMACO FARMA,$3.499,58%,$1.470
233,CLOPIDROGEL,FLUYET (B) 75mg X30COM.,EXELTIS CHILE,$19.999,79%,$4.200
234,CLORANFENICOL + BETAMETASONA + BENZOCAINA + BENCETONIO CLORURO,OTANDROL SOL.OT.5ml,ANDROMACO FARMA,$6.499,20%,$5.199
