,Fórmula o principio Activo,Descripción Medicamento,Laboratorio,Precio referencial sin convenio enero 2021,Descuento,Precio referencial con convenio enero 2021
90,ARIPIPRAZOL,AZYMOL 5mg X30COM.,RECALCINE,$36.499,18%,$29.929
91,ARIPIPRAZOL,IRAZEM (B) 15mg X30COM.,DEUTSCHE PHARMA S.A.,$46.899,78%,$10.318
92,ARIPIPRAZOL,IRAZEM 10mg X30COM.,DEUTSCHE PHARMA S.A.,$39.699,20%,$31.759
93,ARIPIPRAZOL,ARIZOL (B) 5mg X28COM.,EXELTIS CHILE,$29.099,25%,$21.824
94,ARIPIPRAZOL,ARIVITAE (B) 10mg X28COM.,GALENICUM HEALTH CHILE SPA,$28.999,23%,$22.329
95,ARMODAFINILO,ARVIGIL 200 MG X 30 COM,ANDROMACO FARMA,$35.099,40%,$21.059
96,ATAPULGITA + NIFUROXAZIDA,DIAREN X20COM.,SAVAL S.A.,$9.399,25%,$7.049
97,ATENOLOL,ATENOLOL (B) 50mg X20COM.,LABORATORIO CHILE,$999,65%,$350
98,ATOMOXETINA,DEATEN 40MG. FCO. 30 COMP.,ANDROMACO FARMA,$57.899,40%,$34.739
99,ATOMOXETINA,DEATEN 80MG. CAJA 15 COMP.,ANDROMACO FARMA,$50.899,34%,$33.593
100,ATORVASTATINA,(R) LIPITOR 10mg COMP.X30,PFIZER,$48.599,14%,$41.795
101,ATORVASTATINA,ATENFAR BE 20MG X 30 COMPR. REC.,MEDIPHARM,$7.999,53%,$3.760
102,ATORVASTATINA,ATORVASTATINA (B) 10mg X30COM.,LABORATORIO CHILE,$2.799,81%,$532
103,ATORVASTATINA,ATORVASTATINA (B) 20mg X30COM.,LABORATORIO CHILE,$2.999,70%,$900
104,ATORVASTATINA,LIPOX 40 MG 30 CR Z BE,LABORATORIO CHILE,$17.099,28%,$12.311
105,ATORVASTATINA,LIPOX 80 MG 30 CR Z BE,LABORATORIO CHILE,$18.799,29%,$13.347
106,ATORVASTATINA,LIPOTEN (B) 40mg X28COM.,EXELTIS CHILE,$27.999,28%,$20.159
107,ATORVASTATINA,(B) LOWDEN 20mg COMP.X30,SAVAL S.A.,$29.799,23%,$22.945
108,ATORVASTATINA,(B) LIPOTEN 80mg COMP.X28,EXELTIS CHILE,$29.499,25%,$22.124
109,ATROPINA,ATROPINA 1% SOF.X5ml,BPH S.A,$14.399,54%,$6.624
110,AZATIOPRINA,AZATIOPRINA (B) 50mg 100COM.,ASCEND LABORATORIES SPA,$37.199,25%,$27.899
111,AZITROMICINA,AZITROMICINA (B) 500mg X6COM.,LABORATORIO CHILE,$2.899,61%,$1.131
112,AZITROMICINA,AZITROMICINA 200mg/5ml S.O.X15ml,LABORATORIO CHILE,$6.699,67%,$2.211
113,AZITROMICINA,RICILINA 200mg/5ml S.O.SACHET X15ml,RECALCINE,$6.999,33%,$4.689
114,AZITROMICINA,AZITROM FTE.400mg/5ml S.O.X20ml,LABORATORIO CHILE,$15.899,4%,$15.263
115,BACLOFENO,LIORESYL 10mg X60COM.,NOVARTIS CHILE S.A.,$65.999,20%,$52.799
116,BACLOFENO,CETRIL 10mg X50COM.,PHARMA INVESTI,$28.999,20%,$23.199
117,BENZOCAINA + CETILPIRIDINIO CLORURO + DEXPANTENOL,KALMAFTA GEL 20ml,ANDROMACO FARMA,$5.599,20%,$4.479
118,BETAHISTINA,BETASERC (R) 16mg X30COM.,ABBOTT FARMA,$31.499,53%,$14.805
119,BETAHISTINA,BETASERC (R) 24mg X30COM.,ABBOTT FARMA,$37.099,39%,$22.630
120,BETAHISTINA,BETINA (B) 16mg X30COM.,EUROFARMA CHILE S.A.,$26.799,30%,$18.759
121,BETAHISTINA,BETINA (B) 24mg X30COM.,EUROFARMA CHILE S.A.,$33.599,30%,$23.519
122,BETAHISTINA,MICROSER COMP.16MG.X30 VTA,GRUNENTHAL,$40.999,40%,$24.599
123,BETAHISTINA,MICROSER COMP.24MG.X30 VTA (BE),GRUNENTHAL,$42.999,40%,$25.799
124,BETAHISTINA,MICROSER COMP.8MG.X30 VTA,GRUNENTHAL,$32.499,36%,$20.799
125,BETAHISTINA,MICROSER COMP.8MG.X60 VTA,GRUNENTHAL,$46.399,30%,$32.479
126,BETAMETASONA (FOSFATO DISODICO Y DIPROPIONATO),BETAVOL 5+2mg/ml AMP.X1,EUROFARMA CHILE S.A.,$12.999,30%,$9.099
127,BETAMETASONA + LIDOCAINA + OXIDO DE ZINC,CONTRALMOR X6SUP.,LABORATORIO CHILE,$12.999,53%,$6.110
128,BETAMETASONA DERMICA,BETAMETASONA 0.05% CR.X15g,LABORATORIO CHILE,$1.299,76%,$312
129,BETAMETASONA OFTALMICA,OFTASONA P SOF.X10ml,SAVAL S.A.,$13.499,18%,$11.069
130,BISOPROLOL,BISOPRIL 1.25 COMP.X30,EUROFARMA CHILE S.A.,$6.999,30%,$4.899
131,BISOPROLOL,BISOPRIL 2.5 COMP.X30,EUROFARMA CHILE S.A.,$13.899,60%,$5.560
132,BISOPROLOL,BISOPRIL 5mg COMP.X30,EUROFARMA CHILE S.A.,$16.799,30%,$11.759
133,BISOPROLOL,CONCOR 10mg X28COM.REC.,MERCK SA CHILE,$34.299,39%,$20.922
134,BISOPROLOL,"CONCOR 2,5mg COMP.X28",MERCK SA CHILE,$27.899,30%,$19.529
135,BISOPROLOL,CONCOR 5mg COMP.X28,MERCK SA CHILE,$34.199,20%,$27.359
136,BROMHEXINA,BROMHEXINA PED.4mg/5ml JBE.X100ml,OPKO,$1.499,59%,$615
137,BUDESONIDA + FORMOTEROL,VANNAIR 160/4.5 X120DS.,ASTRA ZENECA DE CHILE LTDA.,$59.999,52%,$28.800
138,BUPROPION,BUTRINO 150mg COM.X30,EUROFARMA CHILE S.A.,$19.499,30%,$13.649
139,BUPROPION,BUTRINO 150mg COM.X60,EUROFARMA CHILE S.A.,$27.799,35%,$18.069
140,BUPROPION,ELONTRIL XL 150mg X30COM.PROL.,ETEX FARMACEUTICA LTDA.,$38.999,18%,$31.979
141,BUPROPION,MONDRIAN 150MG X 30,ANDROMACO FARMA,$21.999,40%,$13.199
142,BUPROPION,BUPREDOL 150mg X60COM.REC,SANITAS S.A.,$26.499,35%,$17.224
143,CALCIO + VIT D,PLUSCAL COMP.X30,PASTEUR,$18.099,25%,$13.574
144,CALCIO ACETATO,"PHOSLO 0,667mg X60COM.",PASTEUR,$9.499,16%,$7.979
145,CALCIO CARBONATO,ELCAL 320mg CAPS.X30,ANDROMACO FARMA,$10.899,30%,$7.629
146,CALCIO CARBONATO,ELCAL FTE 450mg CAPS.X30,ANDROMACO FARMA,$7.699,30%,$5.389
147,CALCIO CARBONATO + SODIO ALGINATO + SODIO BICARBONATO,GAVISCON DOBLE ACCION S.O.SACHET X1,RECKITT BENCKISER FARMA,$1.099,38%,$681
148,CALCIO CARBONATO + VITAMINA D3,CALCEFOR D X30CAP.,LABORATORIO CHILE,$9.499,58%,$3.990
149,CALCIO CARBONATO + VITAMINA D3,CALCEFOR D X60CAP.,LABORATORIO CHILE,$10.999,93%,$770
150,CALCIO CARBONATO + VITAMINA D3,CALDAR-D FORTE x 30 cápsulas,MEDIPHARM,$7.199,32%,$4.895
151,CALCIO CARBONATO + VITAMINA D3,CAPRIMIDA D FTE.X30CAP.,RECALCINE,$11.999,25%,$8.999
152,CALCIO CARBONATO + VITAMINA D3,ELCAL CI COMP.X60,ANDROMACO FARMA,$16.699,28%,$12.023
153,CALCIO CARBONATO + VITAMINA D3,ELCAL D 500/800 CAPS.X60,ANDROMACO FARMA,$14.999,30%,$10.499
154,CALCIO CARBONATO + VITAMINA D3,ELCAL D CAPS.X30,ANDROMACO FARMA,$8.299,30%,$5.809
155,CALCIO CARBONATO + VITAMINA D3,ELCAL D CAPS.X60,ANDROMACO FARMA,$11.699,30%,$8.189
156,CALCIO CARBONATO + VITAMINA D3,ELCAL D FTE.CAPS.X30,ANDROMACO FARMA,$9.399,30%,$6.579
157,CALCIO CARBONATO + VITAMINA D3,ELCAL D FTE.CAPS.X60,ANDROMACO FARMA,$12.499,30%,$8.749
158,CALCIO CARBONATO + VITAMINA D3,ELCAL D PLUS CAPS.X30,ANDROMACO FARMA,$12.899,30%,$9.029
159,CALCIO CARBONATO + VITAMINA D3,ELCAL D PLUS CAPS.X60,ANDROMACO FARMA,$14.699,30%,$10.289
160,CALCIO CARBONATO + VITAMINA D3,CALDEVAL COMP.X30,SAVAL S.A.,$7.499,22%,$5.849
161,CALCIO FOSFATO + VITAMINA D3,ELCAL D SUPRA SOB.X30,ANDROMACO FARMA,$20.599,30%,$14.419
162,CALCIO GLUCONATO + CALCIO LACTOBIONATO,ELCAL KID JBE.180ml,ANDROMACO FARMA,$13.099,30%,$9.169
163,CALCITRIOL,ROCALTROL 0.25mcg CAPS.X30,ROCHE,$44.599,35%,$28.989
164,CANAGLIFLOXINA,INVOKANA 100mg X30COM.,JANSSEN,$34.499,25%,$25.874
165,CANAGLIFLOXINA,INVOKANA 300mg X30COM.,JANSSEN,$41.199,25%,$30.899
166,CANDESARTAN,ATACAND (R) 8mg X30COM.,ASTRA ZENECA DE CHILE LTDA.,$32.199,52%,$15.456
167,CANDESARTAN + HIDROCLOROTIAZIDA,BILATEN-D 16/12.5 mg. x 30 comprimidos,MEDIPHARM,$18.999,27%,$13.869
168,CAPTOPRIL,CAPTOPRIL 25mg X30COM.,HOSPIFARMA,$4.599,85%,$690
169,CARBAMAZEPINA,CARBAMAZEPINA (B) 200mg X20COM.,LABORATORIO CHILE,$2.399,80%,$480
170,CARBOMER 974,SICCAFLUID GEL 10g,THEA PHARMA SPA,$19.899,34%,$13.133
171,CARBOMER 974,SICCAFLUID UNIDOSIS X30,THEA PHARMA SPA,$20.299,30%,$14.209
172,CARMELOSA SODICA,CARMELOSA 0.5% SOF.X15ml,HOSPIFARMA,$3.499,73%,$945
173,CARVEDILOL,(R) DILATREND 12.5mg COMP.X28,ROCHE,$20.499,15%,$17.424
174,CARVEDILOL,BETAPLEX (B) 12.5mg X30COM.,RECALCINE,$16.999,25%,$12.749
175,CARVEDILOL,BETAPLEX (B) 25mg X30COM.,RECALCINE,$22.999,25%,$17.249
176,CARVEDILOL,"BETAPLEX (B) 6,25mg X30COM.",RECALCINE,$9.499,67%,$3.135
177,CARVEDILOL,CARVEDILOL (B) 12.5mg X30COM.,LABORATORIO CHILE,$5.099,83%,$867
178,CARVEDILOL,CARVEDILOL (B) 25mg X30COM.,LABORATORIO CHILE,$4.999,70%,$1.500
179,CARVEDILOL,CARVEDILOL (B) 6.25mg X30COM.,LABORATORIO CHILE,$5.399,77%,$1.242
180,CEFADROXILO,CEFADROXILO (B) 500mg X8CAP.,ANDROMACO FARMA,$1.999,36%,$1.279
181,CEFADROXILO,CEFADROXILO 250mg/5ml JBE.X60ml,ANDROMACO FARMA,$3.099,56%,$1.364
182,CEFUROXIMA AXETIL,CUROCEF (R) 500mg X14COM.REC.,GLAXO,$55.499,37%,$34.964
183,CEFUROXIMA AXETIL,CUROCEF 250mg/5ml S.O.X100ml,GLAXO,$36.499,57%,$15.695
184,CEFUROXIMA AXETIL,CEFUROXIMA (B) 500mg 14COM.REC,ASCEND LABORATORIES SPA,$36.499,31%,$25.184
185,CELECCOXIB,(B) COXDOS 200mg CAP.X30,ANDROMACO FARMA,$32.499,30%,$22.749
186,CELECCOXIB,(R) CELEBRA 200mg COMP.X30,PFIZER,$48.499,13%,$42.194
187,CELECCOXIB,ARGIUM 200 MG X 10 CAPSULAS,LABORATORIO CHILE,$10.499,35%,$6.824
188,CELECCOXIB,ARGIUM 200 MG X 30 CAPSULAS,LABORATORIO CHILE,$24.499,35%,$15.924
189,CELECCOXIB,CAPSURE (B) 200mg X10CAP.,PFIZER,$14.799,85%,$2.220
190,CELECCOXIB,CAPSURE (B) 200mg X30CAP.,PFIZER,$31.399,88%,$3.768
191,CELECCOXIB,COXDOS (B) 200mg X10CAP.,ANDROMACO FARMA,$13.499,20%,$10.799
192,CETIRIZINA,(B) FINDALER COMP.X30,MEDIPHARM,$6.499,62%,$2.470
193,CETIRIZINA,FINDALER JARABE X 100 ML,MEDIPHARM,$9.499,54%,$4.370
194,CETIRIZINA,ZYRTEC 1mg/ml S.O.X60ml,GLAXO,$21.999,70%,$6.600
195,CICLOBENZAPRINA,CICLOBENZAPRINA (B) 10mg X20COM.,LABORATORIO CHILE,$2.199,83%,$374
196,CICLOBENZAPRINA,TENSODOX (B) 10mg X10COM.REC.,RECALCINE,$13.999,25%,$10.499
197,CICLOBENZAPRINA,TENSODOX (B) 10mg X20COM.REC.,RECALCINE,$14.999,25%,$11.249
198,CICLOBENZAPRINA,TENSODOX (B) 5mg X20COM.REC.,RECALCINE,$10.499,25%,$7.874
199,CICLOBENZAPRINA,TENSODOX XR 10mg X20COM.PROL.,RECALCINE,$7.999,18%,$6.559
200,CICLOBENZAPRINA,(B) TENSIOMAX 10mg COMP.X20,BAGO,$6.299,21%,$4.976
201,CICLOBENZAPRINA,(B) TENSIOMAX 5mg COMP.X20,BAGO,$6.299,25%,$4.724
202,CILOSTAZOL,ARTESOL 100mg X30COM.,RECALCINE,$32.999,35%,$21.449
203,CILOSTAZOL,ARTESOL 50mg X30COM.,RECALCINE,$19.499,65%,$6.825
204,CILOSTAZOL,CILOSVITAE (B) 100mg X28COM.,GALENICUM HEALTH CHILE SPA,$23.099,35%,$15.014
205,CINACALCET,GESER 30mg X30COM.REC.,RECALCINE,$78.499,77%,$18.055
206,CINTAS REACTIVAS PARA GLICEMIA,ACCU CHEK INSTANT CINT.25,ROCHE DIAGNOSTICA,$19.999,29%,$14.199
207,CINTAS REACTIVAS PARA GLICEMIA,ACCU CHEK INSTANT CINT.50,ROCHE DIAGNOSTICA,$38.199,29%,$27.121
208,CIPROFIBRATO,GIABRI 100mg X30COM.,MERCK SA CHILE,$26.899,49%,$13.718
209,CIPROFLOXACINO,CIPROFLOXACINO (B) 500mg X6COM.,LABORATORIO CHILE,$1.199,60%,$480
210,CIPROFLOXACINO OFTALMICO COLIRIO,CIPROVAL 0.3% SOF.X5ml,SAVAL S.A.,$22.899,37%,$14.426
211,CIPROHEPTADINA + VIT.B1-B2-B6 + VIT.C +,APETROL JARABE x 120 ml,MEDIPHARM,$10.999,32%,$7.479
212,CIPROTERONA + ETINILESTRADIOL,DIXI 35 X21GRA.,RECALCINE,$22.499,50%,$11.250
213,CITALOPRAM,CITALOPRAM (B) 20mg X30COM.REC.,LABORATORIO CHILE,$4.399,43%,$2.507
214,CLARITROMICINA,(B) CLARIMAX 500mg COMP.X14,ANDROMACO FARMA,$25.999,30%,$18.199
215,CLARITROMICINA,(B) CLARIMAX 500mg COMP.X20,ANDROMACO FARMA,$26.499,30%,$18.549
216,CLARITROMICINA,CLARITROMICINA (B) 500mg X14COM.,ANDROMACO FARMA,$5.399,66%,$1.836
217,CLARITROMICINA,PRECLAR 250mg/5ml S.O.X80ml,LABORATORIO CHILE,$17.699,81%,$3.363
218,CLARITROMICINA,CLATIC 125mg/5ml S.O.X80ml,PASTEUR,$12.999,30%,$9.099
219,CLARITROMICINA,(B) INFEX 500mg COMP.X14,RECALCINE,$21.999,30%,$15.399
220,CLARITROMICINA,INFEX 125mg/5ml S.O.SACHET X80ml,RECALCINE,$9.999,20%,$7.999
221,CLIDINIO BROMURO + CLORDIAZEPOXIDO,LEROGIN X30GRA.,RECALCINE,$22.599,50%,$11.300
222,CLIDINIO BROMURO + CLORDIAZEPOXIDO,LIBRAXIN X30COM.,DEUTSCHE PHARMA S.A.,$17.599,78%,$3.872
223,CLIDINIO BROMURO + CLORDIAZEPOXIDO,TENSOLIV COMP.X30,LABORATORIO CHILE,$12.199,30%,$8.539
224,CLINDAMICINA,DALACIN C 300mg X16CAP.,PFIZER,$43.299,34%,$28.577
225,CLINDAMICINA USO LOCAL,CLUVAX 100mg X3CAP.VAG.,RECALCINE,$13.999,50%,$7.000
226,CLINDAMICINA USO LOCAL,CLUVAX 100mg X7CAP.VAG.,RECALCINE,$23.499,50%,$11.750
227,CLINDAMICINA USO LOCAL,DIVANON 100mg X7OV.,TECNOFARMA LTDA.,$21.699,25%,$16.274
228,CLOBAZAM,GRIFOCLOBAM 10MG 20C,LABORATORIO CHILE,$22.599,35%,$14.689
229,CLOBETASOL,CLODAVAN CREMA x 30 grs.,MEDIPHARM,$7.999,43%,$4.559
230,CLOBETASOL,CLODAVAN LOCION CAPILAR 30 ml.,MEDIPHARM,$8.999,25%,$6.749
231,CLOBUTINOL,CLOVAL 40mg X20COM.,SAVAL S.A.,$12.999,15%,$11.049
232,CLOFEDIANOL + BROMHEXINA,PLU-TOS JARABE 100 ML,MEDIPHARM,$4.599,32%,$3.127
