,Laboratorio,Descripción Medicamento,Descuento,Precio referencial sin convenio 03/07/2018,Precio referencial redondeado El Botiquín 03/07/2018
31,335-VALMA,ACIDO ASCORBICO 100mg X100COM.,70%,$ 1.199,$ 360
32,MEDIPHARM,MIVIT C SABOR 500mg X30COM.MAST.,70%,$ 2.799,$ 840
33,SANITAS S.A.,FOLISANIN 1mg X30COM.,87%,$ 3.699,$ 481
34,ITF (EX LABOMED),FOLACID 5mg X28COM.,81%,$ 3.490,$ 663
35,GENERICOS,AC.MEFENAMICO 500mg X10COM.,70%,$ 1.299,$ 390
36,ANDROMACO FARMA,AC.MEFENAMICO 500mg X10COM.,70%,$ 1.299,$ 390
37,MINTLAB,AC.MEFENAMICO 500mg X10COM.,70%,$ 1.299,$ 390
38,GENEXX,AC.MEFENAMICO 500mg X10COM.,70%,$ 1.299,$ 390
39,LABORATORIO CHILE,AC.MEFENAMICO 500mg X10COM.,70%,$ 1.299,$ 390
40,EUROMED,AC.MEFENAMICO 500mg X10COM.,70%,$ 1.299,$ 390
41,FERRER,ATEMPERATOR 250mg X50COM.REC.,45%,$ 25.199,$ 13.859
42,GENERICOS,ACIDO VALPROICO 500mg X30COM.,59%,$ 7.399,$ 3.034
43,GENERICOS,AGUA BIDESTILADA 5ml X5AMP.,95%,$ 1.599,$ 80
44,351-SANDERSON S.A.,AGUA BIDESTILADA 5ml X5AMP.,95%,$ 1.599,$ 80
45,GENERICOS,ALOPURINOL 300mg X20COM.,53%,$ 2.299,$ 1.081
46,220-MINTLAB,ALOPURINOL 300mg X20COM.,53%,$ 2.299,$ 1.081
47,250-PASTEUR,ALOPURINOL 300mg X20COM.,53%,$ 2.299,$ 1.081
48,298-SANITAS S.A.,ALOPURINOL 300mg X20COM.,53%,$ 2.299,$ 1.081
49,3-ANDROMACO FARMA,ALOPURINOL 300mg X20COM.,53%,$ 2.299,$ 1.081
50,43-LABORATORIO CHILE,ALOPURINOL 300mg X20COM.,53%,$ 2.299,$ 1.081
51,LABORATORIO CHILE,ALPRAZOLAM (B) 0.50mg X30COM.,46%,$ 1.199,$ 647
52,GENERICOS,HIDROXIDO ALUMINIO 6% SOL.X180ml,38%,$ 2.199,$ 1.363
53,250-PASTEUR,HIDROXIDO ALUMINIO 6% SOL.X180ml,38%,$ 2.199,$ 1.363
54,43-LABORATORIO CHILE,HIDROXIDO ALUMINIO 6% SOL.X180ml,38%,$ 2.199,$ 1.363
55,GENERICOS,AMITRIPTILINA 25mg X100COM.,47%,$ 1.899,$ 1.006
56,220-MINTLAB,AMITRIPTILINA 25mg X100COM.,47%,$ 1.899,$ 1.006
57,283-RECALCINE,AMITRIPTILINA 25mg X100COM.,47%,$ 1.899,$ 1.006
58,3-ANDROMACO FARMA,AMITRIPTILINA 25mg X100COM.,47%,$ 1.899,$ 1.006
59,43-LABORATORIO CHILE,AMITRIPTILINA 25mg X100COM.,47%,$ 1.899,$ 1.006
60,GENERICOS,AMLODIPINO (B) 10mg X30COM.,72%,$ 2.899,$ 812
61,GENERICOS,AMOXICILINA/CLAVUL (B) 500/125 X20COM.,53%,$ 7.999,$ 3.760
62,GENERICOS,AMOXICILINA 500mg X21CAP.,73%,$ 3.999,$ 1.080
63,RECALCINE,CICLIDON 20 CD X28COM.REC.,47%,$ 13.299,$ 7.048
64,PASTEUR,SAE PED.X6SUP.,63%,$ 8.699,$ 3.219
65,PASTEUR,SAE AD.X6SUP.,58%,$ 11.999,$ 5.040
66,DEUTSCHE PHARMA S.A.,IRAZEM 10mg X30COM.,23%,$ 36.999,$ 28.489
67,GENERICOS,ATENOLOL (B) 50mg X20COM.,66%,$ 699,$ 238
68,GENERICOS,BETAMETASONA 0.05% CR.X15g,70%,$ 1.099,$ 330
69,ANDROMACO FARMA,BETAMETASONA 0.05% CR.X15g,70%,$ 1.099,$ 330
70,LABORATORIO CHILE,BETAMETASONA 0.05% CR.X15g,70%,$ 1.099,$ 330
71,MINTLAB,BETAMETASONA 0.05% CR.X15g,70%,$ 1.099,$ 330
72,BAGO,BETAMETASONA 0.05% CR.X15g,70%,$ 1.099,$ 330
73,HOSPIFARMA,BETAMETASONA 0.05% CR.X15g,70%,$ 1.099,$ 330
74,RECALCINE,BETAMETASONA 0.05% CR.X15g,70%,$ 1.099,$ 330
75,SANITAS S.A.,BETAMETASONA 0.05% CR.X15g,70%,$ 1.099,$ 330
76,EUROMED,BETAMETASONA 0.05% CR.X15g,70%,$ 1.099,$ 330
77,LABORATORIO CHILE,BROMAZEPAM 3mg X30COM.,57%,$ 1.499,$ 645
78,BOEHRINGER INGELHEIM,BERODUAL SOL.NEBULIZAR X20ml,67%,$ 22.799,$ 7.524
79,BOEHRINGER INGELHEIM,NOCTILAN 0.25mg X20COM.,32%,$ 15.699,$ 10.675
80,GLAXO,ELONTRIL XL 150mg X30COM.PROL.,92%,$ 33.399,$ 2.672
81,GENERICOS,CAPTOPRIL 25mg X30COM.,85%,$ 4.199,$ 630
82,GENERICOS,CARBAMAZEPINA (B) 200mg X20COM.,70%,$ 2.199,$ 660
83,GENERICOS,CARVEDILOL (B) 12.5mg X30COM.,83%,$ 5.499,$ 935
84,GENERICOS,CARVEDILOL (B) 25mg X30COM.,78%,$ 5.099,$ 1.122
85,GENERICOS,CEFADROXILO 250mg/5ml JBE.X60ml,58%,$ 2.699,$ 1.134
86,GENERICOS,CEFADROXILO (B) 500mg X8CAP.,36%,$ 1.999,$ 1.279
87,GENERICOS,CICLOBENZAPRINA (B) 10mg X20COM.,80%,$ 2.099,$ 420
88,GENERICOS,CIPROFLOXACINO (B) 500mg X6COM.,60%,$ 999,$ 400
89,GENERICOS,CITALOPRAM (B) 20mg X30COM.REC.,66%,$ 6.999,$ 2.380
90,GENERICOS,CLARITROMICINA (B) 500mg X14COM.,55%,$ 5.099,$ 2.295
91,LABORATORIO CHILE,PRECLAR 250mg/5ml S.O.X80ml,81%,$ 15.899,$ 3.021
92,LABORATORIO CHILE,CLONAZEPAM (B) 0.5mg X30COM.,85%,$ 4.399,$ 660
93,GENERICOS,CLONIXINATO LISINA 125mg X10COM.,67%,$ 2.499,$ 825
94,MINTLAB,CLONIXINATO LISINA 125mg X10COM.,67%,$ 2.499,$ 825
95,GENERICOS,CLORANFENICOL 0.5% SOF.X10ml,67%,$ 2.599,$ 858
96,OPKO,CLORANFENICOL 0.5% SOF.X10ml,67%,$ 2.599,$ 858
97,LABORATORIO CHILE,CLORANFENICOL 0.5% SOF.X10ml,67%,$ 2.599,$ 858
98,SAVAL S.A.,CLORANFENICOL 0.5% SOF.X10ml,67%,$ 2.599,$ 858
99,HOSPIFARMA,CLORANFENICOL 0.5% SOF.X10ml,67%,$ 2.599,$ 858
100,GENERICOS,CLORANFENICOL 1% UNG.OFT.X3.5g,86%,$ 4.499,$ 630
101,297-SAVAL S.A.,CLORANFENICOL 1% UNG.OFT.X3.5g,86%,$ 4.899,$ 686
102,PASTEUR,PRODEL 2mg/5ml JBE.X120ml,83%,$ 4.899,$ 833
103,GENERICOS,CLORFENAMINA (B) 4mg X20COM.,83%,$ 699,$ 119
104,MED CELL RECETARIO,CLORHEXIDINA 0.12% SOL.X150ml,51%,$ 4.499,$ 2.205
105,AVENTIS,LARGACTIL 100mg X20COM.REC.,39%,$ 12.999,$ 7.929
106,GENERICOS,CLORPROMAZINA 25mg X50COM.,39%,$ 990,$ 604
107,250-PASTEUR,CLORPROMAZINA 25mg X50COM.,39%,$ 990,$ 604
108,3-ANDROMACO FARMA,CLORPROMAZINA 25mg X50COM.,39%,$ 990,$ 604
109,43-LABORATORIO CHILE,CLORPROMAZINA 25mg X50COM.,39%,$ 990,$ 604
110,GENERICOS,CLORURO SODIO 10% 20ml X5AMP.,94%,$ 1.499,$ 90
111,351-SANDERSON S.A.,CLORURO SODIO 10% 20ml X5AMP.,94%,$ 1.499,$ 90
112,GENERICOS,CLOTRIMAZOL 1% CR.X20g,86%,$ 1.399,$ 196
113,GENEXX,CLOTRIMAZOL 1% CR.X20g,86%,$ 1.399,$ 196
114,OPKO,CLOTRIMAZOL 1% CR.X20g,86%,$ 1.399,$ 196
115,MINTLAB,CLOTRIMAZOL 1% CR.X20g,86%,$ 1.399,$ 196
116,PASTEUR,CLOTRIMAZOL 1% CR.X20g,86%,$ 1.399,$ 196
117,ANDROMACO FARMA,CLOTRIMAZOL 1% CR.X20g,86%,$ 1.399,$ 196
118,LABORATORIO CHILE,CLOTRIMAZOL 1% CR.X20g,86%,$ 1.399,$ 196
119,BAGO,CLOTRIMAZOL 1% CR.X20g,86%,$ 1.399,$ 196
120,EUROMED,CLOTRIMAZOL 1% CR.X20g,86%,$ 1.299,$ 182
121,GENERICOS,CLOTRIMAZOL 500mg X1OVULO,91%,$ 2.599,$ 234
122,MINTLAB,CLOTRIMAZOL 500mg X1OVULO,91%,$ 2.599,$ 234
123,GENERICOS,CLOXACILINA 500mg X12CAP.,55%,$ 1.699,$ 765
124,GENERICOS,VITAMINA B1 B6 B12 10000 X3AMP.,78%,$ 2.799,$ 616
125,LABORATORIO CHILE,VITAMINA B1 B6 B12 10000 X3AMP.,78%,$ 2.799,$ 616
126,ANDROMACO FARMA,VITAMINA B1 B6 B12 10000 X3AMP.,78%,$ 2.799,$ 616
127,LABORATORIO CHILE,CONTRALMOR X6SUP.,53%,$ 11.899,$ 5.593
128,GENERICOS,COTRIMOXAZOL FTE.X10COM.,55%,$ 1.299,$ 585
129,MED CELL PERFUMERIA,CLUNY BODY CR.24 HORAS X400ml,-188%,$ 1.197,$ 3.447
130,LABORATORIO CHILE,DIAZEPAM (B) 10mg X20COM.,46%,$ 899,$ 485
131,GENERICOS,DICLOFENACO PED.12.5mg X5SUP.,63%,$ 1.099,$ 407
132,GENERICOS,DICLOFENACO 50mg X10COM.,93%,$ 599,$ 42
133,GENERICOS,DICLOFENACO 75mg X5AMP.,97%,$ 2.799,$ 84
134,GENERICOS,DIGOXINA (B) 0.25mg X30COM.,64%,$ 2.099,$ 756
135,220-MINTLAB,DIGOXINA (B) 0.25mg X30COM.,64%,$ 2.099,$ 756
136,3-ANDROMACO FARMA,DIGOXINA (B) 0.25mg X30COM.,64%,$ 2.099,$ 756
137,43-LABORATORIO CHILE,DIGOXINA (B) 0.25mg X30COM.,64%,$ 2.099,$ 756
138,FARMOQUIMICA DEL PACIFICO,ANTABUS 500mg X24COM.,89%,$ 26.099,$ 2.871
139,GENERICOS,DOMPERIDONA (B) 10mg X20COM.,64%,$ 1.199,$ 432
140,GENERICOS,ENALAPRIL 10mg X20COM.,86%,$ 699,$ 98
141,GENERICOS,ERITROMICINA 200mg/5ml S.O.X60ml,54%,$ 2.999,$ 1.380
142,GENERICOS,ESPIRONOLACTONA 25mg X20COM.,70%,$ 1.999,$ 600
143,RECALCINE,PRIMAQUIN 2mg X30COM.REC.,51%,$ 16.999,$ 8.330
144,GENERICOS,FAMOTIDINA 40mg X10COM.,76%,$ 799,$ 192
145,GENERICOS,FENITOINA (B) 100mg X30COM.,54%,$ 1.499,$ 690
146,ANDROMACO GENERICOS,FENOBARBITAL 100mg X10COM.,75%,$ 6.399,$ 1.600
147,PASTEUR,FERRIGOT 25mg/ml GTAS.X30ml,88%,$ 6.299,$ 756
148,GENERICOS,SULFATO FERROSO 200mg X20COM.,67%,$ 1.699,$ 561
149,335-VALMA,SULFATO FERROSO 200mg X20COM.,67%,$ 1.699,$ 561
150,43-LABORATORIO CHILE,SULFATO FERROSO 200mg X20COM.,67%,$ 1.699,$ 561
151,GENERICOS,FLUCLOXACILINA 250mg/5ml S.O.X60ml,66%,$ 4.599,$ 1.564
152,220-MINTLAB,FLUCLOXACILINA 250mg/5ml S.O.X60ml,66%,$ 4.599,$ 1.564
153,283-RECALCINE,FLUCLOXACILINA 250mg/5ml S.O.X60ml,66%,$ 4.599,$ 1.564
154,3-ANDROMACO FARMA,FLUCLOXACILINA 250mg/5ml S.O.X60ml,66%,$ 4.599,$ 1.564
155,43-LABORATORIO CHILE,FLUCLOXACILINA 250mg/5ml S.O.X60ml,66%,$ 4.599,$ 1.564
156,GENERICOS,FLUCONAZOL 150mg X4CAP.,62%,$ 6.699,$ 2.546
157,80-INTERPHARMA,FLUCONAZOL 150mg X4CAP.,62%,$ 6.699,$ 2.546
158,GENERICOS,FLUOXETINA (B) 20mg X20COM.,79%,$ 1.299,$ 273
159,GENERICOS,FUROSEMIDA (B) 40mg X12COM.,80%,$ 999,$ 200
160,GENERICOS,GEMFIBROZILO 600mg X20COM.,58%,$ 3.499,$ 1.470
161,220-MINTLAB,GEMFIBROZILO 600mg X20COM.,58%,$ 3.499,$ 1.470
162,250-PASTEUR,GEMFIBROZILO 600mg X20COM.,58%,$ 3.499,$ 1.470
163,298-SANITAS S.A.,GEMFIBROZILO 600mg X20COM.,58%,$ 3.499,$ 1.470
164,3-ANDROMACO FARMA,GEMFIBROZILO 600mg X20COM.,58%,$ 3.499,$ 1.470
165,43-LABORATORIO CHILE,GEMFIBROZILO 600mg X20COM.,58%,$ 3.499,$ 1.470
166,GENERICOS,GENTAMICINA 80mg X5AMP.,97%,$ 3.299,$ 99
167,GENERICOS,GLIBENCLAMIDA (B) 5mg X60COM.,83%,$ 1.199,$ 204
168,220-MINTLAB,GLIBENCLAMIDA (B) 5mg X60COM.,83%,$ 1.199,$ 204
169,283-RECALCINE,GLIBENCLAMIDA (B) 5mg X60COM.,83%,$ 1.199,$ 204
170,298-SANITAS S.A.,GLIBENCLAMIDA (B) 5mg X60COM.,83%,$ 1.199,$ 204
171,3-ANDROMACO FARMA,GLIBENCLAMIDA (B) 5mg X60COM.,83%,$ 1.199,$ 204
172,43-LABORATORIO CHILE,GLIBENCLAMIDA (B) 5mg X60COM.,83%,$ 1.199,$ 204
173,PFIZER,MINIDIAB 5mg X90COM.,67%,$ 40.999,$ 13.530
174,ANDROMACO FARMA,YONKA 780mg X40TAB.,59%,$ 12.699,$ 5.207
175,GENERICOS,HALOPERIDOL 1mg X30COM.,52%,$ 4.999,$ 2.400
176,GENERICOS,HALOPERIDOL 5mg X20COM.,49%,$ 6.999,$ 3.569
177,SANITAS S.A.,DRINAMIL X30COM.,72%,$ 1.899,$ 532
178,GENERICOS,HIDROCLOROTIAZIDA (B) 50mg X20COM.,68%,$ 1.299,$ 416
179,PFIZER,SOLU CORTEF 100mg X1F-A,55%,$ 10.390,$ 4.676
180,GENERICOS,IBUPROFENO (B) 400mg X20COM.,69%,$ 1.299,$ 403
181,GENERICOS,IMIPRAMINA 25mg X40COM.,64%,$ 1.799,$ 648
182,283-RECALCINE,IMIPRAMINA 25mg X40COM.,64%,$ 1.799,$ 648
183,3-ANDROMACO FARMA,IMIPRAMINA 25mg X40COM.,64%,$ 1.799,$ 648
184,43-LABORATORIO CHILE,IMIPRAMINA 25mg X40COM.,64%,$ 1.799,$ 648
185,GENERICOS,ISOSORBIDE 10mg X60COM.,92%,$ 3.999,$ 320
186,220-MINTLAB,ISOSORBIDE 10mg X60COM.,92%,$ 3.999,$ 320
187,287-SANOFI PASTEUR S.A.,ISOSORBIDE 10mg X60COM.,92%,$ 3.999,$ 320
188,326-AVENTIS,ISOSORBIDE 10mg X60COM.,92%,$ 3.999,$ 320
189,3-ANDROMACO FARMA,ISOSORBIDE 10mg X60COM.,92%,$ 3.999,$ 320
190,SANITAS S.A.,SANIGERMIN 1% JB.X90g,41%,$ 1.399,$ 825
191,GENERICOS,KETOPROFENO 100mg/2ml X6AMP.,92%,$ 5.299,$ 424
192,GENERICOS,LAGRIMAS ARTIFICIALES SOF.X15ml,62%,$ 2.599,$ 988
193,GENERICOS,LAMOTRIGINA 50mg X30COM.DISP.,84%,$ 6.199,$ 992
194,GENERICOS,LEVOTIROXINA (B) 100mcg X30COM.,61%,$ 1.290,$ 503
195,BAGO,T4-BAGO (B) 50mcg X50COM.FLEXIDOSIS,61%,$ 6.999,$ 2.730
196,GENERICOS,LIDOCAINA 2% 5ml X5AMP.,94%,$ 1.399,$ 84
197,SANDERSON S.A.,LIDOCAINA 2% 5ml X5AMP.,94%,$ 1.399,$ 84
198,GENERICOS,LOPERAMIDA 2mg X6COM.,81%,$ 699,$ 133
199,GENERICOS,LORATADINA (B)1 0mg X30COM.,73%,$ 1.099,$ 297
200,GENERICOS,LOSARTAN (B) 50mg X30COM.,88%,$ 2.399,$ 288
201,MINTLAB,LOSARTAN (B) 50mg X30COM.,88%,$ 2.399,$ 288
202,LABORATORIO CHILE,LOSARTAN (B) 50mg X30COM.,88%,$ 2.399,$ 288
203,ANDROMACO FARMA,LOSARTAN (B) 50mg X30COM.,88%,$ 2.399,$ 288
204,PHARMA INVESTI,LOSARTAN (B) 50mg X30COM.,88%,$ 2.399,$ 288
205,OPKO,LOSARTAN (B) 50mg X30COM.,88%,$ 2.399,$ 288
206,GENERICOS,MEBENDAZOL 100mg X6COM.,50%,$ 1.199,$ 600
207,GENERICOS,DIPIRONA 300mg X20COM.,68%,$ 1.199,$ 384
208,GENERICOS,DIPIRONA 1g/2ml X5AMP.,39%,$ 1.999,$ 1.219
209,SANITAS S.A.,GLUKAUT 500/5 X60COM.,90%,$ 10.399,$ 1.040
210,GENERICOS,METFORMINA (B) 850mg X60COM.REC.,88%,$ 4.999,$ 600
211,PASTEUR,METROPAST (B) 500mg X20COM.,51%,$ 8.999,$ 4.410
212,GENERICOS,METRONIDAZOL 500mg X10OVULOS,52%,$ 2.299,$ 1.104
213,RECALCINE,NOCTURA X1AMP.,29%,$ 1.399,$ 993
214,LABORATORIO CHILE,MORFINA 10mg X3AMP.,38%,$ 10.190,$ 6.318
215,GENERICOS,NIFEDIPINO RET.20mg X30COM.REC.,80%,$ 2.099,$ 420
216,GENERICOS,NISTATINA 500000UI X12COM.,66%,$ 3.999,$ 1.360
217,GENERICOS,NISTATINA 100000UI UNG.X15g,61%,$ 1.999,$ 780
218,GENERICOS,NISTATINA 100000UI X12OVULOS,60%,$ 3.299,$ 1.320
219,GENERICOS,NITRENDIPINO 20mg X20COM.,81%,$ 1.099,$ 209
220,GENERICOS,NITROFURANTOINA 100mg X10COM.,30%,$ 1.499,$ 1.049
221,GENERICOS,NITROGLICERINA 0.6mg X30COM.,44%,$ 4.999,$ 2.799
222,LABORATORIO CHILE,SINCRIS (B) 10mg X30COM.REC.,91%,$ 35.699,$ 3.213
223,SYNTHON,LEVROX (B) 4mg/2ml X5AMP.,91%,$ 5.299,$ 477
224,GENERICOS,PARACETAMOL PED.125mg X5SUP.,62%,$ 1.299,$ 494
225,LABORATORIO CHILE,PARACETAMOL PED.125mg X5SUP.,62%,$ 1.299,$ 494
226,ANDROMACO FARMA,PARACETAMOL PED.125mg X5SUP.,62%,$ 1.299,$ 494
227,MEDIPHARM,GESIDOL NIÑOS 160mg X16COM.MAST.,62%,$ 2.399,$ 912
228,GENERICOS,PARACETAMOL (B) 500mg X16COM.,82%,$ 1.099,$ 198
229,GENEXX,PARACETAMOL (B) 500mg X16COM.,82%,$ 1.099,$ 198
230,MINTLAB,PARACETAMOL (B) 500mg X16COM.,82%,$ 1.099,$ 198
231,RECALCINE,PARACETAMOL (B) 500mg X16COM.,82%,$ 1.099,$ 198
232,LABORATORIO CHILE,PARACETAMOL (B) 500mg X16COM.,82%,$ 1.099,$ 198
233,ANDROMACO FARMA,PARACETAMOL (B) 500mg X16COM.,82%,$ 1.099,$ 198
234,OPKO,PARACETAMOL (B) 500mg X16COM.,82%,$ 1.099,$ 198
235,BAGO,PARACETAMOL (B) 500mg X16COM.,82%,$ 1.099,$ 198
236,GENERICOS,PARACETAMOL 100mg/ml GTAS.X15ml,77%,$ 1.499,$ 345
237,SANITAS S.A.,PAMAX (B) 20mg X30COM.REC.,94%,$ 20.999,$ 1.260
238,MED CELL RECETARIO,PASTA LASSAR X50g,61%,$ 1.489,$ 581
239,GENERICOS,PENICILINA G BENZ 1200000UI X1F-A,76%,$ 1.499,$ 360
240,EUROMED,PENICILINA G BENZ 1200000UI X1F-A,76%,$ 1.499,$ 360
241,RECALCINE,PENICILINA G BENZ 1200000UI X1F-A,76%,$ 1.499,$ 360
242,OPKO,PENICILINA G BENZ 1200000UI X1F-A,76%,$ 1.499,$ 360
243,LABORATORIO CHILE,PENICILINA G BENZ 1200000UI X1F-A,76%,$ 1.499,$ 360
244,ANDROMACO FARMA,PENICILINA G BENZ 1200000UI X1F-A,76%,$ 1.499,$ 360
245,GENERICOS,PENICILINA G SOD 1000000UI X1F-A,55%,$ 899,$ 405
246,176-OPKO,PENICILINA G SOD 1000000UI X1F-A,55%,$ 899,$ 405
247,283-RECALCINE,PENICILINA G SOD 1000000UI X1F-A,55%,$ 899,$ 405
248,3-ANDROMACO FARMA,PENICILINA G SOD 1000000UI X1F-A,55%,$ 899,$ 405
249,43-LABORATORIO CHILE,PENICILINA G SOD 1000000UI X1F-A,55%,$ 899,$ 405
250,ANDROMACO FARMA,KILNITS 1% SH.X100ml,63%,$ 8.399,$ 3.108
251,GENERICOS,POLIVITAMINICAS X30COM.REC.,63%,$ 2.090,$ 773
252,GENERICOS,POLIVITAMINICO JBE.X100ml,57%,$ 2.090,$ 899
253,GENERICOS,PREDNISONA (B) 5mg X20COM.,70%,$ 1.199,$ 360
254,LABORATORIO CHILE,CORTIPREX 20mg/5ml S.O.X60ml,85%,$ 9.999,$ 1.500
255,GENERICOS,PROPANOLOL 10mg X20COM.,75%,$ 799,$ 200
256,GENERICOS,PROPANOLOL 40mg X20COM.,72%,$ 599,$ 168
257,ALCON CHILE LTDA.,ANESTALCON 0.5% SOF.X15ml,81%,$ 27.999,$ 5.320
258,GENERICOS,QUETIAPINA (B) 100mg X30COM.REC,90%,$ 20.899,$ 2.090
259,3-ANDROMACO FARMA,QUETIAPINA (B) 100mg X30COM.REC,90%,$ 20.899,$ 2.090
260,PHARMA INVESTI,GOVAL (B) 1mg X30COM.REC.,87%,$ 16.299,$ 2.119
261,ANDROMACO FARMA,SPIRON 1mg/ml GTAS.X30ml,70%,$ 24.599,$ 7.380
262,GENERICOS,SALES HIDRATANTES TRO 60 X10SOB.,60%,$ 7.999,$ 3.200
263,GENERICOS,SERTRALINA (B) 50mg X30COM.,85%,$ 2.899,$ 435
264,GENERICOS,CLORURO SODIO 0.9% X500ml,43%,$ 1.499,$ 854
265,GENERICOS,CLORURO SODIO 0.9% 20ml X5AMP.,95%,$ 2.099,$ 105
266,GENERICOS,CLORURO SODIO 0.9% X250ml,36%,$ 1.099,$ 703
267,SANDERSON S.A.,CLORURO SODIO 0.9% X250ml,36%,$ 1.099,$ 703
268,GENERICOS,GLUCOSA 5% X500ml,53%,$ 1.399,$ 658
269,263-HOSPIFARMA,GLUCOSA 5% X500ml,53%,$ 1.399,$ 658
270,351-SANDERSON S.A.,GLUCOSA 5% X500ml,53%,$ 1.399,$ 658
271,GENERICOS,GLUCOSALINO ISOTONICO X500ml,47%,$ 1.599,$ 847
272,263-HOSPIFARMA,GLUCOSALINO ISOTONICO X500ml,47%,$ 1.599,$ 847
273,351-SANDERSON S.A.,GLUCOSALINO ISOTONICO X500ml,47%,$ 1.599,$ 847
274,GENERICOS,TETRACICLINA 250mg X16CAP.,63%,$ 1.699,$ 629
275,220-MINTLAB,TETRACICLINA 250mg X16CAP.,63%,$ 1.699,$ 629
276,283-RECALCINE,TETRACICLINA 250mg X16CAP.,63%,$ 1.699,$ 629
277,302-SILESIA,TETRACICLINA 250mg X16CAP.,63%,$ 1.699,$ 629
278,3-ANDROMACO FARMA,TETRACICLINA 250mg X16CAP.,63%,$ 1.699,$ 629
279,43-LABORATORIO CHILE,TETRACICLINA 250mg X16CAP.,63%,$ 1.699,$ 629
280,SILESIA,LIREX 2.5mg X30COM.,42%,$ 20.699,$ 12.005
281,MEDIPHARM,TRONSALAN 100mg X20COM.REC.,61%,$ 12.899,$ 5.031
282,LABORATORIO CHILE,TONARIL 2mg X100COM.,80%,$ 21.199,$ 4.240
283,MEDIPHARM,AEROMED JARABE 100 ml.,25%,$ 3.996,$ 2.997
284,MEDIPHARM,APETROL JARABE x 120 ml,25%,$ 10.599,$ 7.949
285,MEDIPHARM,ATENFAR BE 20MG X 30 COMPR. REC.,51%,$ 7.799,$ 3.822
286,MEDIPHARM,BILATEN 16 mg. x 30 comprimidos,29%,$ 18.299,$ 12.992
287,MEDIPHARM,BILATEN-D 16/12.5 mg. x 30 comprimidos,27%,$ 18.899,$ 13.796
288,MEDIPHARM,BIOCORD ACTIVE x 30 FLUIDCAPS,25%,$ 7.299,$ 5.474
289,MEDIPHARM,CALDAR-D FORTE x 30 cápsulas,32%,$ 6.499,$ 4.419
