,Fórmula o principio Activo,Descripción Medicamento,Laboratorio,Precio referencial sin convenio septiembre 2020,Descuento,Precio referencial con convenio septiembre 2020
87,AMOXICILINA + ACIDO CLAVULANICO,CLAVAM DUO(BE) 875/125 COMP.X20,EUROFARMA CHILE S.A.,$22.599,43%,$12.881
88,AMOXICILINA + ACIDO CLAVULANICO,(B) AMOLEX DUO 875/125 COMP.X14,ANDROMACO FARMA,$25.299,30%,$17.709
89,AMOXICILINA + ACIDO CLAVULANICO,(B) AMOLEX DUO 875/125 COMP.X20,ANDROMACO FARMA,$25.999,29%,$18.459
90,AMOXICILINA + ACIDO CLAVULANICO,AMOX/AC.CLAVULANICO (B) 875/125 X20COM.,OPKO,$11.399,62%,$4.332
91,AMOXICILINA + ACIDO CLAVULANICO,AMOXICILINA/CLAVUL (B) 500/125 X20COM.,OPKO,$6.099,53%,$2.867
92,AMOXICILINA + ESOMEPRAZOL + CLARITROMICI,ZOMEL HP DOSIS X28,SAVAL S.A.,$43.699,32%,$29.715
93,AMOXICILINA + LANSOPRAZOL + CLARITROMICI,LANZOPRAL HELIPACK X14DS.,PHARMA INVESTI,$37.899,34%,$25.013
94,ANTAZOLINA + NAFAZOLINA,OFTALIRIO SOF.X10ml,SAVAL S.A.,$11.499,31%,$7.934
95,APIXABAN,ELIQUIS 5mg X60COM.,PFIZER,$81.399,30%,$56.979
96,ARIPIPRAZOL,AZYMOL 10mg X30COM.,RECALCINE,$48.499,25%,$36.374
97,ARIPIPRAZOL,AZYMOL 15mg X30COM.,RECALCINE,$72.499,68%,$23.200
98,ARIPIPRAZOL,AZYMOL 5mg X30COM.,RECALCINE,$36.499,18%,$29.929
99,ARIPIPRAZOL,IRAZEM (B) 15mg X30COM.,DEUTSCHE PHARMA S.A.,$45.699,78%,$10.054
100,ARIPIPRAZOL,IRAZEM 10mg X30COM.,DEUTSCHE PHARMA S.A.,$38.899,20%,$31.119
101,ARIPIPRAZOL,ARIZOL (B) 5mg X28COM.,EXELTIS CHILE,$29.099,25%,$21.824
102,ARIPIPRAZOL,ARIVITAE (B) 10mg X28COM.,GALENICUM HEALTH CHILE SPA,$27.499,23%,$21.174
103,ARMODAFINILO,ARVIGIL 200 MG X 30 COM,ANDROMACO FARMA,$33.999,40%,$20.399
104,ATAPULGITA + NIFUROXAZIDA,DIAREN X20COM.,SAVAL S.A.,$9.399,25%,$7.049
105,ATENOLOL,ATENOLOL (B) 50mg X20COM.,LABORATORIO CHILE,$999,65%,$350
106,ATOMOXETINA,DEATEN 40MG. FCO. 30 COMP.,ANDROMACO FARMA,$56.199,40%,$33.719
107,ATOMOXETINA,DEATEN 80MG. CAJA 15 COMP.,ANDROMACO FARMA,$49.399,34%,$32.603
108,ATORVASTATINA,(R) LIPITOR 10mg COMP.X30,PFIZER,$48.599,14%,$41.795
109,ATORVASTATINA,ATENFAR BE 20MG X 30 COMPR. REC.,MEDIPHARM,$7.999,53%,$3.760
110,ATORVASTATINA,ATORVASTATINA (B) 10mg X30COM.,LABORATORIO CHILE,$2.799,81%,$532
111,ATORVASTATINA,ATORVASTATINA (B) 20mg X30COM.,LABORATORIO CHILE,$2.999,70%,$900
112,ATORVASTATINA,LIPOX 10 MG 30 CR Z BE,LABORATORIO CHILE,$11.499,27%,$8.394
113,ATORVASTATINA,LIPOX 20 MG 30 CR Z BE,LABORATORIO CHILE,$21.999,35%,$14.299
114,ATORVASTATINA,LIPOX 40 MG 30 CR Z BE,LABORATORIO CHILE,$17.099,28%,$12.311
115,ATORVASTATINA,LIPOX 80 MG 30 CR Z BE,LABORATORIO CHILE,$18.799,29%,$13.347
116,ATORVASTATINA,ORVAKARE (B) 40mg X30COM.,DR. REDDYS LABORATORIES CHILE SpA,$14.499,35%,$9.424
117,ATORVASTATINA,LIPOTROPIC (B) 20mg X30COM.REC.,RECALCINE,$22.999,35%,$14.949
118,ATORVASTATINA,VOLUNTA (B) 80mg X30COM.,SANOFI WINTHROP DE CHILE S.A.,$25.199,39%,$15.371
119,ATROPINA,ATROPINA 1% SOF.X5ml,BPH S.A,$14.399,54%,$6.624
120,AZATIOPRINA,AZATIOPRINA (B) 50mg 100COM.,ASCEND LABORATORIES SPA,$37.199,25%,$27.899
121,AZITROMICINA,ABACTEN 200mg SOE 30ml,ANDROMACO FARMA,$15.499,30%,$10.849
122,AZITROMICINA,ABACTEN 400mg SOE 20ml,ANDROMACO FARMA,$17.999,77%,$4.140
123,AZITROMICINA,AZITROMICINA (B) 500mg X6COM.,LABORATORIO CHILE,$2.899,61%,$1.131
124,AZITROMICINA,AZITROMICINA 200mg/5ml S.O.X15ml,LABORATORIO CHILE,$6.699,67%,$2.211
125,AZITROMICINA,RICILINA 200mg/5ml S.O.SACHET X15ml,RECALCINE,$6.999,33%,$4.689
126,BACLOFENO,LIORESYL 10mg X60COM.,NOVARTIS CHILE S.A.,$65.999,20%,$52.799
127,BACLOFENO,CETRIL 10mg X50COM.,PHARMA INVESTI,$28.999,20%,$23.199
128,BENZOCAINA + CETILPIRIDINIO CLORURO + DEXPANTENOL,KALMAFTA GEL 20ml,ANDROMACO FARMA,$5.399,20%,$4.319
129,BETAHISTINA,BETASERC (R) 16mg X30COM.,ABBOTT FARMA,$31.499,53%,$14.805
130,BETAHISTINA,BETASERC (R) 24mg X30COM.,ABBOTT FARMA,$37.099,39%,$22.630
131,BETAHISTINA,BETINA (B) 16mg X30COM.,EUROFARMA CHILE S.A.,$26.799,30%,$18.759
132,BETAHISTINA,BETINA (B) 24mg X30COM.,EUROFARMA CHILE S.A.,$33.599,30%,$23.519
133,BETAHISTINA,MICROSER COMP.16MG.X30 VTA,GRUNENTHAL,$40.999,40%,$24.599
134,BETAHISTINA,MICROSER COMP.24MG.X30 VTA (BE),GRUNENTHAL,$42.999,40%,$25.799
135,BETAHISTINA,MICROSER COMP.8MG.X30 VTA,GRUNENTHAL,$32.499,36%,$20.799
136,BETAHISTINA,MICROSER COMP.8MG.X60 VTA,GRUNENTHAL,$46.399,30%,$32.479
137,BETAHISTINA,BETINA (B) 8mg X30COM.,EUROFARMA CHILE S.A.,$20.999,40%,$12.599
138,BETAMETASONA (FOSFATO DISODICO Y DIPROPIONATO),BETAVOL 5+2mg/ml AMP.X1,EUROFARMA CHILE S.A.,$12.999,30%,$9.099
139,BETAMETASONA + LIDOCAINA + OXIDO DE ZINC,CONTRALMOR X6SUP.,LABORATORIO CHILE,$12.999,53%,$6.110
140,BETAMETASONA DERMICA,BETAMETASONA 0.05% CR.X15g,LABORATORIO CHILE,$1.299,76%,$312
141,BETAMETASONA OFTALMICA,OFTASONA P SOF.X10ml,SAVAL S.A.,$13.499,18%,$11.069
142,BISOPROLOL,BISOPRIL 1.25 COMP.X30,EUROFARMA CHILE S.A.,$6.999,30%,$4.899
143,BISOPROLOL,BISOPRIL 2.5 COMP.X30,EUROFARMA CHILE S.A.,$13.899,60%,$5.560
144,BISOPROLOL,BISOPRIL 5mg COMP.X30,EUROFARMA CHILE S.A.,$16.799,30%,$11.759
145,BISOPROLOL,CONCOR 10mg X28COM.REC.,MERCK SA CHILE,$33.299,39%,$20.312
146,BISOPROLOL,"CONCOR 2,5mg COMP.X28",MERCK SA CHILE,$26.999,30%,$18.899
147,BISOPROLOL,CONCOR 5mg COMP.X28,MERCK SA CHILE,$33.199,20%,$26.559
148,BROMHEXINA,BROMHEXINA PED.4mg/5ml JBE.X100ml,OPKO,$1.499,59%,$615
149,BUDESONIDA + FORMOTEROL,VANNAIR 160/4.5 X120DS.,ASTRA ZENECA DE CHILE LTDA.,$59.999,52%,$28.800
150,BUPROPION,BUTRINO 150mg COM.X30,EUROFARMA CHILE S.A.,$19.499,30%,$13.649
151,BUPROPION,BUTRINO 150mg COM.X60,EUROFARMA CHILE S.A.,$27.799,35%,$18.069
152,BUPROPION,ELONTRIL XL 150mg X30COM.PROL.,ETEX FARMACEUTICA LTDA.,$38.999,18%,$31.979
153,BUPROPION,MONDRIAN 150MG X 30,ANDROMACO FARMA,$21.999,40%,$13.199
154,BUPROPION,BUPREDOL 150mg X60COM.REC,SANITAS S.A.,$26.499,35%,$17.224
155,CALCIO + VIT D,PLUSCAL COMP.X30,PASTEUR,$18.099,25%,$13.574
156,CALCIO + VIT D,OSVICAL CALCIO+D FTE.X60CAP.,MEDIPHARM,$5.999,30%,$4.199
157,CALCIO + VIT D,OSVICAL CALCIO+D 500 X30COM.MAST.,MEDIPHARM,$3.199,30%,$2.239
158,CALCIO + VIT D,OSVICAL CALCIO+D 320 X30CAP.,MEDIPHARM,$3.699,30%,$2.589
159,CALCIO ACETATO,"PHOSLO 0,667mg X60COM.",PASTEUR,$9.499,16%,$7.979
160,CALCIO CARBONATO,ELCAL 320mg CAPS.X30,ANDROMACO FARMA,$10.899,30%,$7.629
161,CALCIO CARBONATO,ELCAL FTE 450mg CAPS.X30,ANDROMACO FARMA,$7.699,30%,$5.389
162,CALCIO CARBONATO,ELCAL FORTE X60CAP.,ANDROMACO FARMA,$9.999,30%,$6.999
163,CALCIO CARBONATO,ELCAL 320mg X60CAP.,ANDROMACO FARMA,$9.999,30%,$6.999
164,CALCIO CARBONATO + SODIO ALGINATO + SODIO BICARBONATO,GAVISCON DOBLE ACCION S.O.SACHET X1,RECKITT BENCKISER FARMA,$1.099,38%,$681
165,CALCIO CARBONATO + VITAMINA D3,CALCEFOR D X30CAP.,LABORATORIO CHILE,$9.499,58%,$3.990
166,CALCIO CARBONATO + VITAMINA D3,CALCEFOR D X60CAP.,LABORATORIO CHILE,$10.999,93%,$770
167,CALCIO CARBONATO + VITAMINA D3,CALCIO 320MG + VIT. D3 125 UI x 60 compr.,MEDIPHARM,$7.999,32%,$5.439
168,CALCIO CARBONATO + VITAMINA D3,CALDAR-D FORTE x 30 cápsulas,MEDIPHARM,$7.199,32%,$4.895
169,CALCIO CARBONATO + VITAMINA D3,CAPRIMIDA D FTE.X30CAP.,RECALCINE,$11.999,25%,$8.999
170,CALCIO CARBONATO + VITAMINA D3,ELCAL CI COMP.X60,ANDROMACO FARMA,$16.199,28%,$11.663
171,CALCIO CARBONATO + VITAMINA D3,ELCAL D 500/800 CAPS.X60,ANDROMACO FARMA,$14.499,30%,$10.149
172,CALCIO CARBONATO + VITAMINA D3,ELCAL D CAPS.X30,ANDROMACO FARMA,$8.299,30%,$5.809
173,CALCIO CARBONATO + VITAMINA D3,ELCAL D CAPS.X60,ANDROMACO FARMA,$11.699,30%,$8.189
174,CALCIO CARBONATO + VITAMINA D3,ELCAL D FTE.CAPS.X30,ANDROMACO FARMA,$9.399,30%,$6.579
175,CALCIO CARBONATO + VITAMINA D3,ELCAL D FTE.CAPS.X60,ANDROMACO FARMA,$12.499,30%,$8.749
176,CALCIO CARBONATO + VITAMINA D3,ELCAL D PLUS CAPS.X30,ANDROMACO FARMA,$12.899,30%,$9.029
177,CALCIO CARBONATO + VITAMINA D3,ELCAL D PLUS CAPS.X60,ANDROMACO FARMA,$14.199,30%,$9.939
178,CALCIO FOSFATO + VITAMINA D3,ELCAL D SUPRA SOB.X30,ANDROMACO FARMA,$20.599,30%,$14.419
179,CALCIO GLUCONATO + CALCIO LACTOBIONATO,ELCAL KID JBE.180ml,ANDROMACO FARMA,$12.699,30%,$8.889
180,CALCITRIOL,ROCALTROL 0.25mcg CAPS.X30,ROCHE,$44.599,35%,$28.989
181,CANAGLIFLOXINA,INVOKANA 100mg X30COM.,JANSSEN,$34.499,25%,$25.874
182,CANAGLIFLOXINA,INVOKANA 300mg X30COM.,JANSSEN,$41.199,25%,$30.899
183,CANDESARTAN,ATACAND (R) 8mg X30COM.,ASTRA ZENECA DE CHILE LTDA.,$32.199,52%,$15.456
184,CANDESARTAN + HIDROCLOROTIAZIDA,BILATEN-D 16/12.5 mg. x 30 comprimidos,MEDIPHARM,$18.999,27%,$13.869
185,CAPTOPRIL,CAPTOPRIL 25mg X30COM.,HOSPIFARMA,$4.599,85%,$690
186,CARBAMAZEPINA,CARBAMAZEPINA (B) 200mg X20COM.,LABORATORIO CHILE,$2.399,80%,$480
187,CARBOMER 974,SICCAFLUID GEL 10g,THEA PHARMA SPA,$19.899,34%,$13.133
188,CARBOMER 974,SICCAFLUID UNIDOSIS X30,THEA PHARMA SPA,$20.299,30%,$14.209
189,CARMELOSA SODICA,CARMELOSA 0.5% SOF.X15ml,HOSPIFARMA,$3.499,73%,$945
190,CARVEDILOL,(R) DILATREND 12.5mg COMP.X28,ROCHE,$20.499,15%,$17.424
191,CARVEDILOL,BETAPLEX (B) 12.5mg X30COM.,RECALCINE,$16.999,25%,$12.749
192,CARVEDILOL,BETAPLEX (B) 25mg X30COM.,RECALCINE,$22.999,25%,$17.249
193,CARVEDILOL,"BETAPLEX (B) 6,25mg X30COM.",RECALCINE,$9.499,67%,$3.135
194,CARVEDILOL,CARVEDILOL (B) 12.5mg X30COM.,LABORATORIO CHILE,$5.099,83%,$867
195,CARVEDILOL,CARVEDILOL (B) 25mg X30COM.,LABORATORIO CHILE,$4.999,70%,$1.500
196,CARVEDILOL,LODIPRES 12.5MG 30C,LABORATORIO CHILE,$18.499,35%,$12.024
197,CARVEDILOL,LODIPRES 25MG 30C,LABORATORIO CHILE,$17.999,35%,$11.699
198,CARVEDILOL,LODIPRES 6.25 MG 30 C,LABORATORIO CHILE,$10.999,35%,$7.149
199,CEFADROXILO,CEFADROXILO (B) 500mg X8CAP.,ANDROMACO FARMA,$1.999,36%,$1.279
200,CEFADROXILO,CEFADROXILO 250mg/5ml JBE.X60ml,ANDROMACO FARMA,$3.099,56%,$1.364
201,CEFUROXIMA AXETIL,CEREVAX (B) 500mg X14COM.REC.,RECALCINE,$38.499,68%,$12.320
202,CEFUROXIMA AXETIL,CUROCEF (R) 500mg X14COM.REC.,GLAXO,$55.499,37%,$34.964
203,CEFUROXIMA AXETIL,CUROCEF 250mg/5ml S.O.X100ml,GLAXO,$36.499,57%,$15.695
204,CELECCOXIB,(B) COXDOS 200mg CAP.X30,ANDROMACO FARMA,$32.499,30%,$22.749
205,CELECCOXIB,(R) CELEBRA 200mg COMP.X30,PFIZER,$48.499,13%,$42.194
206,CELECCOXIB,ARGIUM 200 MG X 10 CAPSULAS,LABORATORIO CHILE,$10.499,35%,$6.824
207,CELECCOXIB,ARGIUM 200 MG X 30 CAPSULAS,LABORATORIO CHILE,$24.499,35%,$15.924
208,CELECCOXIB,CAPSURE (B) 200mg X10CAP.,PFIZER,$13.299,85%,$1.995
209,CELECCOXIB,CAPSURE (B) 200mg X30CAP.,PFIZER,$28.299,88%,$3.396
210,CELECCOXIB,COXDOS (B) 200mg X10CAP.,ANDROMACO FARMA,$13.499,20%,$10.799
211,CETIRIZINA,(B) FINDALER COMP.X30,MEDIPHARM,$6.499,62%,$2.470
212,CETIRIZINA,FINDALER JARABE X 100 ML,MEDIPHARM,$9.499,54%,$4.370
213,CETIRIZINA,ZYRTEC 1mg/ml S.O.X60ml,GLAXO,$21.999,70%,$6.600
214,CICLOBENZAPRINA,CICLOBENZAPRINA (B) 10mg X20COM.,LABORATORIO CHILE,$2.199,83%,$374
215,CICLOBENZAPRINA,TENSODOX (B) 10mg X10COM.REC.,RECALCINE,$13.999,25%,$10.499
216,CICLOBENZAPRINA,TENSODOX (B) 10mg X20COM.REC.,RECALCINE,$14.999,25%,$11.249
217,CICLOBENZAPRINA,TENSODOX (B) 5mg X20COM.REC.,RECALCINE,$10.499,25%,$7.874
218,CICLOBENZAPRINA,TENSODOX XR 10mg X20COM.PROL.,RECALCINE,$7.999,18%,$6.559
219,CICLOBENZAPRINA,MEDAREX 10mg X20COM.,MEDIPHARM,$1.999,25%,$1.499
220,CICLOBENZAPRINA,FLEXIN 5mg X20COM.REC.,PASTEUR,$4.499,25%,$3.374
221,CILOSTAZOL,ARTESOL 100mg X30COM.,RECALCINE,$32.999,35%,$21.449
222,CILOSTAZOL,ARTESOL 50mg X30COM.,RECALCINE,$19.499,65%,$6.825
223,CILOSTAZOL,CILOSVITAE (B) 100mg X28COM.,GALENICUM HEALTH CHILE SPA,$21.999,35%,$14.299
224,CIMIFUGA RACEMOSA+ISOFLAVONA DE SOYA,FEMIPAUSE X60CAP.,MEDCELL HELTY,$5.990,20%,$4.792
225,CINACALCET,GESER 30mg X30COM.REC.,RECALCINE,$78.499,77%,$18.055
226,CINTAS REACTIVAS PARA GLICEMIA,ACCU CHEK INSTANT CINT.25,ROCHE DIAGNOSTICA,$19.999,29%,$14.199
227,CINTAS REACTIVAS PARA GLICEMIA,ACCU CHEK INSTANT CINT.50,ROCHE DIAGNOSTICA,$38.199,29%,$27.121
228,CIPROFIBRATO,GIABRI 100mg X30COM.,MERCK SA CHILE,$26.099,49%,$13.310
229,CIPROFLOXACINO,CIPROFLOXACINO (B) 500mg X6COM.,LABORATORIO CHILE,$1.199,60%,$480
230,CIPROFLOXACINO OFTALMICO COLIRIO,CIPROVAL 0.3% SOF.X5ml,SAVAL S.A.,$22.899,37%,$14.426
231,CIPROHEPTADINA + VIT.B1-B2-B6 + VIT.C +,APETROL JARABE x 120 ml,MEDIPHARM,$10.999,32%,$7.479
232,CIPROTERONA + ETINILESTRADIOL,DIXI 35 X21GRA.,RECALCINE,$22.499,50%,$11.250
