,Laboratorio,Medicamento / Insumo,Precio Referencia Retail 09/2017,Descuento Botiquín Las Condes,Precio referencial Botiquín de Las Condes
30,ANDROMACO,AMOXICILINA 500mg X21CAP.,$3.799,73%,$1.046
31,OPKO,AMOXICILINA 500mg/5ml JBE.X60ml,$1.999,70%,$610
32,OPKO,AMOXICILINA/CLAVUL (B) 500/125 X20COM.,$7.499,53%,$3.550
33,LABORATORIO CHILE,AMPLEX 10 MG/ 160 MG 30 CR,$25.499,35%,$16.574
34,LABORATORIO CHILE,AMPLEX 5 MG/ 160 MG 30 CR,$25.199,35%,$16.379
35,LABORATORIO CHILE,AMPLEX 5 MG/ 80 MG 30 CR,$20.999,35%,$13.649
36,RECALCINE,ANALGEX SAP X20COM.REC.,$18.999,50%,$9.500
37,ALCON,ANESTALCON 0.5% SOF.X15ml,$27.999,81%,$5.355
38,RECALCINE,ANFIBOL (B) 5mg X30COM.REC.,$20.999,25%,$15.749
39,FARMOQUIMICA,ANTABUS 500mg X24COM.,$24.999,89%,$2.642
40,SILESIA,ANULETTE 20 CD X28COM.,$10.799,50%,$5.400
41,SILESIA,ANULETTE CD X28COM.,$5.799,50%,$2.900
42,RECALCINE,APEPLUS (B) 1mg X30COM.,$25.999,35%,$16.899
43,RECALCINE,APEPLUS (B) 1mg X90COM.,$73.099,35%,$47.514
44,MEDIPHARM,APETROL JARABE x 120 ml,$9.999,25%,$7.499
45,LABORATORIO CHILE,ARGIUM 200 MG X 10 CAPSULAS,$10.099,35%,$6.564
46,LABORATORIO CHILE,ARGIUM 200 MG X 30 CAPSULAS,$23.499,35%,$15.274
47,ANDROMACO FARMA,ARILEX FT TRISECTADO X 30,$59.499,40%,$35.699
48,RECALCINE,ARLETTE 28 X28COM.REC.,$12.899,25%,$9.674
49,RECALCINE,ARTESOL 100mg X30COM.,$29.599,35%,$19.239
50,RECALCINE,ARTESOL 50mg X30COM.,$17.999,35%,$11.699
51,LABORATORIO CHILE,ARTRIDOL DUO PVO.SOL.X30SOB.,$33.999,20%,$27.199
52,ANDROMACO FARMA,ARTRIDOL DUO X60CAP.BLANDAS,$16.599,35%,$10.789
53,LABORATORIO CHILE,ARTRIDOL DUO X60CAP.BLANDAS,$16.599,20%,$13.279
54,RECALCINE,ARTROTIN (B) 20mg X30COM.REC.,$62.699,35%,$40.754
55,ANDROMACO FARMA,ARVIGIL 200 MG X 30 COM,$31.390,40%,$18.834
56,LABORATORIO CHILE,ASICOT 100MG 30CR,$24.699,35%,$16.054
57,LABORATORIO CHILE,ASICOT 200MG 30CR,$42.499,35%,$27.624
58,LABORATORIO CHILE,ASICOT 25MG 30CR,$21.099,35%,$13.714
59,FERRER,ATEMPERATOR 250mg X50COM.REC.,$25.199,45%,$13.952
60,MEDIPHARM,ATENFAR BE 20MG X 30 COMPR. REC.,$7.799,51%,$3.852
61,CHILE,ATENOLOL (B) 50mg X20COM.,$599,66%,$202
62,CHILE,ATORVASTATINA (B) 10mg X30COM.,$2.299,81%,$449
63,CHILE,ATORVASTATINA (B) 20mg X30COM.,$3.099,80%,$607
64,LABORATORIO CHILE,AUSENTRON 25MG 30CR,$21.399,35%,$13.909
65,LABORATORIO CHILE,AUSENTRON 75MG 30C,$33.999,35%,$22.099
66,CHILE,AUSENTRON 75mg X30COM.REC.,$33.999,27%,$25.000
67,RECALCINE,AZYMOL 10mg X30COM.,$47.599,25%,$35.699
68,RECALCINE,AZYMOL 15mg X30COM.,$70.299,25%,$52.724
69,RECALCINE,AZYMOL 5mg X30COM.,$32.999,25%,$24.749
70,BOEHRINGER,BERODUAL SOL.NEBULIZAR X20ml,$20.999,67%,$7.021
71,HOSPIFARMA,BETAMETASONA 0.05% CR.X15g,$999,70%,$303
72,RECALCINE,BETAPLEX (B) 12.5mg X30COM.,$16.499,25%,$12.374
73,RECALCINE,BETAPLEX (B) 25mg X30COM.,$20.999,25%,$15.749
74,RECALCINE,"BETAPLEX (B) 6,25mg X30COM.",$8.299,25%,$6.224
75,RECALCINE,BETAPLEX CR 10mg X30COM.,$8.199,25%,$6.149
76,RECALCINE,BETAPLEX CR 20mg X30COM.,$12.499,25%,$9.374
77,RECALCINE,BETAPLEX CR 40mg X30COM.,$17.599,25%,$13.199
78,MEDIPHARM,BILATEN 16 mg. x 30 comprimidos,$15.699,29%,$11.210
79,MEDIPHARM,BILATEN-D 16/12.5 mg. x 30 comprimidos,$16.099,27%,$11.769
80,MEDIPHARM,BIOCORD ACTIVE x 30 FLUIDCAPS,$7.299,25%,$5.474
81,RECALCINE,BIOPSOL 0.25mg X30COM.,$13.399,25%,$10.049
82,RECALCINE,BIOPSOL 1mg X30COM.,$41.299,25%,$30.974
83,LUNDBECK,BRINTELLIX 10mg X14COM.,$22.499,5%,$21.374
84,LUNDBECK,BRINTELLIX 10mg X28COM.,$45.999,5%,$43.699
85,CHILE,BROMAZEPAM 3mg X30COM.,$1.299,57%,$559
86,LABORATORIO CHILE,BURTEN 10mg X10COM.SUBL.,$10.399,20%,$8.319
87,LABORATORIO CHILE,BURTEN 10mg X20COM.SUBL.,$17.799,20%,$14.239
88,CHILE,CALCEFOR D X60CAP.,$8.999,93%,$643
89,MEDIPHARM,CALDAR-D FORTE x 30 cápsulas,$6.499,32%,$4.450
90,RECALCINE,CAPRIMIDA D FTE.X30CAP.,$9.999,25%,$7.499
91,PFIZER,CAPSURE (B) 200mg X10CAP.,$12.999,20%,$10.399
92,PFIZER,CAPSURE (B) 200mg X30CAP.,$25.199,20%,$20.159
93,CHILE,CAPTOPRIL 25mg X30COM.,$3.999,85%,$600
94,CHILE,CARBAMAZEPINA (B) 200mg X20COM.,$2.199,70%,$660
95,PHARMA INVESTI,CARBORON 300mg X50COM.,$15.299,92%,$1.214
96,RECALCINE,CARDIOPLUS 20mg X30COM.REC.,$17.599,25%,$13.199
97,RECALCINE,CARDIOPLUS 40mg X30COM.REC.,$18.599,25%,$13.949
98,RECALCINE,CARDIOPLUS D 20/12.5 X30COM.REC.,$19.599,25%,$14.699
99,RECALCINE,CARDIOPLUS D 40/12.5 X30COM.REC.,$21.499,25%,$16.124
100,SILESIA,CAREZA X28COM.REC.,$15.699,50%,$7.850
101,CHILE,CARVEDILOL (B) 12.5mg X30COM.,$5.499,83%,$964
102,OPKO,CARVEDILOL (B) 25mg X30COM.,$5.099,78%,$1.131
103,ANDROMACO,CEFADROXILO (B) 500mg X8CAP.,$2.499,36%,$1.600
104,ANDROMACO,CEFADROXILO 250mg/5ml JBE.X60ml,$2.499,58%,$1.050
105,Exeltis,CERCIORA T (B) 0.75mg X2COM.,$12.999,20%,$10.399
106,RECALCINE,CIBLEX (B) 15mg X30COM.REC.,$21.099,25%,$15.824
107,RECALCINE,CIBLEX (B) 30mg X30COM.REC.,$47.999,25%,$35.999
108,RECALCINE,CICLIDON 20 CD X28COM.REC.,$11.799,47%,$6.248
109,RECALCINE,CICLIDON 20 CD X28COM.REC.,$11.799,25%,$8.849
110,RECALCINE,CICLIDON X21COM.REC.,$19.599,25%,$14.699
111,CHILE,CICLOBENZAPRINA (B) 10mg X20COM.,$2.099,80%,$426
112,RECALCINE,CICLOMEX 15 X28COM.REC.,$12.299,25%,$9.224
113,RECALCINE,CICLOMEX 20 CD X28COM.REC.,$11.599,25%,$8.699
114,RECALCINE,CICLOMEX CD X28COM.REC.,$11.999,25%,$8.999
115,OPKO,CIPROFLOXACINO (B) 500mg X6COM.,$999,60%,$405
116,HOSPIFARMA,CITALOPRAM (B) 20mg X30COM.REC.,$6.999,66%,$2.390
117,CHILE,CLARITROMICINA (B) 500mg X14COM.,$5.199,55%,$2.332
118,RECALCINE,CLINOMAT X30COM.REC.,$19.999,25%,$14.999
119,MEDIPHARM,CLODAVAN CREMA x 30 grs.,$7.699,25%,$5.774
120,MEDIPHARM,CLODAVAN LOCION CAPILAR 30 ml.,$9.199,25%,$6.899
121,CHILE,CLONAZEPAM (B) 0.5mg X30COM.,$3.799,85%,$575
122,CHILE,CLONAZEPAM (B) 2mg X30COM.,$4.599,85%,$714
123,MINTLAB,CLONIXINATO LISINA 125mg X10COM.,$2.099,67%,$700
124,OPKO,CLORANFENICOL 0.5% SOF.X10ml,$2.399,67%,$800
125,CHILE,CLORANFENICOL 1% UNG.OFT.X3.5g,$4.899,86%,$702
126,CHILE,CLORFENAMINA (B) 4mg X20COM.,$699,83%,$119
127,MED CELL,CLORHEXIDINA 0.12% SOL.X150ml,$4.499,51%,$2.200
128,CHILE,CLORPROMAZINA 25mg X50COM.,$990,39%,$600
129,SANDERSON,CLORURO SODIO 0.9% 20ml X5AMP.,$1.999,95%,$94
130,SANDERSON,CLORURO SODIO 0.9% X250ml,$1.099,36%,$700
131,SANDERSON,CLORURO SODIO 0.9% X500ml,$1.399,43%,$800
132,SANDERSON,CLORURO SODIO 10% 20ml X5AMP.,$1.399,94%,$90
133,OPKO,CLOTRIMAZOL 1% CR.X20g,$1.299,86%,$179
134,MINTLAB,CLOTRIMAZOL 500mg X1OVULO,$2.499,91%,$226
135,MEDIPHARM,CLOTRIMIN SOLUCION TOPICA 20 ml.,$5.099,25%,$3.824
136,MEDIPHARM,CLOTRIMIN-B CREMA x 15 grs.,$8.199,25%,$6.149
137,ANDROMACO,CLOXACILINA 500mg X12CAP.,$1.699,55%,$765
138,RECALCINE,CLUVAX 100mg X3CAP.VAG.,$14.399,50%,$7.200
139,RECALCINE,CLUVAX 100mg X7CAP.VAG.,$23.299,50%,$11.650
140,CHILE,CONTRALMOR X6SUP.,$11.199,53%,$5.296
141,MEDIPHARM,CORTIGRIP DIA/NOCHE x 15 comprimidos,$3.199,25%,$2.399
142,MEDIPHARM,CORTIGRIP x 10 comprimidos,$3.599,25%,$2.699
143,LABORATORIO CHILE,CORTIPREX (B) 20mg X20COM.REC.,$6.299,20%,$5.039
144,LABORATORIO CHILE,CORTIPREX 1mg/ml S.O.X100ml,$10.799,20%,$8.639
145,CHILE,CORTIPREX 20mg/5ml S.O.X60ml,$9.499,85%,$1.440
146,LABORATORIO CHILE,CORTIPREX 20mg/5ml S.O.X60ml,$9.499,20%,$7.599
147,ANDROMACO,COTRIMOXAZOL FTE.X10COM.,$1.299,55%,$590
148,ANDROMACO FARMA,COXDOS (B) 200mg X10CAP.,$11.999,20%,$9.599
149,RECALCINE,CRESADEX 10mg X30COM.REC.,$24.999,25%,$18.749
150,RECALCINE,CRESADEX 20mg X30COM.REC.,$35.099,25%,$26.324
151,ASTRA ZENECA DE CHILE LTDA.,CRESTOR TABLETS (R) 20mg X30COM.,$50.999,25%,$38.249
152,ASTRA ZENECA DE CHILE LTDA.,CRESTOR TABLETS (R) 40mg X30COM.,$71.199,25%,$53.399
153,PHARMA INVESTI,DAGOTIL 3mg X30COM.,$20.999,93%,$1.470
154,pharmavita,DAKSOL (B) 100mg X28COM.,$34.599,20%,$27.679
155,pharmavita,DAKSOL (B) 25mg X28COM.,$9.499,20%,$7.599
156,pharmavita,DAKSOL (B) 50mg X28COM.,$17.999,20%,$14.399
157,RECALCINE,DAL X28COM.REC.,$12.099,25%,$9.074
158,Exeltis,DALGIET (B) X28COM.,$16.499,20%,$13.199
159,Exeltis,DANIELE (B) X28COM.REC,$10.999,20%,$8.799
160,RECALCINE,DAZOLIN ODT 10mg X30COM.DISP.,$75.199,50%,$37.600
161,RECALCINE,DAZOLIN ODT 5mg X30COM.DISP.,$72.799,50%,$36.400
162,RECALCINE,DAZOLIN SR 23mg X30COM.,$82.499,50%,$41.250
163,ANDROMACO FARMA,DEATEN 40MG. FCO. 30 COMP.,$51.799,40%,$31.079
164,ANDROMACO FARMA,DEATEN 80MG. CAJA 15 COMP.,$39.999,40%,$23.999
165,MEDIPHARM,DEUCOALER 30 comprimidos,$6.099,25%,$4.574
166,MEDIPHARM,DEUCODOL FORTE SUSPENSION x 120 ml,$6.999,25%,$5.249
167,MEDIPHARM,DEUCODOL FTE.200mg/5ml S.O.X120ml,$6.999,91%,$655
168,MEDIPHARM,DEUCODOL SUSPENSION x 120 ml,$4.199,40%,$2.524
169,ANDROMACO FARMA,DEZARTAL (B) 30mg X20COM.,$62.199,50%,$31.100
170,CHILE,DIAZEPAM (B) 10mg X20COM.,$899,46%,$490
171,OPKO,DICLOFENACO 50mg X10COM.,$499,93%,$34
172,HOSPIFARMA,DICLOFENACO 75mg X5AMP.,$2.799,97%,$86
173,CHILE,DICLOFENACO PED.12.5mg X5SUP.,$999,63%,$369
174,CHILE,DIGOXINA (B) 0.25mg X30COM.,$1.999,64%,$714
175,BIOSANO,DIPIRONA 1g/2ml X5AMP.,$1.999,39%,$1.214
176,CHILE,DIPIRONA 300mg X20COM.,$1.099,68%,$357
177,MEDIPHARM,DIRTOP 100 mg. x 5 comprimidos Rec.,$11.899,34%,$7.807
178,MEDIPHARM,DIRTOP 50 mg. x 1 comprimido BE,$1.303,15%,$1.108
179,MEDIPHARM,DIRTOP 50 mg. x 10 comprimidos BE,$11.799,59%,$4.826
180,MEDIPHARM,DIRTOP 50 mg. x 20 comprimidos Rec. BE,$13.299,58%,$5.611
181,MEDIPHARM,DIRTOP 50 mg. x 5 comprimidos,$5.990,65%,$2.070
182,TECNOFARMA LTDA.,DIVARIL (B) 30mg X30COM.REC.,$39.999,30%,$27.999
183,RECALCINE,DIXI 35 X21GRA.,$19.399,50%,$9.700
184,MEDIPHARM,DOFITEX 5mg. 30 comprimidos Rec.,$7.899,25%,$5.924
185,RECALCINE,DOLIPRAN 2.5mg X6COM.,$11.799,25%,$8.849
186,OPKO,DOMPERIDONA (B) 10mg X20COM.,$999,64%,$357
187,MEDIPHARM,DONEGAL 10 Mg (I) B/E X 30 COM.REC.,$5.599,38%,$3.465
188,LABORATORIO CHILE,DOOX 5 MG 30 COMP,$18.599,35%,$12.089
189,ANDROMACO FARMA,DOPABEN (B) 10mg X30COM.REC.,$58.599,35%,$38.089
190,SANITAS,DRINAMIL X30COM.,$1.899,72%,$532
191,RECALCINE,DUCETEN 30mg X30CAP.,$16.499,35%,$10.724
192,RECALCINE,DUCETEN 60mg X30CAP.,$19.499,35%,$12.674
193,LUNDBECK,EBIXA (R) 10mg X28COM.REC.,$61.999,25%,$46.499
194,LUNDBECK,EBIXA (R) 10mg X56COM.REC.,$88.199,25%,$66.149
195,LUNDBECK,EBIXA 20mg X28COM.REC.,$79.499,25%,$59.624
196,LABORATORIO CHILE,ECTIBAN 10MG 30CR,$15.499,35%,$10.074
197,LABORATORIO CHILE,ECTIBAN 20 MG 30 CR,$32.299,35%,$20.994
198,LABORATORIO CHILE,ECTIEN XR 150 MG X 30 CAPSULAS,$35.399,35%,$23.009
199,LABORATORIO CHILE,ECTIEN XR 37.5 MG X 30 CAPSULAS,$13.099,35%,$8.514
200,LABORATORIO CHILE,ECTIEN XR 75 MG X 30 CAPSULAS,$18.999,35%,$12.349
201,ANDROMACO FARMA,ELEMIGROL 40MG. CAJA 4COMP. REC.,$15.999,40%,$9.599
202,RECALCINE,ELEVAL 100mg X30COM.REC.,$33.999,25%,$25.499
203,RECALCINE,ELEVAL 50mg X30COM.REC.,$17.699,25%,$13.274
204,RECALCINE,ELEVAL 50mg X60COM.REC.,$32.999,25%,$24.749
205,GLAXO,ELONTRIL XL 150mg X30COM.PROL.,$33.399,92%,$2.852
206,LABORATORIO CHILE,EMERGEN 100MG 30C,$32.999,35%,$21.449
207,LABORATORIO CHILE,EMERGEN 50MG 30CR,$22.499,35%,$14.624
208,OPKO,ENALAPRIL 10mg X20COM.,$699,86%,$100
209,LABORATORIO CHILE,EPRAL 20mg X30CAP.,$13.999,20%,$11.199
210,ANDROMACO FARMA,EPRAL 40mg X30CAP.,$24.399,35%,$15.859
211,LABORATORIO CHILE,EPRAL 40mg X30CAP.,$24.399,20%,$19.519
212,ANDROMACO,ERITROMICINA 200mg/5ml S.O.X60ml,$2.999,54%,$1.380
213,CHILE,ESPIRONOLACTONA 25mg X20COM.,$1.899,70%,$566
214,SILESIA,ESZOP 3 MG 30 COMP. REC,$16.899,40%,$10.139
215,TECNOFARMA LTDA.,EUTEBROL 10mg X30COM.,$37.599,30%,$26.319
216,TECNOFARMA LTDA.,EUTEBROL 10mg X60COM.REC.,$48.999,30%,$34.299
217,TECNOFARMA LTDA.,EUTEBROL 20mg X30COM.,$49.999,30%,$34.999
218,MERCK SA CHILE,EUTIROX (R) 100mcg X50TAB.,$7.399,54%,$3.411
219,MERCK SA CHILE,EUTIROX (R) 50mcg X50TAB.,$7.899,30%,$5.608
220,ANDROMACO FARMA,EVIMAL 10 MG x 30 COMP,$66.599,40%,$39.959
221,NOVARTIS CHILE S.A.,EXELON (R) 1.5mg X28CAP.,$71.999,30%,$50.399
222,NOVARTIS CHILE S.A.,EXELON (R) 3mg X28CAP.,$70.399,30%,$49.279
223,NOVARTIS CHILE S.A.,EXELON (R) 4.5mg X28CAP.,$67.999,30%,$47.599
224,NOVARTIS CHILE S.A.,EXELON (R) 6mg X28CAP.,$67.999,30%,$47.599
225,NOVARTIS CHILE S.A.,EXELON 10 X30PCHE.,$121.299,30%,$84.909
226,NOVARTIS CHILE S.A.,EXELON 15 X30PCHE.,$122.999,30%,$86.099
227,NOVARTIS CHILE S.A.,EXELON 5 X30PCHE.,$111.199,30%,$77.839
228,NOVARTIS CHILE S.A.,EXFORGE 10/160 X28COM.REC.,$38.099,20%,$30.479
229,NOVARTIS CHILE S.A.,EXFORGE 10/160 X56COM.REC.,$57.999,20%,$46.399
230,NOVARTIS CHILE S.A.,EXFORGE 10/320 X28COM.REC.,$38.599,20%,$30.879
231,NOVARTIS CHILE S.A.,EXFORGE 5/160 X28COM.REC.,$38.999,20%,$31.199
232,NOVARTIS CHILE S.A.,EXFORGE 5/160 X56COM.REC.,$63.399,20%,$50.719
233,NOVARTIS CHILE S.A.,EXFORGE 5/320 X28COM.REC.,$37.499,20%,$29.999
234,NOVARTIS CHILE S.A.,EXFORGE 5/320 X56COM.REC.,$54.999,20%,$43.999
235,NOVARTIS CHILE S.A.,EXFORGE 5/80 X56COM.REC.,$55.199,20%,$44.159
236,NOVARTIS CHILE S.A.,EXFORGE D 10/160/12.5 X28COM.REC.,$38.899,20%,$31.119
237,NOVARTIS CHILE S.A.,EXFORGE D 10/320/25 X28COM.REC.,$38.999,20%,$31.199
238,NOVARTIS CHILE S.A.,EXFORGE D 5/160/12.5 X28COM.REC.,$45.999,20%,$36.799
239,OPKO,FAMOTIDINA 40mg X10COM.,$799,76%,$190
240,RECALCINE,FEMELLE 20 FOL X28COM.REC.,$15.699,25%,$11.774
241,RECALCINE,FEMELLE 20 X28COM.REC.,$14.499,25%,$10.874
242,RECALCINE,FEMELLE FOL X28COM.REC.,$15.799,25%,$11.849
243,RECALCINE,FEMELLE X28COM.REC.,$16.799,25%,$12.599
244,LABORATORIO CHILE,FEMINOL 20 CD X28COM.REC.,$10.999,20%,$8.799
245,CHILE,FENITOINA (B) 100mg X30COM.,$1.499,54%,$690
246,ANDROMACO,FENOBARBITAL 100mg X10COM.,$6.399,75%,$1.600
247,PASTEUR,FERRIGOT 25mg/ml GTAS.X30ml,$6.199,88%,$774
248,GARDEN HOUSE,FINARTRIT FORTE X60COM.,$21.999,25%,$16.499
249,MEDIPHARM,FINDALER 10 mg B/E -I- x 30 COMPRIMIDOS RECUBIERTOS,$5.799,62%,$2.223
250,MEDIPHARM,FINDALER-D x 20 cápsulas,$9.499,25%,$7.124
251,MEDIPHARM,FINDER SH. X 100ML,$12.499,25%,$9.374
252,ANDROMACO,FLUCLOXACILINA 250mg/5ml S.O.X60ml,$3.999,66%,$1.380
253,CHILE,FLUCONAZOL 150mg X4CAP.,$7.899,62%,$3.000
254,CHILE,FLUOXETINA (B) 20mg X20COM.,$1.299,79%,$270
255,ITF (EX LABOMED),FOLACID 5mg X28COM.,$3.490,81%,$678
256,SANITAS,FOLISANIN 1mg X30COM.,$3.299,87%,$428
257,LABORATORIO CHILE,FRENALER D JBE.X100ml,$12.599,20%,$10.079
258,LABORATORIO CHILE,FRENALER D X10CAP.LIB.SOST.,$14.199,20%,$11.359
259,LABORATORIO CHILE,FRENALER D X20CAP.LIB.SOST.,$18.099,20%,$14.479
260,RECALCINE,FUROKAL 250mg X100CAP.,$68.099,25%,$51.074
261,RECALCINE,FUROKAL 500mg X50CAP.,$76.499,25%,$57.374
262,CHILE,FUROSEMIDA (B) 40mg X12COM.,$899,80%,$177
263,NOVARTIS CHILE S.A.,GALVUS 50mg X28COM.,$23.599,25%,$17.699
264,NOVARTIS CHILE S.A.,GALVUS 50mg X56COM.,$37.399,20%,$29.919
265,NOVARTIS CHILE S.A.,GALVUS MET 50/1000 X28COM.REC.,$28.999,20%,$23.199
266,NOVARTIS CHILE S.A.,GALVUS MET 50/1000 X56COM.REC.,$42.699,20%,$34.159
267,NOVARTIS CHILE S.A.,GALVUS MET 50/500 X28COM.REC.,$24.399,20%,$19.519
268,NOVARTIS CHILE S.A.,GALVUS MET 50/500 X56COM.REC.,$41.899,20%,$33.519
269,NOVARTIS CHILE S.A.,GALVUS MET 50/850 X28COM.REC.,$30.599,20%,$24.479
270,NOVARTIS CHILE S.A.,GALVUS MET 50/850 X56COM.REC.,$43.599,20%,$34.879
271,ANDROMACO FARMA,GAMALATE B6 30GRAG,$18.899,40%,$11.339
272,ANDROMACO FARMA,GAMALATE B6 60GRAG.,$30.599,40%,$18.359
273,ANDROMACO FARMA,GAMALATE B6 JBE.80ML.,$22.999,40%,$13.799
274,LABORATORIO CHILE,GASTRIDE 30mg X28COM.,$18.999,20%,$15.199
275,MEDIPHARM,GASTRODINE 20 mg. x 28 comprimidos,$14.499,25%,$10.874
276,CHILE,GEMFIBROZILO 600mg X20COM.,$3.599,58%,$1.499
277,BIOSANO,GENTAMICINA 80mg X5AMP.,$3.299,97%,$109
278,RECALCINE,GESER 30mg X30COM.REC.,$82.399,25%,$61.799
279,RECALCINE,GESER 60mg X30COM.REC.,$155.599,25%,$116.699
280,MEDIPHARM,GESIDOL 500 MG BE X 24 COMPRIMIDOS,$1.490,29%,$1.056
281,MEDIPHARM,GESIDOL NIÑOS 160mg X16COM.MAST.,$1.990,62%,$757
282,MEDIPHARM,GESIPROCT X 30 GR.,$10.399,25%,$7.799
283,Exeltis,GESTEL 100mg X30CAP.BLANDAS,$16.999,20%,$13.599
284,Exeltis,GESTEL 200mg X30CAP.BLANDAS,$19.999,20%,$15.999
285,GARDEN HOUSE,GINKGO MAX 80mg X120CAP.,$13.999,25%,$10.499
286,GARDEN HOUSE,GINKGO MAX 80mg X30CAP.,$5.499,25%,$4.124
287,RECALCINE,GINODERM 0.06% GEL X80g,$21.999,25%,$16.499
288,MERCK SA CHILE,GLAFORNIL (R) 850MG X30COM.,$10.699,39%,$6.620
289,CHILE,GLIBENCLAMIDA (B) 5mg X60COM.,$1.099,83%,$189
290,MEDIPHARM,GLIDANIL 500mg. BE x 30 compr.,$2.799,46%,$1.501
291,MEDIPHARM,GLIDANIL 850 MG. 30 comprimidos (BE),$3.499,60%,$1.417
292,SANDERSON,GLUCOSA 5% X500ml,$1.399,53%,$660
293,SANDERSON,GLUCOSALINO ISOTONICO X500ml,$1.499,47%,$800
294,SANITAS,GLUKAUT 500/5 X60COM.,$10.299,90%,$1.078
295,MERCK SA CHILE,GONAL F 75UI X1AMP.,$39.099,40%,$23.459
296,MERCK SA CHILE,GONAL F INYECTOR 300UI/0.75ml X1F-A,$147.999,28%,$106.559
297,PHARMA INVESTI,GOVAL (B) 1mg X30COM.REC.,$15.499,87%,$1.964
298,LABORATORIO CHILE,GRIFOCLOBAM 10MG 20C,$19.999,35%,$12.999
299,LABORATORIO CHILE,GRIFODILZEM 60MG 60C,$17.799,35%,$11.569
300,LABORATORIO CHILE,GRIFOPARKIN 30C,$14.399,35%,$9.359
301,RECALCINE,GYNORELLE X28COM.REC.,$20.199,50%,$10.100
302,CHILE,HALOPERIDOL 1mg X30COM.,$4.999,52%,$2.400
303,CHILE,HALOPERIDOL 5mg X20COM.,$6.999,49%,$3.570
304,CHILE,HIDROCLOROTIAZIDA (B) 50mg X20COM.,$1.099,68%,$350
305,PASTEUR,HIDROXIDO ALUMINIO 6% SOL.X180ml,$2.299,38%,$1.428
306,RECALCINE,HIPERFLEX K FTE.X60COM.,$33.499,25%,$25.124
307,RECALCINE,HIPERFLEX UD 4.7g X35SOB.,$38.999,35%,$25.349
308,LABORATORIO CHILE,HIPOGLUCIN 1000 LP 30 C,$16.499,35%,$10.724
309,LABORATORIO CHILE,HIPOGLUCIN 1000 LP 60 C,$22.899,35%,$14.884
310,LABORATORIO CHILE,HIPOGLUCIN 1GR 30C,$15.899,35%,$10.334
311,LABORATORIO CHILE,HIPOGLUCIN 500 MG 30 C LP,$6.999,35%,$4.549
312,LABORATORIO CHILE,HIPOGLUCIN 500 MG 60 C LP,$12.799,35%,$8.319
313,LABORATORIO CHILE,HIPOGLUCIN 750 LP 30 C,$11.599,35%,$7.539
314,LABORATORIO CHILE,HIPOGLUCIN 750 LP 60 C,$22.699,35%,$14.754
