,Descripción Medicamento,Laboratorio,Descuento,Precio referencial sin convenio 06/05/2019,Precio referencial con Descuento
31,(B) ESCITALOPRAM 10mg COMP.X30,MINTLAB,30%,$ 10.099,$ 7.069
32,(B) ESCITALOPRAM 10mg COMP.X30,PHARMA INVESTI,30%,$ 10.099,$ 7.069
33,(B) ESCITALOPRAM 10mg COMP.X30,LABORATORIO CHILE,30%,$ 10.099,$ 7.069
34,(B) ESCITALOPRAM 10mg COMP.X30,ALPES CHEMIE S.A.,30%,$ 10.099,$ 7.069
35,(B) FINDALER COMP.X30,MEDIPHARM,62%,$ 5.999,$ 2.280
36,(B) GLAFORNIL XR 1000 COMP.X30,MERCK SA CHILE,39%,$ 22.299,$ 13.602
37,(B) GLIFORTEX 850mg COMP.X30,ANDROMACO FARMA,30%,$ 9.199,$ 6.439
38,(B) GLIFORTEX 850mg COMP.X60,ANDROMACO FARMA,30%,$ 15.199,$ 10.639
39,(B) IBUPROFENO 400mg COMP.X20,ASCEND LABORATORIES SPA,75%,$ 1.399,$ 350
40,(B) LOSARTAN 100mg COMP.X30,GENERICOS,70%,$ 7.899,$ 2.370
41,(B) METFORMINA 850mg COMP.X30,GENERICOS,67%,$ 2.399,$ 792
42,(B) NAPROXENO 550mg COMP.X10,GENERICOS,62%,$ 2.899,$ 1.102
43,(B) OMEPRAZOL 20mg COM.X60,GENERICOS,30%,$ 3.199,$ 2.239
44,(B) OMEPRAZOL 20mg COM.X60,OPKO,30%,$ 3.199,$ 2.239
45,(B) OMEPRAZOL 20mg COM.X60,MINTLAB,30%,$ 3.199,$ 2.239
46,(B) OMEPRAZOL 20mg COM.X60,EUROFARMA CHILE S.A.,30%,$ 3.199,$ 2.239
47,(B) OMEPRAZOL 20mg COM.X60,ANDROMACO FARMA,30%,$ 3.199,$ 2.239
48,(B) OMEPRAZOL 20mg COM.X60,LABORATORIO CHILE,30%,$ 3.199,$ 2.239
49,(B) POSIVYL 20mg COMP.X30,LABORATORIO CHILE,35%,$ 36.999,$ 24.049
50,(B) PREGALEX 75mg COMP.X30,ANDROMACO FARMA,40%,$ 19.299,$ 11.579
51,(B) PRESTAT 75mg COMP.X40,BAGO,30%,$ 12.999,$ 9.099
52,(B) QUINOBIOT 500mg COMP.X7,ANDROMACO FARMA,30%,$ 17.999,$ 12.599
53,(B) QUINOBIOT 750mg COMP.X10,ANDROMACO FARMA,30%,$ 19.399,$ 13.579
54,(B) QUINOBIOT 750mg COMP.X7,ANDROMACO FARMA,30%,$ 17.299,$ 12.109
55,(B) RIBOTEX 600mg COMP.X30,ANDROMACO FARMA,20%,$ 112.399,$ 89.919
56,(B) SINCRIS 5mg COMP.X30,LABORATORIO CHILE,35%,$ 23.999,$ 15.599
57,(B) TRAVIATA 20mg COMP.X30,ANDROMACO FARMA,40%,$ 42.999,$ 25.799
58,(B) VALAPLEX 160mg COMP.X30,LABORATORIO CHILE,35%,$ 16.399,$ 10.659
59,(B) VALAPLEX 320mg COM.X30,LABORATORIO CHILE,35%,$ 18.999,$ 12.349
60,(B) VALAPLEX 80mg COMP.X30,LABORATORIO CHILE,35%,$ 15.999,$ 10.399
61,(B) VALAX 160mg COM.X35,SAVAL S.A.,25%,$ 16.299,$ 12.224
62,(B) VONILLE 20 COMP.X28,EXELTIS CHILE,20%,$ 9.399,$ 7.519
63,(R) ASPIRINA PED.COMP.X42,BAYER OTC,15%,$ 3.999,$ 3.399
64,(R) CARDIOASPIRINA EC 100mg X50,BAYER OTC,10%,$ 9.999,$ 8.999
65,(R) CELEBRA 200mg COMP.X30,PFIZER,20%,$ 46.599,$ 37.279
66,(R) CRESTOR TABLETS 10mg COM.X30,ASTRA ZENECA DE CHILE LTDA.,20%,$ 36.799,$ 29.439
67,(R) DILATREND 12.5mg COMP.X28,ROCHE,15%,$ 19.399,$ 16.489
68,(R) EUTIROX 100mcg TABL.X100,MERCK SA CHILE,91%,$ 12.999,$ 1.170
69,(R) EUTIROX 100mcg TABL.X50,MERCK SA CHILE,54%,$ 8.399,$ 3.864
70,(R) EUTIROX 112mcg COMP.X50,MERCK SA CHILE,52%,$ 12.999,$ 6.240
71,(R) EUTIROX 125mcg TABL.X50,MERCK SA CHILE,46%,$ 12.999,$ 7.019
72,(R) EUTIROX 50mcg TABL.X50,MERCK SA CHILE,67%,$ 8.899,$ 2.937
73,(R) EUTIROX 75mcg TABL.X50,MERCK SA CHILE,43%,$ 9.699,$ 5.528
74,(R) EUTIROX 88mcg COMP.X50,MERCK SA CHILE,49%,$ 10.499,$ 5.354
75,(R) GLAFORNIL 850mg COMP.X30,MERCK SA CHILE,39%,$ 12.799,$ 7.807
76,(R) LIPITOR 10mg COMP.X30,PFIZER,20%,$ 48.399,$ 38.719
77,(R) LYRICA 75mg CAPS.X28,PFIZER,20%,$ 39.299,$ 31.439
78,(R) NEXIUM 20mg COMP.X28,ASTRA ZENECA DE CHILE LTDA.,20%,$ 24.499,$ 19.599
79,(R) RAVOTRIL 2mg COMP.X30,ROCHE,15%,$ 14.499,$ 12.324
80,ABACTEN 200mg SOE 30ml,ANDROMACO FARMA,30%,$ 15.199,$ 10.639
81,ABACTEN 400mg SOE 20ml,ANDROMACO FARMA,77%,$ 17.999,$ 4.140
82,ABACTEN 400mg SOE 30ml,ANDROMACO FARMA,30%,$ 15.999,$ 11.199
83,ABECIDIN ACD GTAS.30ml,PASTEUR,20%,$ 7.299,$ 5.839
84,ABRILAR 35mg/5ml JBE.X100ml,PHARMA INVESTI,81%,$ 4.399,$ 836
85,AC.ACETIL SALICILICO 100mg X100COM.,GENERICOS,83%,$ 3.399,$ 578
86,AC.ACETIL SALICILICO 100mg X100COM.,MINTLAB,83%,$ 3.399,$ 578
87,AC.ACETIL SALICILICO 100mg X100COM.,PASTEUR,83%,$ 3.399,$ 578
88,AC.ACETIL SALICILICO 100mg X100COM.,OPKO,83%,$ 3.399,$ 578
89,AC.ACETIL SALICILICO 100mg X100COM.,PASTEUR,83%,$ 3.399,$ 578
90,AC.ACETIL SALICILICO 100mg X100COM.,MAVER FARMA,83%,$ 3.399,$ 578
91,AC.MEFENAMICO 500mg X10COM.,GENERICOS,72%,$ 1.399,$ 392
92,AC.MEFENAMICO 500mg X10COM.,ANDROMACO FARMA,72%,$ 1.399,$ 392
93,AC.MEFENAMICO 500mg X10COM.,HOSPIFARMA,72%,$ 1.399,$ 392
94,AC.MEFENAMICO 500mg X10COM.,LABORATORIO CHILE,72%,$ 1.399,$ 392
95,AC.MEFENAMICO 500mg X10COM.,EUROFARMA CHILE S.A.,72%,$ 1.399,$ 392
96,AC.VALPROICO 375mg/ml GTAS.ORAL.X25ml,ANDROMACO FARMA,77%,$ 11.399,$ 2.622
97,AC.VALPROICO 375mg/ml GTAS.ORAL.X25ml,GENERICOS,77%,$ 11.399,$ 2.622
98,ACCU CHEK ACTIVE X25CINTAS,ROCHE DIAGNOSTICA,69%,$ 20.999,$ 6.510
99,ACCU CHEK ACTIVE X50CINTAS,ROCHE DIAGNOSTICA,70%,$ 41.799,$ 12.540
100,ACCU CHEK INSTANT CINT.25,ROCHE DIAGNOSTICA,30%,$ 19.999,$ 13.999
101,ACCU CHEK INSTANT CINT.50,ROCHE DIAGNOSTICA,30%,$ 38.199,$ 26.739
102,ACEBRON (B) 4mg X20COM.,RECALCINE,20%,$ 19.499,$ 15.599
103,ACEPRAN 1mg COMP.X30,ANDROMACO FARMA,30%,$ 8.399,$ 5.879
104,ACEPRAN 2.5mg GTAS.10ml,ANDROMACO FARMA,30%,$ 11.999,$ 8.399
105,ACERDIL 10mg X30COM.,RECALCINE,25%,$ 24.999,$ 18.749
106,ACERDIL 20mg X30COM.REC.,RECALCINE,25%,$ 34.999,$ 26.249
107,ACERDIL 5mg X30COM.REC.,RECALCINE,25%,$ 12.399,$ 9.299
108,ACERDIL D X30COM.,RECALCINE,25%,$ 34.999,$ 26.249
109,ACEVIT GTAS.X30ml,RECALCINE,92%,$ 17.499,$ 1.400
110,ACICLOVIR 5% CR.X15g,HOSPIFARMA,82%,$ 1.999,$ 360
111,ACICLOVIR 5% CR.X15g,ANDROMACO FARMA,82%,$ 1.999,$ 360
112,ACICLOVIR 5% CR.X15g,LABORATORIO CHILE,82%,$ 1.999,$ 360
113,ACICLOVIR 5% CR.X15g,SANITAS S.A.,82%,$ 1.999,$ 360
114,ACICLOVIR 5% CR.X15g,HOSPIFARMA,82%,$ 1.999,$ 360
115,ACICLOVIR 5% CR.X15g,RECALCINE,82%,$ 1.999,$ 360
116,ACICLOVIR 5% CR.X15g,GENEXX,82%,$ 1.999,$ 360
117,ACICLOVIR 5% CR.X15g,GENERICOS,82%,$ 1.999,$ 360
118,ACICLOVIR 5% CR.X15g,OPKO,82%,$ 1.999,$ 360
119,ACICLOVIR 5% CR.X5g,RECALCINE,75%,$ 1.399,$ 350
120,ACICLOVIR 5% CR.X5g,SANITAS S.A.,75%,$ 1.399,$ 350
121,ACICLOVIR 5% CR.X5g,MINTLAB,75%,$ 1.399,$ 350
122,ACICLOVIR 5% CR.X5g,LABORATORIO CHILE,75%,$ 1.399,$ 350
123,ACICLOVIR 5% CR.X5g,ANDROMACO FARMA,75%,$ 1.399,$ 350
124,ACICLOVIR 5% CR.X5g,GENERICOS,75%,$ 1.399,$ 350
125,ACIDO ASCORBICO 100mg X100COM.,GENERICOS,70%,$ 1.199,$ 360
126,ACIDO VALPROICO 500mg X30COM.,GENERICOS,62%,$ 7.799,$ 2.964
127,ACIDO VALPROICO 500mg X30COM.,ANDROMACO FARMA,62%,$ 7.799,$ 2.964
128,ACIDO VALPROICO 500mg X30COM.,MINTLAB,62%,$ 7.799,$ 2.964
129,ACLASTA 5mg/100ml X1VIAL,NOVARTIS CHILE S.A.,28%,$ 386.599,$ 278.351
130,ACNERAL (B) 10mg X30CAP.BLANDAS,LABORATORIO CHILE,20%,$ 26.499,$ 21.199
131,ACNERAL (B) 20mg X30CAP.BLANDAS,LABORATORIO CHILE,20%,$ 41.199,$ 32.959
132,ACOTOL X28COM.REC.,RECALCINE,25%,$ 15.199,$ 11.399
133,ACTISER-T 2.5g GEL SOB.X30,SILESIA,20%,$ 32.999,$ 26.399
134,ACTISER-T 5g GEL SOB.X30,SILESIA,20%,$ 37.499,$ 29.999
135,ACTIVELLE COMP.X28,SILESIA,20%,$ 30.999,$ 24.799
136,ACTRAPID HM 100UI/ml 10ml X1F-A,NOVONORDISK,92%,$ 31.099,$ 2.488
137,ACUODE 50.000UI PVO.SOL.X2SOB.,RECALCINE,50%,$ 14.799,$ 7.400
138,AEROFACIDOSE AEROCAMARA AD/ESCOLAR,LABORATORIO CHILE,20%,$ 8.299,$ 6.639
139,AEROFACIDOSE AEROCAMARA LACTANTE,LABORATORIO CHILE,81%,$ 8.299,$ 1.577
140,AEROMED JARABE 100 ml.,MEDIPHARM,25%,$ 3.996,$ 2.997
141,AEROTROP HFA 20mcg INH.X250DS.,D&M PHARMA S.A.,88%,$ 13.699,$ 1.644
142,AGUA BIDESTILADA 10ml X5AMP.,SANDERSON S.A.,88%,$ 1.699,$ 204
143,AGUA BIDESTILADA 10ml X5AMP.,GENERICOS,88%,$ 1.599,$ 192
144,AGUA BIDESTILADA 5ml X5AMP.,GENERICOS,98%,$ 1.699,$ 34
145,AGUA BIDESTILADA 5ml X5AMP.,SANDERSON S.A.,98%,$ 1.799,$ 36
146,ALCOGEL 70 JB.LIQ.X340ml,DIFEM PHARMA S.A.,14%,$ 2.099,$ 1.805
147,ALDINAM 100mg X30COM.REC.,RECALCINE,47%,$ 42.199,$ 22.365
148,ALDINAM 200mg X30COM.REC.,RECALCINE,25%,$ 68.399,$ 51.299
149,ALDINAM 50mg X30COM.REC.,RECALCINE,25%,$ 23.999,$ 17.999
150,ALDROX 70mg X10COM.REC.,PASTEUR,20%,$ 12.999,$ 10.399
151,"ALENYS 27,5mcg SUSP.NAS.X120DS.",ETEX FARMACEUTICA LTDA.,63%,$ 17.599,$ 6.512
152,ALFADOXIN 4MG 30C,LABORATORIO CHILE,65%,$ 11.099,$ 3.885
153,ALIVAX 150 MG 30 CAPSULAS,LABORATORIO CHILE,35%,$ 22.499,$ 14.624
154,ALIVAX 75MG X 30 COMP BE,LABORATORIO CHILE,35%,$ 13.199,$ 8.579
155,ALOPURINOL 300mg X20COM.,GENERICOS,53%,$ 2.199,$ 1.034
156,ALOPURINOL 300mg X20COM.,MINTLAB,53%,$ 2.199,$ 1.034
157,ALOPURINOL 300mg X20COM.,PASTEUR,53%,$ 2.199,$ 1.034
158,ALOPURINOL 300mg X20COM.,SANITAS S.A.,53%,$ 2.199,$ 1.034
159,ALOPURINOL 300mg X20COM.,ANDROMACO FARMA,53%,$ 2.199,$ 1.034
160,ALOPURINOL 300mg X20COM.,LABORATORIO CHILE,53%,$ 2.199,$ 1.034
161,ALPRAZOLAM (B) 0.50mg X30COM.,LABORATORIO CHILE,46%,$ 1.299,$ 701
162,ALTESSE COMP.X28,SILESIA,30%,$ 16.199,$ 11.339
163,AMATO 25mg COM.X60,EUROFARMA CHILE S.A.,30%,$ 21.199,$ 14.839
164,AMATO(BE) 50mg COM.X60,EUROFARMA CHILE S.A.,30%,$ 32.999,$ 23.099
165,AMBROXOL 15mg/5ml JBE.X100ml,LABORATORIO CHILE,69%,$ 1.599,$ 496
166,AMBROXOL 15mg/5ml JBE.X100ml,ANDROMACO FARMA,69%,$ 1.599,$ 496
167,AMBROXOL 15mg/5ml JBE.X100ml,EUROFARMA CHILE S.A.,69%,$ 1.599,$ 496
168,AMBROXOL 15mg/5ml JBE.X100ml,SANITAS S.A.,69%,$ 1.599,$ 496
169,AMBROXOL 15mg/5ml JBE.X100ml,RECALCINE,69%,$ 1.599,$ 496
170,AMBROXOL 15mg/5ml JBE.X100ml,MINTLAB,69%,$ 1.599,$ 496
171,AMBROXOL 15mg/5ml JBE.X100ml,GENERICOS,69%,$ 1.599,$ 496
172,AMBROXOL 30mg/5ml JBE.X100ml,SANITAS S.A.,72%,$ 1.699,$ 476
173,AMBROXOL 30mg/5ml JBE.X100ml,EUROFARMA CHILE S.A.,72%,$ 1.699,$ 476
174,AMBROXOL 30mg/5ml JBE.X100ml,MINTLAB,72%,$ 1.699,$ 476
175,AMBROXOL 30mg/5ml JBE.X100ml,RECALCINE,72%,$ 1.699,$ 476
176,AMBROXOL 30mg/5ml JBE.X100ml,GENEXX,72%,$ 1.699,$ 476
177,AMBROXOL 30mg/5ml JBE.X100ml,OPKO,72%,$ 1.699,$ 476
178,AMBROXOL 30mg/5ml JBE.X100ml,LABORATORIO CHILE,72%,$ 1.699,$ 476
179,AMBROXOL 30mg/5ml JBE.X100ml,ANDROMACO FARMA,72%,$ 1.699,$ 476
180,AMBROXOL 30mg/5ml JBE.X100ml,GENERICOS,72%,$ 1.699,$ 476
181,AMIODARONA 200mg COMP.X20,GENERICOS,30%,$ 2.399,$ 1.679
182,AMIODARONA 200mg COMP.X20,MINTLAB,30%,$ 2.399,$ 1.679
183,AMIODARONA 200mg X20COM.,HOSPIFARMA,30%,$ 2.399,$ 1.679
184,AMIODARONA 200mg X20COM.,ANDROMACO FARMA,30%,$ 2.399,$ 1.679
185,AMIODARONA 200mg X20COM.,LABORATORIO CHILE,30%,$ 2.399,$ 1.679
186,AMIODARONA 200mg X20COM.,RECALCINE,30%,$ 2.399,$ 1.679
187,AMIODARONA 200mg X20COM.,SANITAS S.A.,30%,$ 2.399,$ 1.679
188,AMITRIPTILINA 25mg X100COM.,GENERICOS,47%,$ 1.899,$ 1.006
189,AMITRIPTILINA 25mg X100COM.,MINTLAB,47%,$ 1.899,$ 1.006
190,AMITRIPTILINA 25mg X100COM.,RECALCINE,47%,$ 1.899,$ 1.006
191,AMITRIPTILINA 25mg X100COM.,ANDROMACO FARMA,47%,$ 1.899,$ 1.006
192,AMITRIPTILINA 25mg X100COM.,LABORATORIO CHILE,47%,$ 1.899,$ 1.006
193,AMLODIPINO (B) 10mg X30COM.,GENERICOS,72%,$ 2.899,$ 812
194,AMLODIPINO (B) 10mg X30COM.,OPKO,72%,$ 2.899,$ 812
195,AMLODIPINO (B) 10mg X30COM.,ASCEND SPA,72%,$ 2.899,$ 812
196,AMLODIPINO (B) 10mg X30COM.,MINTLAB,72%,$ 2.899,$ 812
197,AMLODIPINO (B) 10mg X30COM.,SEVEN PHARMA CHILE SPA,72%,$ 2.899,$ 812
198,AMLODIPINO (B) 10mg X30COM.,PASTEUR,72%,$ 2.899,$ 812
199,AMLODIPINO (B) 10mg X30COM.,SANITAS S.A.,72%,$ 2.899,$ 812
200,AMLODIPINO (B) 10mg X30COM.,EUROFARMA CHILE S.A.,72%,$ 2.899,$ 812
201,AMLODIPINO (B) 10mg X30COM.,ANDROMACO FARMA,72%,$ 2.899,$ 812
202,AMLODIPINO (B) 10mg X30COM.,LABORATORIO CHILE,72%,$ 2.899,$ 812
203,AMLODIPINO (B) 5mg X30COM.,MINTLAB,73%,$ 3.699,$ 999
204,AMLODIPINO (B) 5mg X30COM.,GENERICOS,73%,$ 3.699,$ 999
205,AMLODIPINO 5mg X30COM.,OPKO,73%,$ 3.699,$ 999
206,AMLODIPINO 5mg X30COM.,LABORATORIO CHILE,73%,$ 3.699,$ 999
207,AMLODIPINO 5mg X30COM.,SANITAS S.A.,73%,$ 3.699,$ 999
208,AMLODIPINO 5mg X30COM.,PASTEUR,73%,$ 3.699,$ 999
209,AMLODIPINO 5mg X30COM.,EUROFARMA CHILE S.A.,73%,$ 3.699,$ 999
210,AMOX/AC.CLAVULANICO (B) 875/125 X20COM.,HOSPIFARMA,72%,$ 12.099,$ 3.388
211,AMOX/AC.CLAVULANICO (B) 875/125 X20COM.,GENERICOS,72%,$ 14.699,$ 4.116
212,AMOXICILINA 250mg/5ml S.O.X60ml,RECALCINE,56%,$ 1.399,$ 616
213,AMOXICILINA 250mg/5ml S.O.X60ml,PASTEUR,56%,$ 1.399,$ 616
214,AMOXICILINA 250mg/5ml S.O.X60ml,ANDROMACO FARMA,56%,$ 1.399,$ 616
215,AMOXICILINA 250mg/5ml S.O.X60ml,LABORATORIO CHILE,56%,$ 1.399,$ 616
216,AMOXICILINA 250mg/5ml S.O.X60ml,EUROFARMA CHILE S.A.,56%,$ 1.399,$ 616
217,AMOXICILINA 250mg/5ml S.O.X60ml,MINTLAB,56%,$ 1.399,$ 616
218,AMOXICILINA 250mg/5ml S.O.X60ml,OPKO,56%,$ 1.399,$ 616
219,AMOXICILINA 250mg/5ml S.O.X60ml,GENERICOS,56%,$ 1.399,$ 616
220,AMOXICILINA 500mg X21CAP.,GENERICOS,73%,$ 3.999,$ 1.080
221,AMOXICILINA 500mg X21CAP.,ANDROMACO FARMA,73%,$ 3.999,$ 1.080
222,AMOXICILINA 500mg X21CAP.,OPKO,73%,$ 3.999,$ 1.080
223,AMOXICILINA 500mg X21CAP.,MINTLAB,73%,$ 3.999,$ 1.080
224,AMOXICILINA 500mg X21CAP.,HOSPIFARMA,73%,$ 3.999,$ 1.080
225,AMOXICILINA 500mg X21CAP.,LABORATORIO CHILE,73%,$ 3.999,$ 1.080
226,AMOXICILINA 500mg/5ml JBE.X60ml,GENERICOS,70%,$ 2.099,$ 630
227,AMOXICILINA 500mg/5ml JBE.X60ml,OPKO,70%,$ 2.099,$ 630
228,AMOXICILINA 500mg/5ml JBE.X60ml,MINTLAB,70%,$ 2.099,$ 630
229,AMOXICILINA 500mg/5ml JBE.X60ml,RECALCINE,70%,$ 2.099,$ 630
230,AMOXICILINA 500mg/5ml JBE.X60ml,ANDROMACO FARMA,70%,$ 2.099,$ 630
231,AMOXICILINA 500mg/5ml JBE.X60ml,LABORATORIO CHILE,70%,$ 2.099,$ 630
232,AMOXICILINA 750mg COMP.X10,GENERICOS,66%,$ 1.999,$ 680
233,AMOXICILINA 750mg X10COM.,RECALCINE,66%,$ 1.999,$ 680
234,AMOXICILINA 750mg X10COM.,ANDROMACO FARMA,66%,$ 1.999,$ 680
235,AMOXICILINA 750mg X10COM.,OPKO,66%,$ 1.999,$ 680
236,AMOXICILINA 750mg X10COM.,LABORATORIO CHILE,66%,$ 1.999,$ 680
237,AMOXICILINA 750mg X10COM.,MINTLAB,66%,$ 1.999,$ 680
238,AMOXICILINA/CLAVUL (B) 500/125 X20COM.,GENERICOS,53%,$ 7.899,$ 3.713
239,AMOXICILINA/CLAVUL (B) 500/125 X20COM.,OPKO,53%,$ 7.899,$ 3.713
240,AMPLEX 10 MG/ 160 MG 30 CR,LABORATORIO CHILE,35%,$ 25.499,$ 16.574
241,AMPLEX 5 MG/ 160 MG 30 CR,LABORATORIO CHILE,35%,$ 26.599,$ 17.289
242,AMPLEX 5 MG/ 80 MG 30 CR,LABORATORIO CHILE,35%,$ 22.899,$ 14.884
243,ANAFRANIL (R) 25mg X20GRA.,NOVARTIS CHILE S.A.,73%,$ 26.299,$ 7.101
244,ANAFRANIL 75mg X20GRA.,NOVARTIS CHILE S.A.,81%,$ 57.199,$ 10.868
245,ANALGEX 100mg/ml GTAS.X20ml,RECALCINE,95%,$ 12.999,$ 650
246,ANALGEX SAP X20COM.REC.,RECALCINE,50%,$ 22.099,$ 11.050
247,ANESTALCON 0.5% SOF.X15ml,ALCON CHILE LTDA.,81%,$ 29.499,$ 5.605
248,ANFIBOL (B) 5mg X30COM.REC.,RECALCINE,25%,$ 22.899,$ 17.174
249,ANTABUS 500mg X24COM.,FARMOQUIMICA DEL PACIFICO,89%,$ 27.499,$ 3.025
250,ANULETTE 20 CD X28COM.,SILESIA,50%,$ 12.499,$ 6.250
251,ANULETTE CD X28COM.,SILESIA,50%,$ 6.499,$ 3.250
252,APEPLUS (B) 1mg X30COM.,RECALCINE,35%,$ 26.199,$ 17.029
253,APEPLUS (B) 1mg X90COM.,RECALCINE,35%,$ 78.999,$ 51.349
254,APETROL JARABE x 120 ml,MEDIPHARM,32%,$ 10.699,$ 7.275
255,ARADIX (B) 10mg X30COM.,RECALCINE,20%,$ 23.199,$ 18.559
256,ARADIX RET.10mg X30COM.,RECALCINE,20%,$ 29.499,$ 23.599
257,ARADIX RET.20mg X30COM.,RECALCINE,20%,$ 45.299,$ 36.239
258,ARATAN D COMP.X30,ANDROMACO FARMA,30%,$ 29.099,$ 20.369
259,ARATAN D FTE.COMP.X30,ANDROMACO FARMA,30%,$ 29.799,$ 20.859
260,ARAVA 20 mg x 30 COMPRIMIDOS,AVENTIS,83%,$ 97.399,$ 16.558
261,ARGIUM 200 MG X 10 CAPSULAS,LABORATORIO CHILE,35%,$ 10.299,$ 6.694
262,ARGIUM 200 MG X 30 CAPSULAS,LABORATORIO CHILE,35%,$ 23.999,$ 15.599
263,ARILEX FT 15mg COMP.X30,ANDROMACO FARMA,40%,$ 65.799,$ 39.479
264,ARLETTE 28 X28COM.REC.,RECALCINE,25%,$ 14.799,$ 11.099
265,ARNELA 500mg OVUL.X2,ANDROMACO FARMA,30%,$ 18.899,$ 13.229
266,ARTESOL 100mg X30COM.,RECALCINE,35%,$ 32.999,$ 21.449
267,ARTESOL 50mg X30COM.,RECALCINE,65%,$ 19.299,$ 6.755
268,ARTRIDOL DUO FTE.SOB.X30,LABORATORIO CHILE,42%,$ 33.999,$ 19.719
269,ARTRIDOL DUO X60CAP.BLANDAS,LABORATORIO CHILE,35%,$ 17.299,$ 11.244
270,ARTRIZONA 50mg CAPS.X30,ANDROMACO FARMA,30%,$ 39.999,$ 27.999
271,ARTROTIN (B) 20mg X30COM.REC.,RECALCINE,88%,$ 67.999,$ 8.160
272,ARVIGIL 200 MG X 30 COM,ANDROMACO FARMA,40%,$ 32.999,$ 19.799
273,ASICOT 100MG 30CR,LABORATORIO CHILE,35%,$ 26.099,$ 16.964
274,ASICOT 200MG 30CR,LABORATORIO CHILE,35%,$ 48.299,$ 31.394
275,ASICOT 25MG 30CR,LABORATORIO CHILE,35%,$ 21.399,$ 13.909
276,ASPIRINA AD.500mg TIRA X10TAB.,BAYER OTC,71%,$ 1.899,$ 551
277,ATACAND (R) 8mg X30COM.,ASTRA ZENECA DE CHILE LTDA.,52%,$ 30.999,$ 14.880
278,ATEMPERATOR 250mg X50COM.REC.,FERRER,45%,$ 25.199,$ 13.859
279,ATENFAR BE 20MG X 30 COMPR. REC.,MEDIPHARM,53%,$ 7.799,$ 3.666
